E	T	E_P_1	E_P_2	P2	M	E_M1	E_P21	E_M	P21	M1	E_P2	P
0.00015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
7.93699130775563e-05	3.072458350899906e-05	6.25799317151905e-05	7.525441917372558e-06	0.00024040498775682823	0.005121267693677717	6.004592547075916e-15	1.5133324178853306e-25	2.917368327776565e-07	8.581614136713118e-14	7.972964437863833e-11	2.0552622145327454e-09	0.9945372034895084
7.929336045507334e-05	0.0001226972887965052	6.218121379998544e-05	7.477492373766953e-06	0.0004825660628392184	0.010169499394434778	2.4561840533087942e-14	1.2307477155134556e-24	5.801468488795473e-07	3.47268977521769e-13	3.1794722827173023e-10	4.172165936826496e-09	0.9891549939104229
7.921903910308897e-05	0.0002746821549056935	6.178703803420397e-05	7.430089114211155e-06	0.0007230974471116315	0.015125146348331234	5.5378775147635476e-14	4.1662743938387904e-24	8.627341998457607e-07	7.832140061430273e-13	7.112672751136654e-10	6.27090494958759e-09	0.9838069872052931
7.914690641538245e-05	0.00048546968624583396	6.139731258998853e-05	7.383221093779965e-06	0.0009620173732446113	0.019989787678024173	9.81600159274301e-14	9.871561945206223e-24	1.1396272174725118e-06	1.3924795218881129e-12	1.2563644815161004e-09	8.351851882409761e-09	0.978492795491878
7.907692098022566e-05	0.0007538772999971738	6.101194820325838e-05	7.336877575795698e-06	0.0011993437016470194	0.024764968053119858	1.5261784006632214e-13	1.9246058453896816e-23	1.4109505197600805e-06	2.1739070399368283e-12	1.949974164905345e-09	1.0415368924318274e-08	0.9732120388012684
7.900904252387228e-05	0.0010787478466641812	6.063085809533855e-05	7.291048122861415e-06	0.0014350939405604337	0.0294521995767022	2.184718645875269e-13	3.3175705738965006e-23	1.6768251360183187e-06	3.1263506862300543e-12	2.788889337967998e-09	1.2461808093656e-08	0.9679643446506777
7.894323187898232e-05	0.0014589493447714932	6.025395787134014e-05	7.245722583919316e-06	0.0016692852494091988	0.03405296211825318	2.9544883306831187e-13	5.253300282442914e-23	1.9373686494768943e-06	4.248677171927388e-12	3.769960471833486e-09	1.4491511686909973e-08	0.9627493479724463
7.887945094095838e-05	0.0018933741596033546	5.988116544197174e-05	7.200891085527632e-06	0.0019019344498289108	0.03856870435823726	3.8328237941396087e-13	7.817736146316956e-23	2.1926953174338147e-06	5.5397654958113235e-12	4.890094008592374e-09	1.65048125680887e-08	0.9575666908796568
7.881766263392862e-05	0.002380938307940523	5.9512400948012444e-05	7.156544022142997e-06	0.0021330580349998686	0.04300084467232605	4.817128064966627e-13	1.109554057508242e-22	2.442916181627283e-06	6.998506694855303e-12	6.146251109789608e-09	1.850203447887502e-08	0.952416022467817
7.875783087550928e-05	0.0029205808121894206	5.914758669020501e-05	7.112672047090826e-06	0.00236267217830062	0.047350771952453595	5.904868738014724e-13	1.5170124618665852e-22	2.6881391743932077e-06	8.62380361864221e-12	7.535446513703348e-09	2.048349230142111e-08	0.9472969986309926
7.869992052223544e-05	0.003511263033636304	5.878664697483256e-05	7.069266063513526e-06	0.002590792742254618	0.051619846454643785	7.093574812054456e-13	2.0123676615871813e-22	2.928469327562872e-06	1.0414570691723048e-11	9.054747338268728e-09	2.2449492981254522e-08	0.9422092818717361
7.864389739415057e-05	0.0041519680864923365	5.8429508278059885e-05	7.026317214642571e-06	0.00281743528641238	0.055809400544632015	8.380837871134543e-13	2.6037187592887764e-22	3.164008587638511e-06	1.2369733702204554e-11	1.0701272019189905e-08	2.440033390403769e-08	0.9371525411335702
7.858972816761338e-05	0.004841700209562009	5.80760988544797e-05	6.983816878473594e-06	0.003042615075790952	0.05992073949692539	9.764305422242743e-13	3.299047859911696e-22	3.3948563089180247e-06	1.4488229573619993e-11	1.2472189165457497e-08	2.633630598582375e-08	0.932126451621721
