S1	DNA_111	DNA_110	DNA_011	DNA_001	DNA_100	DNA_010	DNA_1B1B1	DNA_101	DNA_1B11	DNA_1B10	DNA_01B1	DNA_11B1	DNA_000	Values[GAS_siteOccupancy]
1e-10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1e-10	0.0
9.76207347740309e-11	5.61219714956439e-21	1.8647769428960903e-16	1.8647769428960908e-16	9.551787735407691e-15	9.55178773540769e-15	1.910352989423813e-12	5.030729850652486e-16	9.324210565589883e-19	8.426487840721134e-19	1.1188664844265092e-13	1.1188664844265093e-13	8.426487840721133e-19	9.784589148651559e-11	2.135004005592524e-12
9.761932988265566e-11	6.6169674970663804e-21	1.8647250980459508e-16	1.8647250980459513e-16	9.55160711814962e-15	9.551607118149623e-15	1.910317231101235e-12	9.85957288805546e-16	9.323925195125975e-19	1.647121056071947e-18	1.1188353568470073e-13	1.1188353568470073e-13	1.6471210560719468e-18	9.784544934773305e-11	2.1354465056381303e-12
9.761803719640484e-11	7.541494229512615e-21	1.864677374158861e-16	1.8646773741588614e-16	9.551440927581039e-15	9.551440927581039e-15	1.9102843279710093e-12	1.4302771972086937e-15	9.323662622307803e-19	2.3873460818555304e-18	1.1188066994852721e-13	1.1188066994852721e-13	2.3873460818555296e-18	9.784504252300482e-11	2.135853662773762e-12
9.761684775843184e-11	8.392178893833666e-21	1.8646334582125135e-16	1.8646334582125138e-16	9.55128801178625e-15	9.55128801178625e-15	1.9102540528165275e-12	1.8391092208977665e-15	9.323421026213819e-19	3.0684492454773907e-18	1.1187803278144636e-13	1.1187803278144634e-13	3.068449245477391e-18	9.78446681920517e-11	2.1362282995826295e-12
9.761575329585574e-11	9.17493684614452e-21	1.864593050432587e-16	1.8645930504325865e-16	9.551147306928036e-15	9.551147306928035e-15	1.9102261952904297e-12	2.2152962249520016e-15	9.323198725271828e-19	3.695166683767053e-18	1.1187560629504464e-13	1.1187560629504461e-13	3.6951666837670526e-18	9.784432375084242e-11	2.1365730222238617e-12
9.761474622984909e-11	9.89518871833477e-21	1.8645558699743884e-16	1.8645558699743884e-16	9.551017838487527e-15	9.551017838487527e-15	1.91020056241192e-12	2.561443321723139e-15	9.322994179172183e-19	4.2718384438840655e-18	1.11873373608419e-13	1.1187337360841897e-13	4.271838443884066e-18	9.784400681432705e-11	2.1368902176965517e-12
9.761381956783837e-11	1.0557935621834088e-20	1.8645216585663913e-16	1.8645216585663913e-16	9.550898707342754e-15	9.550898707342755e-15	1.910176976169857e-12	2.8799540043785222e-15	9.32280596684647e-19	4.802468680847838e-18	1.1187131921332706e-13	1.1187131921332704e-13	4.802468680847838e-18	9.784371518187683e-11	2.1371820884279003e-12
9.7612966888465e-11	1.1167770136567384e-20	1.8644901790193275e-16	1.8644901790193277e-16	9.550789087832934e-15	9.550789087832935e-15	1.910155273095846e-12	3.173035429191985e-15	9.32263278337749e-19	5.290734457690039e-18	1.1186942886688842e-13	1.1186942886688841e-13	5.29073445769004e-18	9.784344683262978e-11	2.1374506569313045e-12
9.76121823062675e-11	1.172890149596344e-20	1.8644612142215004e-16	1.8644612142215004e-16	9.550688223209173e-15	9.550688223209167e-15	1.910135303378202e-12	3.442710518914961e-15	9.322473432788537e-19	5.740005909346268e-18	1.1186768953711489e-13	1.1186768953711498e-13	5.7400059093462645e-18	9.784319991435134e-11	2.1376977769549113e-12
