M_P	MKK_P	P3_c	M_P_n	M	MKKK	PreP3_mRNA	M_PP	P3_n	P3mRNA	MKK_PP	M_n	MKKK_P	MKK	M_PP_n
0.0	0.0	0.0	0.0	999.9999036887529	999.9999036887529	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3999.99961475501	0.0
1.3175092473767026e-08	0.11190696265577371	1.3982279655997206e-90	1.693211167869995e-08	216.66809542246446	997.5641143170683	1.2762705613213957e-82	5.289938716254204e-19	5.424299601875485e-91	6.824892075829667e-86	1.642656568518066e-06	783.3318082361818	2.4357893716835877	3999.887706149695	4.307687749401761e-19
2.932799651599115e-07	0.41217640311645604	3.871897302709976e-78	5.684145181191368e-07	216.666645508757	995.1579831664983	9.6939050511159e-71	2.5935380784825366e-16	2.4334738524621116e-78	1.0789194491768128e-73	2.330039426054782e-05	783.3332573183018	4.841920522254608	3999.5874150514987	3.5216392087558267e-16
1.7696260567879819e-06	0.8568030862548295	3.807833235669273e-71	4.103546364449229e-06	216.66664402975758	992.7804720487321	5.5597642806787625e-64	9.187581986019141e-15	4.66306042195773e-71	9.42954801344385e-67	0.0001049112107920912	783.333253785823	7.219431640021237	3999.1427067575446	1.5947660250498034e-14
6.244864212954503e-06	1.411886156471072	-2.6311904402658886e-63	1.6029731917697682e-05	216.6666395552654	990.430602094584	2.759197764228771e-59	1.1172321960059888e-13	2.6389225714241443e-63	6.359124428435398e-62	0.00029586480021215404	783.333241858891	9.569301594169854	3998.5874327337388	2.249446165262055e-13
1.6396547163570143e-05	2.0513919347128655	-4.881505844887873e-57	4.49374709495703e-05	216.66662940231822	988.1074491143271	1.0327263367078624e-55	7.559998142486777e-13	4.881552675862848e-57	3.020656248707681e-58	0.000646665735955599	783.3332129524141	11.892454574427587	3997.947576154561	1.6826237278355999e-12
3.5679869093499466e-05	2.7553691477994464	-5.41942856480753e-49	0.00010236178867834712	216.66661011829564	985.8101394144622	7.615057291053971e-53	3.5295036894433316e-12	5.419428565321149e-49	2.7153084098280577e-55	0.0012044096684691184	783.3331555287874	14.189764274292617	3997.2430411975406	8.446067831241795e-12
6.818704533728063e-05	3.508546554012876	-3.8629440351675093e-42	0.00020232158290551324	216.66657762030235	983.5378460171978	1.8432873280600223e-50	1.2754048365950884e-11	3.8629440351675285e-42	7.7953761648013605e-53	0.0020106461217509913	783.3330555597772	16.46205767155817	3996.489057554874	3.2241910478557744e-11
0.00011849609775806248	4.299242644098126	-4.43872993343882e-36	0.00036078235090703295	216.6665273030857	981.2897852362645	1.9769771034345747e-48	3.8214189138327764e-11	4.43872993343882e-36	9.69056527180501e-51	0.0031006753538080846	783.3328971070795	18.710118452492036	3995.697271435557	1.0084525224258149e-10
0.00019152716558757117	5.118524130838166	-1.1958434308744513e-27	0.0005951251675272819	216.66645426885816	979.0652135687878	1.1455543964294413e-46	9.926246862512118e-11	1.1958434308744513e-27	6.410670683564069e-49	0.004503660233178116	783.3326627671913	20.9346901199686	3994.8765869639374	2.7114896357651867e-10
0.0002924152957239838	5.959559665744211	9.921486888977389e-30	0.0009236651121220865	216.66635338449703	976.8634248684543	4.097164732420667e-45	2.3045159521380588e-10	-9.921486888975554e-30	2.5869064741838303e-47	0.006243161781300241	783.3323342229702	23.136478820302045	3994.0338119274825	6.475758433328586e-10
0.0004264031199352448	6.817125054119211	2.548083146292643e-29	0.0013652379799582695	216.6662193952717	974.6837477691955	9.921209739688664e-44	4.887322991531843e-10	-2.548083146292689e-29	6.981808215036583e-46	0.008337858829381593	783.3318926504867	25.31615591956082	3993.174151842059	1.406136062460522e-09
0.0005987536576527237	7.687225199221411	-1.9326531930663228e-28	0.0019388598235425096	216.6660470445914	972.5255433330329	1.7470763950616236e-42	9.621922859984034e-10	1.9326531930663329e-28	1.3585176695503996e-44	0.010802311027590331	783.3313190268941	27.474360355723096	3992.3015872447595	2.8240818702338815e-09
0.0008146817637419029	8.566805499315835	-3.1083068202704275e-29	0.002663455956385131	216.66583111569582	970.3882028985516	2.3589525705402205e-41	1.7802175000490445e-09	3.108306820270701e-29	2.011946639613357e-43	0.013647687507863202	783.330594428242	29.611700790204377	3991.419161568184	5.314876130437302e-09
0.0010793019744887342	9.453531597685375	-2.1327402611500614e-28	0.003557652147200408	216.66556649413258	968.2711461095257	2.5447240938636463e-40	3.1249394292964046e-09	2.1327402611501404e-28	2.3652297268255062e-42	0.01688242262382519	783.3297002279058	31.728757579230088	3990.5292007346975	9.467985139210258e-09
0.0013975902507380989	10.345621246857728	3.289079460667881e-27	0.004639619213737721	216.66524820373496	966.1738191055813	2.2654843942026342e-39	5.24379386105247e-09	-3.2890794606678174e-27	2.2818861636596697e-41	0.02051278377572494	783.3286182542166	33.826084583174534	3989.6334807243734	1.609291164235683e-08
0.0017743571846599632	11.24171587835496	1.5234186307485662e-25	0.005926962103692194	216.66487143361155	964.0956928589245	1.7089444123116266e-38	8.46301515537085e-09	-1.523418630748522e-25	1.856414771192936e-40	0.024543349871560077	783.327330901123	35.9042108298314	3988.73335552678	2.626683310249673e-08
