Rec	JAK2	p_IL13_Rec	STAT5	p_IL13_Rec_i	IL13_Rec	CD274mRNA	Rec_i	pJAK2	pSTAT5	IL13
1.8	24.0	0.0	209.0	0.0	0.0	0.0	118.598	0.0	0.0	3.776
1.7878394611865136	23.96813172544884	0.0008084237052888449	208.99010699855577	5.216831554694907e-05	0.01092617494014752	3.0101930132057775e-05	118.59836993472182	0.03186827455115922	0.009893001444118513	3.776
1.7785176468984503	23.902912048307645	0.007652071827136655	208.93722623823385	0.001045694442987788	0.014643829807120591	0.00040026411246682687	118.59597133282736	0.09708795169235714	0.06277376176617772	3.776
1.7713626691078224	23.835895972262364	0.018747703299664197	208.83224634946353	0.004297580904675361	0.010926814460885424	0.0016897022675443857	118.59145972954093	0.16410402773763225	0.16775365053648827	3.776
1.7658616675666619	23.78426429863829	0.026589205514545463	208.68764492293354	0.009014094180204012	0.007234360002234347	0.004443583989591893	118.58533550279311	0.21573570136171813	0.3123550770664751	3.776
1.7616231698518048	23.75023584436303	0.030527101416080976	208.52238147062153	0.013602570486094548	0.005556907427848327	0.009011051867410396	118.57798059707876	0.24976415563697366	0.47761852937858135	3.776
1.758348360333171	23.72914135476061	0.032521652493706366	208.3516578397573	0.017358009259290635	0.004879906419081391	0.015537756715620988	118.56968655522027	0.2708586452394014	0.6483421602428091	3.776
1.755809149430151	23.716214318228687	0.03364501790867286	208.18482699845688	0.020222693371949693	0.004567038692676797	0.024027653735490914	118.56067591535148	0.2837856817713144	0.8151730015432738	3.776
1.7538314336101006	23.708241312558524	0.0343223500287459	208.02688850003645	0.02233824338849686	0.004400752145519353	0.034403336841828426	118.55111854349377	0.2917586874414741	0.9731114999637223	3.776
1.7522823175430275	23.703274975172743	0.03474343894850141	207.88018272163373	0.023871973422638873	0.004304715926011858	0.04654623251272961	118.54114410040894	0.2967250248272504	1.1198172783664164	3.776
1.7510603606175672	23.700156994564203	0.035008359965699225	207.74552789649763	0.024970015249918306	0.00424661232629046	0.06032029932480925	118.53085155769845	0.2998430054357852	1.2544721035025324	3.776
1.7500881319891421	23.698191712937117	0.035175339196370684	207.62289509860145	0.025748600160999547	0.004210484906788211	0.07558540807526165	118.5203164615571	0.30180828706286567	1.3771049013987204	3.776
1.7493065277589468	23.696953946142052	0.03528001066192926	207.51179787653902	0.026296235102806834	0.0041876548224079185	0.09220469760335949	118.50959647728288	0.303046053857929	1.488202123461108	3.776
1.748670433206053	23.696179205239922	0.03534478629493032	207.4115171353235	0.026678638950343975	0.004173098026353373	0.1100484571072359	118.49873562147053	0.30382079476005897	1.588482864676629	3.776
1.7481454117196824	23.69570053501134	0.035383979352138925	207.32123159361458	0.026943805875022722	0.00416378056195314	0.12899599885827054	118.48776749249315	0.30429946498863447	1.6787684063855235	3.776
1.7477051774110626	23.695411408294113	0.03540680564647895	207.24009345739617	0.027126368002345313	0.004157816426863909	0.14893636430712764	118.47671773637757	0.30458859170586405	1.7599065426039053	3.776
1.7473296659465314	23.695243385655523	0.03541921911441728	207.167271751421	0.027251084752499617	0.004154010229242855	0.169768356499955	118.46560592901835	0.304756614344458	1.8327282485790375	3.776
1.7470035620120925	23.695152347669772	0.035425066234211	207.10197625978952	0.02733552333163034	0.004151594721251365	0.19140019200541525	118.45444701287416	0.30484765233021205	1.8980237402104898	3.776
1.7467151751997492	23.69510984133266	0.035426824914556856	207.04346972696908	0.02739206717309529	0.004150073917125981	0.21374894892162374	118.44325239372199	0.30489015866732805	1.9565302730308594	3.776
1.7464555820606136	23.695097559367586	0.035426082852913696	206.99107293901238	0.027429394951080564	0.004149126123587585	0.23673991823953616	118.43203077772345	0.30490244063240324	2.0089270609875673	3.776
1.7462179712757588	23.695103780325223	0.03542384921445588	206.94416552754225	0.027453556162242928	0.004148542607167314	0.26030592315897505	118.42078881031597	0.30489621967476754	2.0558344724577187	3.776
1.7459971436532795	23.69512105515391	0.03542075841762026	206.90218427294786	0.027468746182816358	0.004148188215363347	0.28438664497363403	118.40953156404662	0.3048789448460777	2.097815727052156	3.776
1.7457891305886124	23.695144700230685	0.03541720313302992	206.8646200081325	0.027477859910978227	0.00414797597916211	0.30892797753125306	118.3982629108257	0.3048552997692977	2.1353799918675778	3.776
1.7455909027959786	23.695171813528372	0.03541342169916358	206.8310138219678	0.027482884744409485	0.00414785004284395	0.33388142218354316	118.38698580610624	0.3048281864716196	2.168986178032216	3.776
1.7454001479743946	23.695200632740818	0.0354095543013373	206.80095299120435	0.02748517799512686	0.004147775114935702	0.35920352860541604	118.37570250580684	0.304799367259176	2.1990470087956044	3.776
1.7452151011767798	23.695230118168936	0.03540567992754991	206.77406690590607	0.02748566145215793	0.004147729040558108	0.38485538334095815	118.36441473181398	0.3047698818310581	2.2259330940938935	3.776
1.7450344151043282	23.695259682067157	0.035401839895339175	206.75002313207202	0.027484957543516254	0.004147698189533701	0.4108021439994369	118.35312379853063	0.30474031793284057	2.249976867927946	3.776
1.744857061403531	23.69528901508951	0.035398052880429715	206.72852371391883	0.02748348367426036	0.00414767439029197	0.43701261894310844	118.34183070917722	0.30471098491048637	2.2714762860811377	3.776
1.7446822551089611	23.695317975158858	0.03539432456435287	206.7093017403609	0.027481517712943982	0.004147652813103637	0.4634588875093933	118.33053622950973	0.3046820248411326	2.290698259639097	3.776
1.744509397049764	23.695346517338585	0.03539065332200917	206.6921181995668	0.027479243061687194	0.004147630867519348	0.4901159586783359	118.31924094401158	0.3046534826614102	2.307881800433213	3.776
