TF_VIIa	Xa	IXa	ATIII	VII	X	Va	IIa	VIIIa	TF_VIIa_Xa	Xa_Va	IXa_VIIIa	mIIa	VIIa	Xa_TFPI	VIIIa1_L	TF_VIIa_X	II	TF_VIIa_IX	mIIa_ATIII	TF_VIIa_Xa_TFPI	IX	TF_VIIa_ATIII	VIII	TF_VII	Xa_Va_II	IIa_ATIII	IXa_VIIIa_X	V	TF	IXa_ATIII	VIIIa2	Xa_ATIII	TFPI	Values[IIa+1.2mIIa]
0.0	9.400000000000001e-11	2.1000000000000002e-10	3.4e-06	1e-08	1.6e-07	0.0	1e-09	0.0	0.0	0.0	0.0	0.0	1e-10	0.0	0.0	0.0	1.4000000000000001e-06	0.0	0.0	0.0	9.000000000000001e-08	0.0	7.000000000000001e-10	0.0	0.0	0.0	0.0	2e-08	0.0	0.0	0.0	0.0	2.5e-09	1e-09
0.0	8.675958172258971e-11	2.096360197536408e-10	3.3999749135710425e-06	9.987894270230327e-09	1.599997766525133e-07	3.8573203094908916e-10	9.77098098986893e-10	1.3647506773166629e-11	0.0	3.703628372870427e-12	5.6361463895676314e-15	6.660122769333343e-11	1.1210572976966996e-10	2.056681619018771e-13	4.1296758234680157e-14	0.0	1.3999289506866391e-06	0.0	4.0806174653368165e-13	0.0	9.000000000000001e-08	0.0	6.86296775626298e-10	0.0	3.079400830792741e-12	2.386252410379701e-11	8.78469591112201e-15	1.9607484939847254e-08	0.0	3.495594040583125e-13	4.1296758234680157e-14	4.662837025012201e-13	2.499794331838098e-09	1.0570195722188933e-09
0.0	7.025298967290356e-11	2.0924491361748514e-10	3.3999452153286696e-06	9.977421836935879e-09	1.5999938736982674e-07	7.580158815514862e-10	9.546444522981246e-10	2.6613931438870636e-11	0.0	1.2563045482147785e-11	2.0668684486393268e-14	4.774983266054874e-10	1.2257816306411594e-10	3.832638792626051e-13	1.6244617380706123e-13	0.0	1.3995041318757247e-06	0.0	6.03958064256639e-12	0.0	9.000000000000001e-08	0.0	6.731670228592701e-10	0.0	1.0508280596045151e-11	4.717748413365297e-11	3.593084356557416e-14	1.9218912792370334e-08	0.0	6.984868544627319e-13	1.6244617380706123e-13	8.691196992176859e-13	2.4996167361207364e-09	1.5276424442247094e-09
0.0	5.119978829337221e-11	2.0882829556747268e-10	3.3999001778012846e-06	9.96933651943434e-09	1.599986866527924e-07	1.14862620011314e-09	9.327533794057407e-10	3.8933916780769034e-11	0.0	2.3036629596073375e-11	4.453471168816651e-14	1.4018137352247734e-09	1.3066348056565294e-10	5.196307127209321e-13	3.594928735032252e-13	0.0	1.398548537834364e-06	0.0	2.764039747621157e-11	0.0	9.000000000000001e-08	0.0	6.605816234519192e-10	0.0	1.92982281266412e-11	6.995642540286431e-11	8.043218211990931e-14	1.8809038942164166e-08	0.0	1.0467375387191867e-12	3.594928735032252e-13	1.1786382965950937e-12	2.4994803692872784e-09	2.6149298616754688e-09
0.0	3.4589556390029316e-11	2.0838770211523326e-10	3.3998271443203227e-06	9.963611631279351e-09	1.59997537293283e-07	1.5898323013468434e-09	9.118269569913055e-10	5.064359375144555e-11	0.0	3.249652157028944e-11	7.673056455206521e-14	2.836238041232311e-09	1.3638836872064127e-10	6.151504933027611e-13	6.286904152001652e-13	0.0	1.3970546447236073e-06	0.0	7.784859095097486e-11	0.0	9.000000000000001e-08	0.0	6.48509685994079e-10	0.0	2.7224522763337605e-11	9.22171644546858e-11	1.4129927472251104e-13	1.8350446654319554e-08	0.0	1.3942680454920886e-12	6.286904152001652e-13	1.3956562252910797e-12	2.4993848495066955e-09	4.315312606470078e-09
0.0	2.271666625072569e-11	2.079245853260055e-10	3.3997148978885752e-06	9.959749014484676e-09	1.5999580992107834e-07	2.105007604675242e-09	8.923982982248252e-10	6.17832098109634e-11	0.0	3.975620567121204e-11	1.1678116245305215e-13	4.675855932737338e-09	1.4025098551530842e-10	6.784200424316375e-13	9.665194000102806e-13	0.0	1.3951166427535108e-06	0.0	1.6783225649553287e-10	0.0	9.000000000000001e-08	0.0	6.369158923464047e-10	0.0	3.328156500562648e-11	1.1398919402640799e-10	2.1759728016777455e-13	1.7821954624647945e-08	0.0	1.7410362313735955e-12	9.665194000102806e-13	1.5396246715467333e-12	2.4993215799575673e-09	6.50342541750963e-09
0.0	1.553786229800376e-11	2.0744030332447657e-10	3.399555180183108e-06	9.957115189732548e-09	1.5999338252443535e-07	2.7054312348561447e-09	8.749242518734426e-10	7.23969477126343e-11	0.0	4.488666056671311e-11	1.642432062052499e-13	6.7906257526651685e-09	1.428848102674344e-10	7.204147109390132e-13	1.3697130841471999e-12	0.0	1.392855823896418e-06	0.0	3.057831900977561e-10	0.0	9.000000000000001e-08	0.0	6.257606438519459e-10	0.0	3.7528684659677135e-11	1.3531422428625485e-10	3.084521450668345e-13	1.7212153419917495e-08	0.0	2.0870013242513287e-12	1.3697130841471999e-12	1.6354011843267915e-12	2.4992795852890605e-09	9.023675155071643e-09
0.0	1.171457032911226e-11	2.069361136788571e-10	3.399342599633813e-06	9.955180541951504e-09	1.5999013992743924e-07	3.391852161017423e-09	8.597140186151349e-10	8.253095628508911e-11	0.0	4.8660615788860485e-11	2.1870727155651648e-13	9.079040475627146e-09	1.4481945804847778e-10	7.503208089543793e-13	1.835275526902372e-12	0.0	1.390367363349401e-06	0.0	4.970212931274817e-10	0.0	9.000000000000001e-08	0.0	6.150020059456411e-10	0.0	4.0617712455166015e-11	1.5624315077414013e-10	4.1305497081039657e-13	1.651886951073858e-08	0.0	2.4321240787759647e-12	1.835275526902372e-12	1.7037982079391125e-12	2.499249679191045e-09	1.1754562589367708e-08
0.0	9.765746050607201e-12	2.0641317124331628e-10	3.3990736477282696e-06	9.953609077462419e-09	1.599859732466343e-07	4.158308108751431e-09	8.469978948514044e-10	9.223166484474448e-11	0.0	5.1931534532636035e-11	2.797984247299285e-13	1.148740802628335e-08	1.4639092253755852e-10	7.739658956218785e-13	2.3604878899509747e-12	0.0	1.3877005093705523e-06	0.0	7.449847340596171e-10	0.0	9.000000000000001e-08	0.0	6.04597385368684e-10	0.0	4.326682342811738e-11	1.7683315082503878e-10	5.306634718900244e-13	1.5746493533287843e-08	0.0	2.7763668600637734e-12	2.3604878899509747e-12	1.7580199869001547e-12	2.499226034104377e-09	1.4631887526391423e-08
0.0	8.707502613429055e-12	2.0587252853493268e-10	3.398745603761253e-06	9.95222753905638e-09	1.5998077934545122e-07	4.995555866976138e-09	8.370267933239677e-10	1.0154538033086084e-10	0.0	5.528606172999985e-11	3.471760873590883e-13	1.4001874352172157e-08	1.477724609435976e-10	7.943504982558512e-13	2.9429083669943957e-12	0.0	1.384865659901233e-06	0.0	1.0523246558037155e-09	0.0	9.000000000000001e-08	0.0	5.945039334500306e-10	0.0	4.5967273039159816e-11	1.9714702442772682e-10	6.606017647544904e-13	1.4903190798254727e-08	0.0	3.1196936129537062e-12	2.9429083669943957e-12	1.8048649033200395e-12	2.499205649501744e-09	1.7639276015930554e-08
