P	Values[dspksp]	Values[dspspkd]
10.0	9.99998989900021	9.98999490280026
10.528641343074234	10.528630702411931	10.518374789585518
11.059113521880079	11.059102339106321	11.048591111245864
11.593438957517378	11.59342722810607	11.582664949094433
12.13360026947715	12.133587986856933	12.122577729036145
12.681562875499045	12.681550031061633	12.67029379110693
13.239294636335574	13.239281219424099	13.227780010786715
13.808782910406306	13.808768908285362	13.797022835394475
14.392049196092614	14.39203459390282	14.380042912240857
14.991161374245829	14.991146154944902	14.978907320309778
15.608243409801775	15.608227554094745	15.595739263876059
16.24548221065185	16.245465696912785	16.232724925773557
16.905131184158872	16.90511398834776	16.892117020618077
17.58950986887842	17.58949196445674	17.57623442530962
18.30099885876875	18.300980216618917	18.287457104143467
19.042029101771185	19.042009690124715	19.02821541036543
19.815064522902688	19.81504430728499	19.800972714372723
20.62257688483293	20.622555828032027	20.608200271522897
21.467011800411125	21.46698986247991	21.45234324401529
22.350744955553537	22.350722093855964	22.335776935131104
23.27602795697616	23.27600412628887	23.260752650086506
24.244923661415243	24.24489881409571	24.22933303977052
25.259231636921474	25.259205723154594	25.24331757739214
26.32040536366755	26.320378331800224	26.30415977459478
27.429463940198616	27.429435737169698	27.41287890205038
28.586902328162196	28.586872900031043	28.56997024631737
29.79260537073205	29.792574663304084	29.775319136901924
31.04577176582929	31.045739725369785	31.028124923371436
32.344854647587894	32.344821221609365	32.32684155488172
33.68752523051664	33.68749036861636	33.66914121571543
35.07066487420191	35.070628528921574	35.05190637455827
36.49038922715685	36.49035135483101	36.471253906336734
37.94210544901248	37.94206601057051	37.92259228666065
39.42060084639914	39.42055980808608	39.400710195955604
40.92015839015636	40.920115724142406	40.89989200242249
42.43469233276735	42.43464801762172	42.41405334517096
43.95789562801639	43.95784964902938	43.93688852107297
45.48339033574877	45.483342685095096	45.462020860400294
47.00487257256092	47.004823249306824	46.98314765297227
48.51624494436135	48.516193954324876	48.494172561872794
50.01173088083836	50.011678236319334	49.98931994481224
51.48596763243382	51.48591335183423	51.463227843717526
52.93407633531483	52.93402044267207	52.911018047571865
54.351709413379545	54.3516519378369	54.32834349655228
55.73507685369595	55.73501782893186	55.711414563355675
57.080953798850864	57.080893262487955	57.057006653973204
58.386672417416136	58.38661041042785	58.362452088452045
59.650101196953834	59.6500377630833	59.62561940537878
60.86961472747271	60.86954991267528	60.84488315707868
62.04405678808385	62.04399064000225	62.01908700832504
63.17269920867875	63.172631776157125	63.14750260929705
64.2551985722984	64.2551299049384	64.22978630883884
65.29155242597025	65.29148257373146	65.26593537518062
66.28205628961341	66.28198530245852	66.25624501400911
67.22726241872834	67.22719034631196	67.20126713910618
68.12794098031715	68.12786787171615	68.10177155558254
68.98504407694942	68.98496998043353	68.95870998996678
69.79967286003969	69.79959782287816	69.77318320889299
70.57304781117335	70.57297187947593	70.54641130506562
71.30648217800153	71.30640539658967	71.27970713688404
72.00135845952089	72.00128087182664	71.97445281695781
72.65910778793669	72.65902943592623	72.63207909657515
73.28119201227386	73.28111293639238	73.25404745145606
73.86908827153917	73.86900851067465	73.84183465658963
74.4242758357242	74.42419542718812	74.39691962845188
74.9482249984952	74.94814397801674	74.92077231889179
75.44238779972771	75.44230620146007	75.41484443815024
75.90819037897998	75.90810823551688	75.88056180891475
76.34702676528038	76.34694410768122	76.31931815645574
76.76025392743519	76.76017078525655	76.73247015889598
77.14918792200105	77.14910432333447	77.12133359529777
77.515100991824	77.51501696333749	77.48718044406658
77.85921948220376	77.85913504918706	77.83123679890035
78.18272245659226	78.18263764300465	78.15468148420244
78.48674090540489	78.48665573392448	78.45864526351916
78.77235745867571	78.77227195075021	78.74421055189801
79.04060651138775	79.04052068728535	79.01241154079621
79.2924747025405	79.29238858140108	79.26423467675376
79.5289016703815	79.52881527026754	79.50061941604456
79.75078104516247	79.75069438310916	79.72245921723236
79.95896161599276	79.95887470805732	79.9306027072992
80.15424864860954	80.15416150991939	80.12585499918887
80.33740530002967	80.33731794482918	80.30897910590981
80.50915412155143	80.50906656324759	80.48069744314834
80.67017860262172	80.67009085382766	80.64169337271079
80.82112475768986	80.82103683026757	80.79261278890195
80.96260271407839	80.96251461917919	80.9340657060723
81.09518831075803	81.09510005886166	81.06662785700155
81.21942467124019	81.2193362721919	81.19084226541096
81.33582376468152	81.3357352277281	81.30722080667255
81.44486792408286	81.44477925790643	81.41624572575799
81.54701133715567	81.54692254990613	81.51837112767258
81.64268148419524	81.64259258352115	81.61402441514973
81.73228053862957	81.73219153170724	81.7036076887813
81.81618670965489	81.81609760321619	81.78749908941872
81.89475554143287	81.89466634179169	81.86605409719544
81.9683211529459	81.96823186602286	81.93960677096592
82.03719743136345	82.0371080627095	82.00847094151973
82.10167916700978	82.10158972182847	82.07294134641376
82.16204314089784	82.16195362406648	82.1332947171287
82.21854915637738	82.21845957246667	82.18979081057373
