DR	DRG	G_GDP	DRG_GTP	DRG_GDP	GDP	D	GTP	G_GTP	R
4.376390369326691e-13	4.805265118413147e-11	9.998790155927847e-07	4.290051155723785e-11	8.580963353658485e-12	8.971700618687896e-10	3.099990002823487e-05	9.999150882589324e-06	2.1450281118464576e-11	2.8234868040762473e-14
4.3763799923176353e-13	4.8052738921310156e-11	9.998790156427266e-07	4.2900405873476363e-11	8.580982404881449e-12	9.400705034856907e-10	3.099990002823481e-05	9.999107982235445e-06	2.1450230072023066e-11	2.8234801101618588e-14
4.376369596738835e-13	4.805282643837726e-11	9.99879015693253e-07	4.29002999707075e-11	8.581001897204462e-12	9.829708385487124e-10	3.099990002823474e-05	9.999065081987898e-06	2.145017843895133e-11	2.8234734038235633e-14
4.376359232660159e-13	4.8052914331605806e-11	9.998790157460985e-07	4.2900194439419975e-11	8.58102063852386e-12	1.025871068137441e-09	3.099990002823467e-05	9.999022181846202e-06	2.1450124490198005e-11	2.8234667185610204e-14
4.3763488450939844e-13	4.8053001944152907e-11	9.998790157988918e-07	4.2900088631199574e-11	8.581039939963487e-12	1.0687711910644139e-09	3.099990002823461e-05	9.998979281810888e-06	2.1450070591203535e-11	2.823460017583247e-14
4.3763385039257796e-13	4.805309010987232e-11	9.99879015853225e-07	4.289998337011724e-11	8.58105813614246e-12	1.1116712088377853e-09	3.099990002823454e-05	9.99893638188128e-06	2.1450015157144306e-11	2.8234533476465018e-14
4.376328267772641e-13	4.8053179527818706e-11	9.998790159096288e-07	4.2899879347357925e-11	8.58107383056723e-12	1.1545711227222596e-09	3.099990002823448e-05	9.998893482056814e-06	2.1449957663559245e-11	2.8234467479670335e-14
4.3763179504835075e-13	4.805326797905167e-11	9.998790159645934e-07	4.2899774367914744e-11	8.581091457045715e-12	1.1974709287018354e-09	3.0999900028234415e-05	9.998850582339286e-06	2.1449901600690856e-11	2.823440094007037e-14
4.3763074455777913e-13	4.8053354194486805e-11	9.998790160155548e-07	4.289966717621377e-11	8.58111355159672e-12	1.2403706244794155e-09	3.099990002823435e-05	9.998807682729724e-06	2.144984952113659e-11	2.823433314529648e-14
4.376296800430618e-13	4.8053438738745175e-11	9.998790160634056e-07	4.289955833086877e-11	8.581138985930954e-12	1.283270211076886e-09	3.099990002823428e-05	9.998764783227671e-06	2.144980053730883e-11	2.8234264412294324e-14
4.3762863760861556e-13	4.805352591489057e-11	9.998790161161802e-07	4.2899452089121424e-11	8.581159161222952e-12	1.3261696962826302e-09	3.099990002823422e-05	9.998721883829641e-06	2.1449746652871465e-11	2.823419715649598e-14
4.3762759422551525e-13	4.8053612978145316e-11	9.998790161681848e-07	4.289934573549686e-11	8.58117956229497e-12	1.3690690751287124e-09	3.099990002823415e-05	9.99867898453786e-06	2.1449693537346373e-11	2.8234129837234643e-14
4.376265499716572e-13	4.805369993769542e-11	9.998790162189632e-07	4.289923927915974e-11	8.581200170713262e-12	1.4119683476318186e-09	3.099990002823408e-05	9.998636085352315e-06	2.1449641647633985e-11	2.823406245971956e-14
4.3762550510250617e-13	4.8053786823942885e-11	9.99879016268295e-07	4.28991327502249e-11	8.581220925688462e-12	1.454867513846947e-09	3.099990002823401e-05	9.998593186272984e-06	2.1449591203390352e-11	2.8233995041040148e-14
4.376244609526086e-13	4.805387379666986e-11	9.998790163190399e-07	4.28990263062011e-11	8.581241508505697e-12	1.497766574062018e-09	3.099990002823395e-05	9.998550287299743e-06	2.1449539347097496e-11	2.823392767049e-14
4.37623417668464e-13	4.805396087302702e-11	9.998790163699904e-07	4.289891996430588e-11	8.581261884640509e-12	1.540665528308468e-09	3.099990002823388e-05	9.998507388432572e-06	2.1449487285928532e-11	2.8233860357863893e-14
4.376223759834995e-13	4.805404814049623e-11	9.998790164214671e-07	4.289881381104097e-11	8.581281879326816e-12	1.583564376744414e-09	3.099990002823381e-05	9.998464489671404e-06	2.1449434700256395e-11	2.823379315222871e-14
4.376213367528837e-13	4.805413570107715e-11	9.998790164738523e-07	4.2898707947266615e-11	8.581301288792303e-12	1.6264631195542347e-09	3.099990002823374e-05	9.998421591016156e-06	2.144938120907534e-11	2.8233726110795875e-14
4.376202960622617e-13	4.805422308760332e-11	9.998790165257619e-07	4.289860191131341e-11	8.581321046049099e-12	1.669361755892869e-09	3.099990002823367e-05	9.998378692467202e-06	2.1449328191591406e-11	2.82336589716878e-14
4.3761925504222763e-13	4.805431043492184e-11	9.99879016577713e-07	4.2898495836526105e-11	8.581340881699108e-12	1.7122602860041112e-09	3.09999000282336e-05	9.998335794024439e-06	2.144927513214536e-11	2.8233591810542063e-14
4.376182137076665e-13	4.8054397744730296e-11	9.99879016629822e-07	4.2898389724659914e-11	8.581360792273624e-12	1.7551587098909325e-09	3.0999900028233534e-05	9.998292895687863e-06	2.1449221914546935e-11	2.8233524628353336e-14
4.3761717164880406e-13	4.805448496804108e-11	9.998790166820628e-07	4.2898283527384715e-11	8.581380875527566e-12	1.7980570274646332e-09	3.0999900028233466e-05	9.99824999745751e-06	2.1449168564716096e-11	2.823345739770576e-14
4.376161297457022e-13	4.8054572210084535e-11	9.998790167344484e-07	4.289817734849626e-11	8.581400921495914e-12	1.8409552389153519e-09	3.09999000282334e-05	9.998207099333303e-06	2.1449115069782175e-11	2.8233390177480393e-14
4.3761508815926966e-13	4.8054659490386775e-11	9.998790167866082e-07	4.2898071206972195e-11	8.581420891503229e-12	1.8838533442781643e-09	3.099990002823333e-05	9.998164201315222e-06	2.144906180095518e-11	2.8233322978448138e-14
4.376140464248131e-13	4.805474675324509e-11	9.998790168387069e-07	4.2897965048005e-11	8.581440896555522e-12	1.9267513434522833e-09	3.099990002823326e-05	9.998121303403308e-06	2.1449008593668133e-11	2.8233255769516087e-14
4.3761300450124043e-13	4.8054833993849735e-11	9.998790168906035e-07	4.289785886674774e-11	8.581460946353296e-12	1.969649236428852e-09	3.0999900028233195e-05	9.998078405597573e-06	2.1448955587751777e-11	2.823318854793692e-14
4.376119639524544e-13	4.8054921396270665e-11	9.998790169464537e-07	4.289775284767755e-11	8.581480670681043e-12	2.0125470235408885e-09	3.099990002823313e-05	9.998035507897863e-06	2.1448898629909234e-11	2.8233121418286818e-14
4.3761092514413357e-13	4.8055009003567896e-11	9.998790170072059e-07	4.289764703392989e-11	8.581499982953183e-12	2.055444704866181e-09	3.099990002823306e-05	9.997992610304145e-06	2.1448836771919026e-11	2.823305440501858e-14
4.376098863806688e-13	4.805509661622409e-11	9.998790170682928e-07	4.289754122549217e-11	8.581519284508554e-12	2.0983422800434454e-09	3.0999900028233e-05	9.99794971281658e-06	2.1448774579204374e-11	2.8232987394749896e-14
4.376088476327142e-13	4.805518423081183e-11	9.998790171296062e-07	4.289743541890309e-11	8.581538582267197e-12	2.1412397490663264e-09	3.099990002823293e-05	9.997906815435174e-06	2.144871216017626e-11	2.8232920385518897e-14
4.376078088709241e-13	4.805527184390372e-11	9.998790171910372e-07	4.2897329610701305e-11	8.581557883149147e-12	2.1841371119284682e-09	3.099990002823286e-05	9.997863918159923e-06	2.1448649623245685e-11	2.8232853375363723e-14
4.376067700659527e-13	4.8055359452072354e-11	9.998790172524778e-07	4.28972237974255e-11	8.581577194074448e-12	2.2270343686235145e-09	3.0999900028232795e-05	9.997821020990837e-06	2.144858707682364e-11	2.8232786362322508e-14
4.376057311884543e-13	4.8055447051890334e-11	9.998790173138195e-07	4.2897117975614346e-11	8.581596521963137e-12	2.269931519145111e-09	3.099990002823273e-05	9.997778123927914e-06	2.144852462932112e-11	2.8232719344433382e-14
4.376046922090832e-13	4.8055534639930245e-11	9.998790173749537e-07	4.28970121418065e-11	8.581615873735251e-12	2.3128285634869e-09	3.099990002823266e-05	9.997735226971162e-06	2.1448462389149114e-11	2.8232652319734484e-14
4.3760365309849353e-13	4.805562221276468e-11	9.99879017435772e-07	4.289690629254066e-11	8.581635256310834e-12	2.3557255016425267e-09	3.099990002823259e-05	9.997692330120578e-06	2.1448400464718622e-11	2.823258528626395e-14
4.376026138273396e-13	4.805570976696625e-11	9.99879017496166e-07	4.289680042435548e-11	8.581654676609919e-12	2.3986223336056356e-09	3.099990002823253e-05	9.997649433376169e-06	2.1448338964440638e-11	2.823251824205992e-14
4.376015743662757e-13	4.805579729910753e-11	9.99879017556027e-07	4.289669453378965e-11	8.581674141552549e-12	2.44151905936987e-09	3.099990002823246e-05	9.997606536737937e-06	2.1448277996726154e-11	2.8232451185160523e-14
4.37600534685956e-13	4.805588480576113e-11	9.99879017615247e-07	4.289658861738183e-11	8.581693658058763e-12	2.4844156789288753e-09	3.0999900028232395e-05	9.997563640205885e-06	2.1448217669986158e-11	2.8232384113603894e-14
4.375994947570349e-13	4.805597228349964e-11	9.998790176737175e-07	4.289648267167069e-11	8.581713233048597e-12	2.5273121922762944e-09	3.099990002823233e-05	9.997520743780016e-06	2.144815809263165e-11	2.823231702542817e-14
4.3759845455016645e-13	4.805605972889564e-11	9.998790177313297e-07	4.289637669319491e-11	8.581732873442093e-12	2.5702085994057724e-09	3.099990002823226e-05	9.99747784746033e-06	2.1448099373073626e-11	2.823224991867149e-14
4.3759741403600497e-13	4.805614713852175e-11	9.998790177879752e-07	4.2896270678493166e-11	8.581752586159289e-12	2.6131049003109532e-09	3.099990002823219e-05	9.997434951246836e-06	2.144804161972307e-11	2.823218279137198e-14
4.375963731852048e-13	4.8056234508950554e-11	9.99879017843546e-07	4.289616462410413e-11	8.581772378120224e-12	2.656001094985481e-09	3.0999900028232124e-05	9.99739205513953e-06	2.1447984940990985e-11	2.8232115641567786e-14
4.3759533196842015e-13	4.805632183675465e-11	9.998790178979332e-07	4.2896058526566474e-11	8.581792256244937e-12	2.698897183423e-09	3.0999900028232056e-05	9.997349159138421e-06	2.144792944528836e-11	2.823204846729704e-14
4.375942903563052e-13	4.8056409118506626e-11	9.998790179510289e-07	4.2895952382418875e-11	8.581812227453469e-12	2.741793165617154e-09	3.0999900028231996e-05	9.99730626324351e-06	2.144787524102619e-11	2.823198126659787e-14
4.375932483195143e-13	4.805649635077908e-11	9.99879018002724e-07	4.289584618819999e-11	8.581832298665855e-12	2.784689041561588e-09	3.099990002823192e-05	9.997263367454797e-06	2.144782243661547e-11	2.8231914037508423e-14
4.3759220582870164e-13	4.805658353014461e-11	9.998790180529104e-07	4.289573994044851e-11	8.581852476802136e-12	2.827584811249946e-09	3.099990002823185e-05	9.997220471772287e-06	2.1447771140467188e-11	2.8231846778066826e-14
4.375911628545215e-13	4.80566706531758e-11	9.998790181014795e-07	4.289563363570311e-11	8.581872768782354e-12	2.870480474675872e-09	3.0999900028231785e-05	9.997177576195985e-06	2.1447721460992347e-11	2.823177948631122e-14
4.375901193676281e-13	4.805675771644527e-11	9.998790181483232e-07	4.289552727050245e-11	8.581893181526542e-12	2.9133760318330103e-09	3.099990002823172e-05	9.997134680725893e-06	2.144767350660193e-11	2.8231712160279737e-14
4.3758907533867566e-13	4.8056844716525586e-11	9.998790181933326e-07	4.28954208413852e-11	8.581913721954744e-12	2.9562714827150046e-09	3.099990002823165e-05	9.99709178536201e-06	2.1447627385706944e-11	2.8231644798010512e-14
4.3758803073831854e-13	4.8056931649989354e-11	9.998790182363998e-07	4.289531434489005e-11	8.581934396986998e-12	2.9991668273155e-09	3.099990002823158e-05	9.997048890104343e-06	2.144758320671837e-11	2.823157739754168e-14
4.37586985537211e-13	4.805701851340918e-11	9.998790182774156e-07	4.289520777755567e-11	8.58195521354334e-12	3.04206206562814e-09	3.0999900028231514e-05	9.997005994952892e-06	2.1447541078047208e-11	2.823150995691138e-14
4.375859397060071e-13	4.805710530335765e-11	9.998790183162722e-07	4.289510113592072e-11	8.581976178543812e-12	3.084957197646569e-09	3.099990002823145e-05	9.996963099907665e-06	2.144750110810445e-11	2.8231442474157746e-14
4.375848932153613e-13	4.805719201640735e-11	9.99879018352861e-07	4.2894994416523884e-11	8.581997298908453e-12	3.1278522233644315e-09	3.099990002823138e-05	9.99692020496866e-06	2.144746340530109e-11	2.8231374947318908e-14
4.3758384603592775e-13	4.805727864913088e-11	9.998790183870736e-07	4.289488761590384e-11	8.582018581557302e-12	3.1707471427753714e-09	3.099990002823132e-05	9.996877310135882e-06	2.1447428078048122e-11	2.8231307374433007e-14
4.375827981383607e-13	4.805736519810085e-11	9.998790184188013e-07	4.2894780730599243e-11	8.582040033410396e-12	3.2136419558730327e-09	3.099990002823125e-05	9.996834415409333e-06	2.144739523475654e-11	2.823123975353818e-14
4.3758175356129394e-13	4.805745213562111e-11	9.998790184620114e-07	4.2894674236962104e-11	8.58206070150329e-12	3.2565366635170607e-09	3.099990002823118e-05	9.996791520788625e-06	2.1447350912798988e-11	2.8231172354640984e-14
4.375807122457673e-13	4.805753945480101e-11	9.998790185164928e-07	4.289456812803811e-11	8.58208059974383e-12	3.2994312656947955e-09	3.0999900028231115e-05	9.996748626273767e-06	2.14472953230215e-11	2.8231105173799673e-14
4.375796709214976e-13	4.805762677320057e-11	9.998790185709231e-07	4.289446201810122e-11	8.582100499786933e-12	3.342325761709943e-09	3.099990002823105e-05	9.996705731865071e-06	2.1447239784156603e-11	2.8231037992376574e-14
4.3757862958530327e-13	4.8057714090452166e-11	9.998790186252847e-07	4.2894355906776164e-11	8.582120402378886e-12	3.3852201515617167e-09	3.099990002823098e-05	9.996662837562536e-06	2.144718431411361e-11	2.8230970810159066e-14
4.375775882340028e-13	4.80578014061882e-11	9.998790186795596e-07	4.2894249793687647e-11	8.582140308265965e-12	3.4281144352493313e-09	3.099990002823091e-05	9.996619943366166e-06	2.1447128930801797e-11	2.8230903626934515e-14
4.3757654686441494e-13	4.805788872004106e-11	9.998790187337294e-07	4.289414367846041e-11	8.582160218194456e-12	3.4710086127720003e-09	3.0999900028230844e-05	9.996577049275956e-06	2.1447073652130478e-11	2.8230836442490305e-14
4.375755054733581e-13	4.805797603164313e-11	9.998790187877771e-07	4.289403756071917e-11	8.582180132910637e-12	3.5139026841289394e-09	3.0999900028230776e-05	9.99653415529191e-06	2.1447018496008943e-11	2.82307692566138e-14
4.3757446405765094e-13	4.8058063340626805e-11	9.998790188416842e-07	4.289393144008864e-11	8.58220005316079e-12	3.5567966493193608e-09	3.099990002823071e-05	9.99649126141403e-06	2.144696348034649e-11	2.8230702069092382e-14
4.3757342261411196e-13	4.8058150646624473e-11	9.998790188954327e-07	4.289382531619355e-11	8.5822199796912e-12	3.5996905083424798e-09	3.099990002823065e-05	9.996448367642312e-06	2.1446908623052415e-11	2.823063487971342e-14
4.3757238113955976e-13	4.8058237949268526e-11	9.99879018949005e-07	4.289371918865862e-11	8.582239913248147e-12	3.6425842611975094e-09	3.099990002823058e-05	9.996405473976759e-06	2.144685394203601e-11	2.823056768826429e-14
