SosInactive	Raf1Inactive	MekInactive	boundEGFReceptor	freeNGFReceptor	RasInactive	BRafInactive	ErkInactive	PI3KInactive	Rap1Inactive	P90RskInactive	AktInactive	C3GInactive	BRafActive	ErkActive	PI3KActive	Rap1Active	MekActive	SosActive	boundNGFReceptor	RasActive	Raf1Active	NGF	AktActive	EGF	C3GActive	P90RskActive	freeEGFReceptor
120000.0	120000.0	600000.0	0.0	10000.0	120000.0	120000.0	600000.0	120000.0	120000.0	120000.0	120000.0	120000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	456000.0	0.0	10002000.0	0.0	0.0	80000.0
45.38322864322468	116894.53512018383	567703.4077439898	79995.53498411867	9391.79635054867	97242.94227212391	119877.52109184618	561603.9179725767	2274.587316504455	116071.93854175344	119970.89989533098	119250.72840227248	80010.2157474719	122.47890815387773	38396.08202742275	117725.41268349544	3928.0614582468893	32296.592256011103	119954.61677135667	608.2036494513206	22757.057727876105	3105.4648798163316	455391.79635054845	749.2715977273207	9922004.465015862	39989.784252528116	29.10010466911904	4.465015881560179
338.9511431558736	116090.66504462987	503952.34406697087	79995.53498411867	8825.54817343252	97295.64499688032	119426.54176103484	397238.80634456885	22.594136916181498	106167.35841180058	119647.91724073276	118210.82061132016	1329.2553534814692	573.4582389651333	202761.19365543037	119977.40586308355	13832.641588199665	96047.65593303097	119661.04885684405	1174.4518265674783	22704.355003119803	3909.3349553701637	454825.5481734322	1789.179388679573	9922004.465015862	118670.74464651839	352.08275926737275	4.465015881560179
1062.9130093135752	116126.42783223274	443767.4672741697	79995.53498411867	8298.27867618793	97426.1254611052	119316.99020033378	203513.65398631903	0.22175099537606321	105544.6635142614	118768.05515364124	117174.42805037265	0.00010642536525613394	683.0097996662604	396486.34601367975	119999.77824900442	14455.336485738837	156232.53272583167	118937.08699068641	1701.7213238120712	22573.874538894906	3873.572167767183	454298.27867618774	2825.5719496271927	9922004.465015862	119999.99989357436	1231.9448463589251	4.465015881560179
2347.2864122527644	116498.50063526505	410644.76098436635	79995.53498411867	7807.233068073547	97658.25902342248	119315.90206016814	108518.42368640655	0.002176233802865756	105544.62439300727	117472.69335737271	116145.71054655661	2.3107449456321482e-14	684.0979398318847	491481.5763135929	119999.997823766	14455.375606993111	189355.23901563484	117652.71358774712	2192.7669319264664	22341.740976577672	3501.499364734795	453807.23306807334	3854.2894534432517	9922004.465015862	119999.99999999968	2527.3066426274295	4.465015881560179
4259.57489243893	116937.55519324179	395680.97407025204	79995.53498411867	7349.860604858147	98004.70171793833	119315.89387735174	81268.04538351575	2.135897800252869e-05	105544.62439152942	116032.42689978844	115124.67218349727	2.245388369248615e-26	684.1061226482017	518731.95461648423	119999.99997864095	14455.37560847098	204319.02592974933	115740.42510756089	2650.1393951418704	21995.298282061874	3062.4448067580975	453349.86060485715	4875.327816502485	9922004.465015862	119999.99999999968	3967.5731002118036	4.465015881560179
6853.187363755551	117334.92547189145	391230.75413726224	79995.53498411867	6923.798263416727	98475.84702437054	119315.89381591218	74728.68498367445	2.096549764386688e-07	105544.62439152942	114566.72597302379	114111.27620909689	1.4345770230815536e-40	684.1061840878039	525271.3150163257	119999.99999979028	14455.375608471035	208769.2458627391	113146.81263624427	3076.2017365833017	21524.152975629735	2665.0745281084223	452923.79826341436	5888.723790902881	9922004.465015862	119999.99999999968	5433.274026976453	4.465015881560179
10062.804650301232	117673.1426681323	392565.7457495325	79995.53498411867	6526.855876435892	99060.87046464828	119315.89381545088	73717.15314224565	2.0582377375449846e-09	105544.62439152942	113108.25191974	113105.48537850125	1.0289386751864062e-56	684.106184549111	526282.8468577553	119999.99999999795	14455.375608471035	207434.2542504689	109937.1953496987	3473.144123564145	20939.129535351873	2326.8573318675335	452526.8558764327	6894.514621498606	9922004.465015862	119999.99999999968	6891.748080260248	4.465015881560179
13651.088843334375	117957.49773349956	396920.17368647957	79995.53498411867	6157.0025777428855	99717.38533521481	119315.89381544755	74598.34402008961	2.0207754882093346e-11	105544.62439152942	111666.1767885071	112107.26235095174	2.9797013713886374e-70	684.1061845525752	525401.6559799104	119999.99999999993	14455.375608471037	203079.8263135219	106348.91115666539	3842.99742225715	20282.614664785302	2042.502266500302	452157.0025777388	7892.737649048099	9922004.465015862	119999.99999999968	8333.823211493116	4.465015881560179
17339.490137126857	118192.89671020203	402659.27313833986	79995.53498411867	5812.354426325453	100394.72859637994	119315.89381544755	76337.21319737312	1.9861893211076241e-13	105544.62439152942	110243.83480530434	111116.56969751134	-8.506320045435947e-73	684.1061845526017	523662.7868026268	119999.99999999993	14455.375608471037	197340.72686166147	102660.50986287286	4187.645573674582	19605.271403620216	1807.1032897978407	451812.3544263211	8883.430302488518	9922004.465015862	119999.99999999968	9756.165194695875	4.465015881560179
20935.13130061155	118385.5037519038	408801.6449931351	79995.53498411867	5491.163092262201	101057.30698102863	119315.89381544755	78498.14471081858	1.9564375253685167e-15	105544.62439152942	108842.6174562228	110133.36990499013	-1.9120429832350218e-75	684.1061845526017	521501.85528918135	119999.99999999993	14455.375608471037	191198.35500686627	99064.86869938816	4508.836907737834	18942.693018971524	1614.4962480960314	451491.163092258	9866.630095009708	9922004.465015862	119999.99999999968	11157.382543777412	4.465015881560179
24344.20717103506	118543.19163789669	414786.6342759917	79995.53498411867	5191.805501115465	101687.45979951025	119315.89381544755	80834.96818997226	1.939417176241918e-17	105544.62439152942	107462.98381958324	109157.62537982463	-4.326070505310057e-77	684.1061845526017	519165.03181002784	119999.99999999993	14455.375608471037	185213.36572400975	95655.79282896467	4808.19449888457	18312.54020048992	1456.8083621031437	451191.80550111143	10842.374620175224	9922004.465015862	119999.99999999968	12537.016180416937	4.465015881560179
27535.895552318452	118673.51227766256	420330.31610736944	79995.53498411867	4912.774344775709	102279.08426594426	119315.89381544755	83193.93281909412	1.9348492513851987e-19	105544.62439152942	106104.85187467263	108189.29845194516	8.070434476567729e-78	684.1061845526017	516806.067180906	119999.99999999993	14455.375608471037	179669.6838926321	92464.10444768127	5087.225655224325	17720.915734055885	1326.487722337231	450912.7743447717	11810.701548054665	9922004.465015862	119999.99999999968	13895.148125327509	4.465015881560179
30510.588380083725	118782.60847341828	425319.44445827906	79995.53498411867	4652.669376930066	102831.88519628315	119315.89381544755	85480.11585820747	1.9405614695326925e-21	105544.62439152942	104767.81723440431	107228.3513786317	2.1582956060398174e-77	684.1061845526017	514519.8841417926	119999.99999999993	14455.375608471037	174680.5555417224	89489.41161991596	5347.330623069968	17168.11480371701	1217.3915265815306	450652.6693769259	12771.648621368111	9922004.465015862	119999.99999999968	15232.182765595831	4.465015881560179
33281.778703702956	118875.15416029509	429737.53700738784	79995.53498411867	4410.189420122351	103348.05721687996	119315.89381544755	87638.937981966	2.0162351177731036e-23	105544.62439152942	103451.29569019658	106274.74634835644	-1.8194725382971986e-77	684.1061845526017	512361.0620180341	119999.99999999993	14455.375608471037	170262.46299261364	86718.22129629675	5589.810579877683	16651.942783120216	1124.845839704754	450410.18942011823	13725.253651643376	9922004.465015862	119999.99999999968	16548.70430980355	4.465015881560179
35867.22515901682	118954.6382445429	433617.7937175632	79995.53498411867	4184.125019145461	103830.648403583	119315.89381544755	89643.35729565621	1.7128164635273005e-25	105544.62439152942	102154.61817088712	105328.44548461276	5.605555420291684e-77	684.1061845526017	510356.64270434395	119999.99999999993	14455.375608471037	166382.20628243833	84132.77484098285	5815.874980854574	16169.351596417171	1045.3617554569364	450184.12501914124	14671.554515387063	9922004.465015862	119999.99999999968	17845.381829113016	4.465015881560179
38284.99746381085	119023.66841541852	437015.13406247646	79995.53498411867	3973.3516823349737	104282.81741816211	119315.89381544755	91484.5078241638	1.5409813161858693e-27	105544.62439152942	100877.09232270901	104389.41084972951	4.831654013997685e-77	684.1061845526017	508515.49217583647	119999.99999999993	14455.375608471037	162984.86593752503	81715.00253618884	6026.648317665062	15717.182581838102	976.3315845813507	449973.3516823307	15610.589150270329	9922004.465015862	119999.99999999968	19122.907677291085	4.465015881560179
40551.87232313959	119084.21274901637	439990.58625504095	79995.53498411867	3776.823658347092	104707.52491157594	119315.89381544755	93164.89615467779	4.6325551535150695e-28	105544.62439152942	99618.04037095666	103457.60444866959	1.1201829167048656e-76	684.1061845526017	506835.1038453224	119999.99999999993	14455.375608471037	160009.41374496048	79448.1276768601	6223.176341652941	15292.475088424311	915.7872509834843	449776.8236583429	16542.395551330235	9922004.465015862	119999.99999999968	20381.95962904343	4.465015881560179
42682.812699537746	119137.77597655683	442603.2019437858	79995.53498411867	3593.5682013213686	105107.42730694657	119315.89381544755	94693.59067421922	5.036082521309287e-29	105544.62439152942	98376.8204721202	102532.98823281229	8.647583956127076e-77	684.1061845526019	505306.40932578105	119999.99999999993	14455.375608471037	157396.7980562155	77317.18730046196	6406.431798678664	14892.572693053662	862.2240234429997	449593.56820131704	17467.011767187527	9922004.465015862	119999.99999999968	21623.17952787986	4.465015881560179
44690.92439530154	119185.52468050562	444906.35274432244	79995.53498411867	3422.6802820339713	105484.8611567527	119315.89381544755	96082.95084511847	3.090346964276439e-31	105544.62439152942	97152.8369864519	101615.52410371813	-4.6004128850144475e-76	684.1061845526019	503917.04915488174	119999.99999999993	14455.375608471037	155093.64725567898	75309.0756046982	6577.319717966063	14515.138843247516	814.4753194942028	449422.68028202973	18384.475896281667	9922004.465015862	119999.99999999968	22847.16301354818	4.465015881560179
46587.60551059448	119228.3758365181	446946.4606607937	79995.53498411867	3263.317706793751	105841.86511534282	119315.89381544755	97346.5105380151	-2.024765595576218e-31	105544.62439152942	95945.54367340656	100705.17391687576	-6.674930837339815e-78	684.1061845526019	502653.48946198524	119999.99999999993	14455.375608471037	153053.53933920775	73412.39448940525	6736.6822932062805	14158.1348846574	771.6241634817462	449263.3177067895	19294.82608312403	9922004.465015862	119999.99999999968	24054.45632659355	4.465015881560179
48382.75792592035	119267.05977512145	448762.99852448545	79995.53498411867	3114.6966096297374	106180.21487020187	119315.89381544755	98497.6916548077	-2.1546583768633163e-33	105544.62439152942	94754.44265518646	99801.89948542975	3.4634356044959115e-76	684.1061845526019	501502.30834519264	119999.99999999993	14455.375608471037	151237.0014755162	71617.24207407938	6885.303390370293	13819.785129798349	732.9402248783997	449114.6966096255	20198.10051457004	9922004.465015862	119999.99999999968	25245.557344813657	4.465015881560179
50085.002900478255	119302.16539711258	450389.08853549196	79995.53498411867	2976.0872863969444	106501.45994235131	119315.89381544755	99549.08853297812	-2.1195077873915917e-35	105544.62439152942	93579.08108508079	98905.66258388876	-1.6684472935309702e-78	684.1061845526019	500450.91146702226	119999.99999999993	14455.375608471037	149610.91146450958	69914.99709952142	7023.912713603085	13498.540057648901	697.8346028873037	448976.08728639275	21094.337416111037	9922004.465015862	119999.99999999968	26420.918914919315	4.465015881560179
51701.87746056898	119334.17302654841	451852.32646123663	79995.53498411867	2846.810342664109	106806.95770423443	119315.89381544755	100512.12620109148	-2.279919468720902e-37	105544.62439152942	92419.04677474748	98016.42495181314	2.387446086504098e-79	684.1061845526019	499487.87379890884	119999.99999999993	14455.375608471037	148147.67353876494	68298.1225394307	7153.189657335919	13193.042295765777	665.8269734514729	448846.81034265977	21983.575048186645	9922004.465015862	119999.99999999968	27580.953225252673	4.465015881560179
53240.0041348131	119363.47858229434	453175.6361253378	79995.53498411867	2726.233129679771	107097.90306810546	119315.89381544755	101396.95032352999	-2.6627773337384605e-39	105544.62439152942	91273.96354738354	97134.14829748112	-2.280187830644073e-79	684.1061845526019	498603.0496764704	119999.99999999993	14455.375608471037	146824.3638746638	66759.99586518659	7273.766870320259	12902.096931894783	636.5214177055334	448726.23312967544	22865.851702518652	9922004.465015862	119999.99999999968	28726.03645261661	4.465015881560179
54705.23388241442	119390.41158466785	454378.060583439	79995.53498411867	2613.7664449524996	107375.35361210656	119315.89381544755	102212.45134231883	-3.000141105477146e-41	105544.62439152942	90143.48675151769	96258.7943015331	2.9267521423748648e-80	684.1061845526019	497787.5486576814	119999.99999999993	14455.375608471037	145621.93941656253	65294.76611758531	7386.233555047534	12624.646387893674	609.5884153319936	448613.76644494815	23741.20569846666	9922004.465015862	119999.99999999968	29856.513248482443	4.465015881560179
56102.76482089109	119415.24873622644	455475.4525990245	79995.53498411867	2508.8614765424018	107640.25052942058	119315.89381544755	102966.35887548747	-2.887324149449191e-43	105544.62439152942	89027.29915585893	95390.32462059292	5.704713666174836e-81	684.1061845526019	497033.64112451277	119999.99999999993	14455.375608471037	144524.54740097732	63897.23517910864	7491.138523457626	12359.749470579667	584.7512637733765	448508.86147653806	24609.675379406915	9922004.465015862	119999.99999999968	30972.70084414119	4.465015881560179
57437.2402498594	119438.22428500415	456481.0567999026	79995.53498411867	2411.0069713684356	107893.43598258405	119315.89381544755	103665.36658779233	-2.680072854124157e-45	105544.62439152942	87925.1073124088	94528.70089086542	-8.258346569883132e-82	684.1061845526019	496334.633412208	119999.99999999993	14455.375608471037	143518.943200099	62562.75975014033	7588.993028631593	12106.564017416193	561.7757149956308	448411.006971364	25471.2991091344	9922004.465015862	119999.99999999968	32074.892687591346	4.465015881560179
58712.8294712318	119459.5380224767	457405.99010106927	79995.53498411867	2319.726610219362	108135.66742821537	119315.89381544755	104315.26405155427	-3.61127071097766e-47	105544.62439152942	86836.6383995931	93673.88473171054	-3.269726151965373e-82	684.1061845526019	495684.7359484461	119999.99999999993	14455.375608471037	142594.0098989323	61287.17052876793	7680.273389780666	11864.332571784875	540.4619775230859	448319.726610215	26326.11526828927	9922004.465015862	119999.99999999968	33163.361600407035	4.465015881560179
