pEGF-EGFR2	EPn	SHP	Raf1active	pSTAT3c	cbl	Ras-GTP	Grb2	Takt	pSTAT3n	ppMEK	pEGF-EGFR2-pShc-Grb2-SOS	pEGF-EGFR2-Grb2-SOS	EGF-EGFR	pShc	STAT3c	ppERK	Ras-GDP	PIP3	PP2	Pase2	Pase3	PP1	pPI3K	SOS	Ras-GAP	pEGF-EGFR2-PI3K	pEGF-EGFR2-pShc	Aktm-PDK1	EGF-EGFR2	PI3K	pAktm	pEGF-EGFR2-Ras-GAP	Shc	Grb2-SOS	STAT3n	pMEK	pERK	pSTAT3c-pSTAT3c	pEGF-EGFR2-STAT3c	Aktm	pEGF-EGFR2-Grb2	Pase	pAkt-Takt	pAktm-PDK1-Takt	EGFR	TP4-pPI3K	pEGF-EGFR2-pShc-Grb2	pAktm-Takt	pEGF-EGFR2-cbl	pEGF-EGFR2-Grb2-SOS-cbl-EPn	pSTAT3n-pSTAT3n	Raf1active-MEK	pEGF-EGFR2-pShc-Grb2-SOS-cbl	pEGF-EGFR2-STAT3c-cbl-EPn	ppMEK-ERK	Raf1	pAktm-PDK1	pRaf1active	pEGF-EGFR2-SHP2	ppERK-pEGF-EGFR2-Grb2-SOS	TP4	pEGF-EGFR2-pShc-Grb2-SHP2	ppMEK-Pase2	pERK-Pase3	pEGF-EGFR2-PI3K-cbl	pSTAT3c-PP1	pSTAT3n-pSTAT3n-PP2	PIP2	pEGF-EGFR2-Ras-GAP-Ras-GTP	pEGF-EGFR2-Shc	Aktm-Takt	pEGF-EGFR2-Grb2-SOS-Ras-GDP	Akt	pEGF-EGFR2-pSTAT3c	pEGF-EGFR2-cbl-EPn	STAT3c-pSTAT3c	MEK	ERK	EGF	pEGF-EGFR2-Grb2-SOS-cbl	pEGF-EGFR2-pPI3K	Ras-GTP-Ras-GAP	pEGF-EGFR2-STAT3c-cbl	pEGF-EGFR2-PI3K-cbl-EPn	pSOS	pEGF-EGFR2-pShc-Grb2-SOS-Ras-GDP	Aktm-PDK1-Takt	ppERK-pEGF-EGFR2-pShc-Grb2-SOS	ppMEK-pERK	pEGF-EGFR2-Grb2-SHP2	pAkt	Raf1active-pMEK	pShc-SHP2	STAT3n-pSTAT3n	pPI3K-PIP2	Raf1-Ras-GTP	pEGF-EGFR2-pShc-Grb2-SOS-cbl-EPn	ProEGFR	pEGF-EGFR2-Ras-GAP-SHP2	pSTAT3c-pSTAT3c-PP1	Akt-Takt	pSTAT3n-PP2	TP4-PI3K	PDK1	ppERK-Pase3	Raf1active-Pase	pMEK-Pase2	pAkt_total
0.0	0.5	0.20000000000000004	0.0	0.0	0.8000000000000002	0.0	1.0	0.10000000000000002	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.3	0.0	0.6	0.020000000000000004	0.002	0.5	0.0	0.3	0.10000000000000002	0.0	0.0	0.0	0.0	0.4000000000000001	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.20000000000000004	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.20000000000000004	0.0	0.0	0.0	0.6800000000000002	0.8000000000000002	0.008196700000000001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.10000000000000002	0.0	0.0	0.0	0.0
1.3630044627693507e-07	0.49999999520373195	0.19999987226721766	1.1556513101793656e-11	1.6622812553449212e-08	0.7999999802772936	4.2733580160116015e-09	0.9718620943396156	0.09998001299199834	1.6103851669987588e-20	9.025324407632426e-25	5.706730514796621e-09	3.466797557395104e-09	0.007067597052771904	3.077201775645571e-07	1.999999862688362	1.1936445328413708e-51	0.29999984048368944	2.894998594135257e-10	0.6	0.019999999999999046	0.002	0.4999999975886396	5.971584761578062e-10	0.2718623136526211	0.0999999993211497	2.1609436826057253e-08	2.431127499682648e-07	7.923019157803163e-12	0.0005590855050669174	0.3999994635766775	1.9753297772985263e-13	5.262267588495042e-10	0.999995139445834	0.028137522220757764	1.164913168707271e-24	1.647890338278174e-12	7.345773026507214e-26	9.216988983160614e-16	1.1066780070988962e-07	1.1439349542610324e-10	6.746316466081467e-08	0.499999999943752	3.0414686329933614e-15	2.1920259183884297e-12	0.9967910906287646	3.243579868826803e-11	9.915679735981304e-08	2.5991662577449798e-14	7.589754108950078e-09	4.495028293516916e-11	6.481096036414192e-19	3.3181100465029287e-12	1.9114735869718995e-10	1.7987279885476998e-09	7.100097114423e-26	0.49999999929462074	1.4507191957607866e-11	1.0118762408570415e-25	3.419934209006356e-08	9.654443966995779e-61	0.19999981620348217	2.8598512411771254e-08	1.635420050980277e-26	4.280757063171874e-29	1.1762268687784297e-09	2.4113603671125127e-09	5.0425259032109023e-20	0.49999999932833705	4.17130679700433e-19	4.053234744994957e-06	2.8256566987718706e-15	7.250120122972372e-08	0.1999800128549508	2.349686327204919e-15	2.533305510830759e-09	1.930374529658894e-12	0.6799999999950331	0.8000000000000002	2.6982146361718815e-07	1.6219156955328245e-10	3.28619832115901e-07	9.193024603767508e-11	5.80707237604571e-09	3.812461382725604e-10	3.301338454347537e-63	8.201556446737447e-08	1.6348738799967468e-14	1.402909389701668e-60	5.926806631748386e-51	2.4094530417768347e-08	2.6460477044520638e-14	4.793906685730833e-24	4.077970408975256e-08	2.873117565451484e-23	2.4290465737814397e-10	6.342566142480745e-10	3.80380862476195e-11	0.9950124791927003	6.069334701792561e-11	6.887391445998498e-17	1.9987005761492866e-05	1.1053865432418197e-21	1.8376408144449235e-07	0.09999999997536146	5.646009775002982e-55	5.624829903239449e-11	9.569146840471603e-16	2.2399345477437326e-13
2.9979100933197457e-07	0.4999999625421232	0.19999893753830383	3.92207874477659e-10	7.10493526314594e-08	0.7999999070157479	7.05882206544926e-08	0.9470535066206474	0.09996005187500621	2.3037793088742333e-18	1.2263353175475649e-20	3.282987991090948e-08	9.984558889245765e-09	0.006219952526897873	2.3962947006370756e-06	1.9999996152744788	2.0892862542332275e-42	0.2999985004901077	1.4058399045031427e-09	0.6	0.019999999999786845	0.002	0.49999997908266963	2.590272371920505e-09	0.24705447221988538	0.09999999583893111	4.838252048745769e-08	9.13017337956792e-07	6.920705672677352e-11	0.0009690572926963482	0.3999980695297254	6.354418177293612e-12	1.979928745993853e-09	0.9999807680331165	0.05294407303205154	7.560674827601285e-22	1.838388048960687e-10	2.8126736363069e-21	3.319094816781702e-14	2.559986431385919e-07	8.597331926475844e-10	1.796681756269615e-07	0.4999999965244046	4.125478247958566e-13	7.550918310715623e-11	1.0017537024859762	2.5161997592859947e-10	4.999737028532419e-07	1.6740085356582052e-12	2.6439759062368276e-08	4.713360976245779e-10	4.6040911257272996e-17	1.7166901254897923e-10	2.0740680038731382e-09	1.4721444870575266e-08	1.2902782621518486e-21	0.49999997656780676	2.557193136325291e-10	2.521454509940986e-22	1.3274412934005816e-07	1.100214321670588e-50	0.19999963215483194	2.0516431530648379e-07	4.405821249169875e-22	3.260325319674988e-24	4.221731684877114e-09	2.0917325275080136e-08	7.52357470894484e-18	0.4999999962291549	3.389314100835232e-17	1.353359637065758e-05	6.956237473145962e-14	4.03034687461184e-07	0.19996005068221104	4.245631753361642e-14	1.842400480398922e-08	1.6756681755560655e-11	0.679999999644279	0.8000000000000002	2.3623516100845257e-07	7.849498576238276e-10	1.5034372199188337e-06	1.868858535531547e-09	2.2005123538927254e-08	2.8979126230284307e-09	1.2130753026830052e-52	1.0046254044951392e-06	1.2884894014357866e-12	3.5166563887856333e-50	5.3143069281309636e-42	8.079304361702656e-08	1.7813620834587233e-12	3.2054495006084104e-20	6.434479263711117e-07	8.968822356842118e-21	1.0954499447936375e-09	1.9392721077511718e-08	9.43178248732327e-10	0.9900498337491861	3.122816119311308e-10	5.191738230495281e-15	3.9948046040079604e-05	3.3207927164430813e-19	3.675935474797237e-07	0.099999999598276	1.8522569297495635e-45	3.475595690886514e-09	2.1315708602226792e-13	8.135780260752334e-12
4.6425865525389044e-07	0.49999988367997883	0.1999963916474613	2.6617676123417263e-09	1.5579991636649662e-07	0.7999997723278935	3.273681892816051e-07	0.9250706785671787	0.09994011635705415	3.430699680523977e-17	2.2561436997021845e-18	7.960352116472825e-08	1.8066632755693213e-08	0.005572353020218222	6.778808124948355e-06	1.9999992831500315	2.632232705068543e-37	0.2999948700303806	3.3449585649880072e-09	0.6	0.019999999995889358	0.002	0.49999993192975756	5.91701204517645e-09	0.22507271347668176	0.09999998590511663	7.540694544676776e-08	1.7425678150948843e-06	2.0644617196094274e-10	0.0012733181303456998	0.3999957541388899	3.71152197038787e-11	4.028299847392265e-09	0.9999583193015952	0.07492250539082437	2.7401423430441845e-20	2.3965174656569564e-09	9.243173180171783e-19	2.311757791274986e-13	4.0349337385943566e-07	2.4462014224648603e-09	3.0458726046161095e-07	0.49999996775769817	5.1552244267010315e-12	4.5553663366733145e-10	1.0066915709633628	7.745686487874693e-10	1.0820230249573067e-06	1.3791676808271318e-11	5.09695679096358e-08	1.6834666931262848e-09	4.644286953546201e-16	1.4008053994758231e-09	6.778525294185623e-09	4.578843257463003e-08	2.6720388623744844e-19	0.49999983865680886	1.1165136429401858e-09	1.632025692595083e-20	2.76910282744563e-07	3.81162813895739e-45	0.199999447587192	5.007167698048069e-07	1.210220795946222e-19	1.6087905964655219e-21	8.215701434984821e-09	6.807018755576082e-08	1.1639297954565478e-16	0.49999998983089744	3.549767159236006e-16	2.5161600303852283e-05	5.395407007214203e-13	1.0270295393354398e-06	0.199940112535162	2.0617772523385642e-13	5.507062124590501e-08	5.456742115083772e-11	0.6799999961985665	0.8000000000000002	2.1056644188132883e-07	1.7966366441302878e-09	3.592586084825444e-06	9.349692544478634e-09	4.358814409007951e-08	8.787210194392407e-09	8.175005992383301e-47	3.641183881598407e-06	1.2650957705477435e-11	1.6489408247751635e-44	4.280701336390303e-37	1.475824470401938e-07	1.5615759963211306e-11	3.807010815513586e-18	2.6824261485572985e-06	2.1252472361375835e-19	2.5353486753669017e-09	1.2503831618842268e-07	4.99029034164378e-09	0.9851119396030807	7.168906835776918e-10	5.5241844393473226e-14	5.988315527188061e-05	7.596386096871668e-18	5.516382386813122e-07	0.09999999820885262	3.5227900158891174e-40	3.2242302234394354e-08	4.110653101772002e-12	5.273097966709e-11
6.174431231901804e-07	0.49999974996915414	0.19999181600272845	9.501621785888732e-09	2.625712984163231e-07	0.7999995750437426	9.158376254339477e-07	0.9055056091003955	0.09992020603724137	2.102227621439753e-16	7.394221742910414e-17	1.416487027691997e-07	2.7164504628775102e-08	0.005064100063156938	1.303278312737584e-05	1.9999988804387792	7.068360930135204e-34	0.29998827893907254	5.98462799610122e-09	0.5999999999999992	0.019999999970162014	0.002	0.499999849644987	1.0357999160502646e-08	0.20550883922109792	0.0999999652600142	1.006304111671762e-07	2.580583652612155e-06	4.1655957175793877e-10	0.001504097754691933	0.3999925500338363	1.1722664810775837e-10	6.361516529667106e-09	0.999929468784351	0.09448060931818264	3.173539733568356e-19	1.332850913173988e-08	4.5192719284370006e-17	8.442663458747539e-13	5.415492789814842e-07	4.824892733446826e-09	4.312916651214071e-07	0.49999985991180085	2.680793986671942e-11	1.454574644302111e-09	1.0116048170989222	1.6396297041686813e-09	1.7331777909428287e-06	5.3671674890181665e-11	7.760972971100856e-08	3.975090399758025e-09	2.1785255067689523e-15	5.5362249854802916e-09	1.4390485934192207e-08	9.759839587602403e-08	9.325522898500042e-18	0.49999941312908747	2.9381467576785853e-09	2.5999465060557424e-19	4.4655091874539114e-07	2.0538213200122601e-41	0.1999992622671037	8.488651678128008e-07	5.2308593642409765e-18	1.0428052174604556e-19	1.2566257408894472e-08	1.5035474161210445e-07	7.379376808466849e-16	0.4999999796827793	1.6562104216833296e-15	3.707664700902974e-05	2.4231203930829595e-12	1.9286459159860555e-06	0.19992019767512811	5.880948653756237e-13	1.1509331150542014e-07	1.206091569061641e-10	0.6799999811054277	0.8000000000000002	1.904056933660368e-07	3.105307457173174e-09	6.565717197178556e-06	2.7172361548595416e-08	6.724346213023444e-08	1.849349210254029e-08	7.009453619881351e-43	8.417660156400429e-06	5.7186703141672634e-11	1.0531413679965514e-40	8.27399096382056e-34	2.1678607782003947e-07	6.52876411436548e-11	9.067248918582225e-17	6.6705890010402116e-06	1.8202292059259115e-18	4.467910869604383e-09	4.3174486634445484e-07	1.4870555875065602e-08	0.9801986733067731	1.2061061615527048e-09	2.7176718590184975e-13	7.979236809460717e-05	6.301356580190848e-17	7.360932659151399e-07	0.09999999513353232	1.270960921602941e-36	1.4008819951214977e-07	2.9837997236516603e-11	1.8251428925141313e-10
7.536708416927989e-07	0.4999995591028272	0.19998524031982023	2.410886633364143e-08	3.8440891645120293e-07	0.7999993176405874	1.9594908943003217e-06	0.8880240394164083	0.09990032051117541	8.019534484964076e-16	9.671201117526426e-16	2.1533899734226972e-07	3.690860765361233e-08	0.004656641490318951	2.0513725163611263e-05	1.9999984197511045	2.442773357467653e-31	0.2999784044373013	9.161705764295588e-09	0.5999999999999969	0.01999999987142001	0.0019999999999999987	0.4999997304077024	1.5638895541379164e-08	0.18802847211383322	0.0999999300671548	1.2309701410763783e-07	3.3528624700800896e-06	6.870077710114002e-10	0.001681910496152405	0.39998853822946545	2.7073952554517193e-10	8.743886657018551e-09	0.999895906483785	0.11195269876658097	1.991022551139206e-18	4.7198612917055077e-08	8.020572609297058e-16	2.184104089264406e-12	6.647103520060414e-07	7.852505741607516e-09	5.535829398137739e-07	0.4999995932341391	8.916040262188907e-11	3.356308086404252e-09	1.0164935621960696	2.829257481959808e-09	2.387419664329495e-06	1.426397243921523e-10	1.0424981205401479e-07	7.546385499970449e-09	6.792066927581662e-15	1.4968341103728927e-08	2.462186321980446e-08	1.7009412484377308e-07	1.2675165919630522e-16	0.4999984846103453	5.9601595867286155e-09	1.987614328471205e-18	6.248253877668511e-07	1.2119226733499127e-38	0.19999907601200362	1.2073082177976513e-06	8.41349920865457e-17	2.287541684044954e-18	1.6923316921553215e-08	2.695914141679493e-07	2.900853843765208e-15	0.4999999656149114	5.034837274709901e-15	4.828400416827586e-05	7.705004212540804e-12	3.0732643586919115e-06	0.19990030555353747	1.2548570038956661e-12	1.982644896812697e-07	2.1639536432312095e-10	0.6799999377044642	0.7999999999999994	1.742244182784188e-07	4.640724486000023e-09	1.0343361762665896e-05	5.946600348933765e-08	9.100388715615923e-08	3.1988375605156196e-08	5.913215135340343e-40	1.5433794851885878e-05	1.7314360937089827e-10	6.971902736121783e-38	2.195590393231055e-31	2.8438660205390563e-07	1.872255173541207e-10	9.21565322534107e-16	1.2641437021965587e-05	9.024709177405514e-18	6.7731738347267466e-09	1.0695465851539563e-06	3.300379708637388e-08	0.9753099120283508	1.7229501085928535e-09	8.837530436377479e-13	9.967571986779945e-05	3.0357030473513296e-16	9.211587382558095e-07	0.09999998982338097	5.528640199518364e-34	4.067658612379237e-07	1.285799198379377e-10	4.5796504289929266e-10
8.711297525841852e-07	0.4999993125262725	0.19997699416047	4.961023625930045e-08	5.160513828153678e-07	0.7999990043756798	3.5547466892085568e-06	0.8723494282398749	0.09988045942300657	2.283328323408844e-15	7.193936106375648e-15	2.9782833523367067e-07	4.703981095576349e-08	0.004324316850365716	2.8630795471361282e-05	1.9999979120269045	2.375798350122033e-29	0.2999651599366038	1.2709327683432912e-08	0.5999999999999907	0.019999999598053243	0.0019999999999999753	0.499999575481555	2.148560308750388e-08	0.17235500542701312	0.09999987726153219	1.4249450512129987e-07	4.02820018806123e-06	1.0023617685316953e-09	0.001820416271218128	0.3999838195993606	5.176275414418913e-10	1.1018266426004822e-08	0.9998591746507308	0.12761551765287588	8.524404645811326e-18	1.2677021281197319e-07	7.634411274458054e-15	4.56857127894382e-12	7.711364139133594e-07	1.1358294723821086e-08	6.680666386881093e-07	0.4999990770370774	2.268056609704455e-10	6.370701892255405e-09	1.0213579274566529	4.293028866605139e-09	3.008646702563493e-06	3.0164552526406486e-10	1.297468349778689e-07	1.2528900305886944e-08	1.646206662995263e-14	3.2151294799613775e-08	3.7115697058758284e-08	2.617745627938495e-07	9.67312096709992e-16	0.49999683414520735	1.0321119167865744e-08	9.702651514521969e-18	7.994653174790119e-07	1.8017113082160007e-36	0.19999888869342025	1.5523237097743229e-06	7.356454340567287e-16	2.5722235588541135e-17	2.1096975129507336e-08	4.2451622298699286e-07	8.476966456367262e-15	0.4999999476576725	1.1766636519707399e-14	5.8310513005295114e-05	1.9423573322170008e-11	4.419802623715065e-06	0.1998804357958117	2.232253519193028e-12	3.028200824020568e-07	3.4096263787095126e-10	0.6799998406765321	0.7999999999999915	1.6100517682305525e-07	6.351622323239257e-09	1.4825698326230558e-05	1.0949281211348892e-07	1.1379672126244588e-07	4.89879866632906e-08	1.1748905576298955e-37	2.4594890926250585e-05	4.111614194002899e-10	1.1260341513046787e-35	1.712225749728726e-29	3.481500861292027e-07	4.2779187597675664e-10	5.564085424777303e-15	2.030367303905098e-05	3.1834456267826577e-17	9.330664026429535e-09	2.1611303329943056e-06	6.136219523626384e-08	0.9704455335485261	2.2273775542209607e-09	2.222349287885545e-12	0.00011953324725540371	1.0438382627268911e-15	1.1070135502323053e-06	0.09999998189465577	6.480589909651266e-32	9.229629230053422e-07	4.0194603608869083e-10	9.454194174186478e-10
9.701609923408562e-07	0.49999901366391764	0.1999675424916955	8.870014693933968e-08	6.537412910406031e-07	0.7999986401701918	5.76960688705386e-06	0.8582509597383126	0.09986062248450978	5.340282666326735e-15	3.6652256223117005e-14	3.8691563035213357e-07	5.737517086546186e-08	0.004049385795788684	3.692092282024508e-05	1.9999973665747548	9.865494553695838e-28	0.2999486120531025	1.6475617628761026e-08	0.5999999999999772	0.019999998987357236	0.0019999999999998166	0.4999993879155398	2.7651903232734065e-08	0.15825759057250774	0.09999980462927271	1.588702892046941e-07	4.598809066906896e-06	1.3473989795090622e-09	0.0019290509643838725	0.3999784984955795	8.722413085200976e-10	1.3092753885336316e-08	0.9998205842059974	0.14170015514353898	2.813825677655235e-17	2.8293454620608516e-07	4.7835841118960615e-14	8.28755366717717e-12	8.610139036640422e-07	1.517587908276861e-08	7.731304222397748e-07	0.49999822369892977	4.830366383751699e-10	1.0623575415334438e-08	1.026198033788262	5.965616832911167e-09	3.5790142520410036e-06	5.483449259054186e-10	1.5356456768730136e-07	1.900505231591984e-08	3.369679250658766e-14	5.9274228641569586e-08	5.1546727543395565e-08	3.704652775015488e-07	5.01860437957583e-15	0.4999942667239678	1.607105329923488e-08	3.505707754709621e-17	9.625032561977022e-07	1.0614548154318803e-34	0.19999870023291916	1.871733512013962e-06	4.269633565705195e-15	1.8448357176210312e-16	2.499776416437095e-08	6.120797645516901e-07	2.0268919411898582e-14	0.49999992598225157	2.3051489889104802e-14	6.69892311463456e-05	4.157080284027456e-11	5.927240507103461e-06	0.19986058817801025	3.5094037435336146e-12	4.262907779358294e-07	4.919066392392244e-10	0.679999656778517	0.7999999999999472	1.5004584371925046e-07	8.200921574406799e-09	1.9909094911780297e-05	1.795833263468003e-07	1.3511160332906895e-07	6.909062280470552e-08	8.832127038216241e-36	3.570251559174749e-05	8.302176205314727e-10	7.0734292324496985e-34	5.880874108312084e-28	4.0695600793510675e-07	8.399270225943138e-10	2.372148356652051e-14	2.9213620904240806e-05	8.909864426740168e-17	1.203184914133392e-08	3.8090005621309784e-06	1.0148435184682025e-07	0.9656054162575844	2.6946240599100493e-09	4.6959993852962384e-12	0.00013936498874488423	2.856807749853727e-15	1.2938014634120764e-06	0.0999999711277547	3.1420753378872967e-30	1.7763010706840178e-06	1.0126385049306026e-09	1.7121683311144115e-09
1.0522087389874894e-06	0.49999866679390725	0.19995736915281584	1.4347011743181308e-07	7.948945508715102e-07	0.7999982299737799	8.64575937880931e-06	0.8455344395949094	0.09984080947755611	1.0858761592937475e-14	1.4260865782042483e-13	4.809083295834533e-07	6.778512868032624e-08	0.003819192999633527	4.5050175120343876e-05	1.9999967912097631	2.233093683421237e-26	0.29992892195757775	2.0331710305922e-08	0.5999999999999517	0.01999999781298946	0.0019999999999990416	0.49999917161141444	3.3930877310218166e-08	0.14554202014273246	0.09999971076891774	1.7245670793686224e-07	5.069005970658984e-06	1.7085595556978916e-09	0.002014534457797205	0.3999726739197544	1.3429106701555918e-09	1.4923400571246774e-08	0.9997811900203369	0.15440110098581583	7.6982852101998e-17	5.534377936003883e-07	2.2245590322885676e-13	1.359015431908373e-11	9.355771574415619e-07	1.915809131070163e-08	8.682724631188033e-07	0.49999695794633736	9.069898268913556e-10	1.616244774659775e-08	1.0310140016933234	7.778993581348243e-09	4.091584060763066e-06	8.955669605250774e-10	1.7552907856591767e-07	2.702234218123281e-08	6.117973530648828e-14	9.809038499492643e-08	6.764584035355802e-08	4.937815106386851e-07	1.9791044863638837e-14	0.4999906261037746	2.318806688050668e-08	1.0216242159512938e-16	1.1094400459903353e-06	3.225674326318635e-33	0.19999851059486648	2.1603084292349037e-06	1.84967112404192e-14	9.59642724958127e-16	2.859621284706535e-08	8.283798260758826e-07	4.197639612411069e-14	0.4999999008549077	3.983020601828833e-14	7.432530422249507e-05	7.888459947552905e-11	7.557904531245611e-06	0.19984076260018602	5.0502427153580314e-12	5.659999921940299e-07	6.661278660291482e-10	0.6799993462845696	0.7999999999997569	1.408456614700387e-07	1.016175625996046e-08	2.5495046730297084e-05	2.7119596917240406e-07	1.5477496217039458e-07	9.185924689169592e-08	3.313761945155345e-34	4.8512900522497865e-05	1.4935166521130378e-09	2.2634243031672112e-32	1.1270378134998433e-26	4.6038286927259646e-07	1.4797418334631602e-09	7.898728707059669e-14	3.8897604166896623e-05	2.1108091762840588e-16	1.478533739328727e-08	6.090281980671673e-06	1.5454300098766253e-07	0.960789439152341	3.111672710549584e-09	8.759914329562049e-12	0.00015917098503818064	6.638313801148036e-15	1.481626139337623e-06	0.09999995744740917	8.111615317375581e-29	3.042053663178905e-06	2.1869920488150302e-09	2.822652503618752e-09
1.119191290385359e-06	0.49999827637693306	0.19994691056939878	2.153674362605673e-07	9.377816083181992e-07	0.7999977784284252	1.220216895568915e-05	0.8340352942759723	0.09982102024853452	1.9904761049049592e-14	4.5393274170891546e-13	5.785060784492964e-07	7.817780721110118e-08	0.0036244698532404977	5.279312167951448e-05	1.9999961924324976	3.206509104810922e-25	0.2999063050496583	2.4173745303539504e-08	0.5999999999999086	0.019999995789303338	0.0019999999999960744	0.4999989307124524	4.015717749792807e-08	0.1340437189802322	0.09999959499685848	1.8356629260653755e-07	5.448734202332439e-06	2.0745172606915257e-09	0.002081777567061496	0.39996643528326425	1.9322766917575448e-09	1.6498554675353247e-08	0.9997418019048431	0.1658832173936346	1.8285513617402847e-16	9.812291267117798e-07	8.282766616036697e-13	2.0685173949672775e-11	9.965207583881683e-07	2.3182612280325248e-08	9.536544995991242e-07	0.49999522149839914	1.5506330492693255e-09	2.2969256649545678e-08	1.0358059512052573	9.66978736927111e-09	4.54573010531855e-06	1.350817552817011e-09	1.9567048186242044e-07	3.660350539851952e-08	1.0165409229417894e-13	1.4985952313596285e-07	8.519867800979254e-08	6.293897137980903e-07	6.36492414449284e-14	0.4999858000280934	3.159557721270677e-08	2.5351066004555823e-16	1.2383199544908374e-06	5.949484374868724e-32	0.19999831977828614	2.4168867120042514e-06	6.44282614246503e-14	3.9272732868161525e-15	3.189667781439053e-08	1.069272659236145e-06	7.808969200985245e-14	0.4999998726017513	6.269821823222944e-14	8.041354179030395e-05	1.365931299061927e-10	9.278866926674059e-06	0.199820959060139	6.805604500830759e-12	7.193437668319861e-07	8.603219817514765e-10	0.6799988646999171	0.7999999999991043	1.330383722796537e-07	1.2214523887232065e-08	3.149448898909049e-05	3.8503082979757627e-07	1.7280377210841313e-07	1.168679075955776e-07	7.333631254095712e-33	6.277264044011587e-05	2.464874531109177e-09	4.356755919489383e-31	1.3979632362858496e-25	5.084329421563357e-07	2.4034122383345315e-09	2.1891099178773421e-13	4.8922317298145213e-05	4.412240954697054e-16	1.751797788459659e-08	9.056243126727263e-06	2.214181734903654e-07	0.9559974818331177	3.473694367828184e-09	1.4888797698046145e-11	0.0001789512792906111	1.3650193612168831e-14	1.6705519259156593e-06	0.09999994089577435	1.3024204804670756e-27	4.7785016013280765e-06	4.210632241377239e-09	4.335688930092076e-09
