V_membrane	h	d	n	Ca_i_cytosolic_calcium	Ca_lum	Values[i_fast]	Values[m_infinity]	Values[tau_h]	Values[h_infinity]	Values[i_Ca]	Values[tau_d]	Values[d_infinity]	Values[f_infinity]	Values[i_NS]	Values[i_K_dr]	Values[n_infinity]	Values[tau_n]	Values[i_K_Ca]	Values[i_K_ATP]	Values[i_NaL]
-38.34146	0.21472300000000002	0.0031711238	0.18364030000000003	0.6959466	102.68600000000002	-96.64011719905255	0.18506753316242214	0.03206238047706842	0.20104249932481474	-24.124853033372084	0.023426567425062716	0.003441871865192716	0.5	-6.241070174580286	25.01487799178504	0.18954621764283414	0.031355351596319705	46.2079655277309	73.31708	-35.502438
-46.44187182992256	0.4256032959191366	0.0007039415671573279	0.11861488561651837	0.595079743988978	103.83664568505795	-19.496719461879106	0.08452233074605718	0.03975354118798699	0.4445811925327039	-6.314370433712394	0.010449918291475709	0.0006829714018014197	0.5	-7.507513879560887	3.391858812875625	0.1159287097335872	0.02561115306962563	24.852958351971477	57.11625634015488	-37.932561548976764
-54.640142452641655	0.7183452496034302	0.00013286597485647945	0.06825050096938272	0.5481300577803069	100.4588382105663	-2.6626264162830515	0.035800058238050145	0.035887225891440055	0.7208318852291666	-1.3819934049967555	0.004605806045476478	0.00013260164149875108	0.5	-8.81572004183568	0.26506315284884047	0.06804260593171821	0.02014552015070175	14.394200988221918	40.719715094716705	-40.392042735792494
-55.00337009031293	0.7315907105816501	0.00012326090324102284	0.0663759165194825	0.5287544039673603	96.96891719451975	-2.419239931229138	0.03443274395881608	0.03546880873889238	0.7311532252383793	-1.2900216505158264	0.004441553572814457	0.0001233114440883736	0.5	-9.35738622117169	0.23288964710286256	0.06641569543005377	0.019920586470177404	12.876899610762957	39.993259819374146	-40.501011027093874
-54.36362309798084	0.7135833722747393	0.00014004349288872318	0.06923753901227155	0.5115650930782587	93.61835827382934	-2.884726456217965	0.03687587378238349	0.03619594006403138	0.7128137106724183	-1.449794034009705	0.004734907006979151	0.00014014054165104086	0.5	-9.828925589775617	0.2845451535834069	0.06930583306854513	0.02031787934937622	12.182617322743551	41.27275380403833	-40.309086929394255
-53.592336267114675	0.6906459719698312	0.00016337654501883138	0.0728642041260995	0.49552558539098374	90.42126779712345	-3.5545003376520543	0.04004332147799634	0.037007989737255546	0.6897402400352206	-1.6690755427944335	0.005114437364082531	0.00016351092051564956	0.5	-10.292019195207493	0.3620573989622856	0.07294482614507103	0.020803673288530392	11.611032077781651	42.815327465770665	-40.077700880134394
-52.7521249236207	0.6645417932396921	0.00019323655350219284	0.07701368452823339	0.4806320180433737	87.38066308413069	-4.4447071551028285	0.04379011043572311	0.03780131786888947	0.6634875603902987	-1.945505750427734	0.0055625609825878	0.00019342544268317812	0.5	-10.745799522549765	0.4695819491382161	0.07710875033702784	0.02134111389160215	11.116576879967068	44.4957501527586	-39.82563747708621
-51.81919428093247	0.6343784946177866	0.0002328105008464624	0.0818696257845157	0.46705087745321555	84.50157117219116	-5.668202814126146	0.04834174710479587	0.03855640414335419	0.6331139664056352	-2.3057592303871086	0.006106244881663376	0.0002330932484302149	0.5	-11.179544012362033	0.6248431291824058	0.08198655738771965	0.02194753916708547	10.716586443387593	46.36161143813507	-39.545758284279735
-50.72782469026916	0.5978248556879875	0.00028945829384822546	0.0878919894440879	0.45516532551672584	81.79530721008658	-7.4809615296408065	0.05423605047695646	0.03925253966692176	0.5962078882686588	-2.811470040977844	0.006809999872000876	0.00028993467622054987	0.5	-11.572443177057702	0.8690747459351676	0.08804827888308182	0.02266920793941369	10.458037049338607	48.54435061946168	-39.21834740708075
-49.30069411675111	0.5487146802973075	0.0003846299979999976	0.09633303861645104	0.44604171297884837	79.28919745148349	-10.628575127898214	0.06296880529464127	0.039827985525497225	0.5463201646504788	-3.640169321617087	0.007853893448487586	0.00038567150688745126	0.5	-11.874796413457409	1.3279254106126837	0.09658453857924809	0.023631296602488062	10.473529812582312	51.39861176649778	-38.79020823502533
