Values[v]	Values[u]	Values[i]
-64.0	-16.64	0.0
-63.54868849807614	-16.628785932035143	0.0
-63.15401751326232	-16.599718556138363	0.0
-62.81444887376042	-16.558667957864053	0.0
-62.52811314118582	-16.510358667228477	0.0
-62.29296087145902	-16.458566010734337	0.0
-62.106788071964495	-16.40628069374887	0.0
-61.96718208846263	-16.35584267156206	0.0
-61.871419273469584	-16.309046918769585	0.0
-61.81634177506827	-16.26722458842002	0.0
-61.79824176012525	-16.231303716022786	0.0
-61.812783361615665	-16.2018542639937	0.0
-61.85499156571134	-16.179122844639735	0.0
-61.91933022958429	-16.163062733202622	0.0
-61.999877234066474	-16.153364484158047	0.0
-62.09058530176996	-16.14949142891291	0.0
-62.18559677230094	-16.150722501665122	0.0
-62.27956641858264	-16.156202530418536	0.0
-62.36794292871771	-16.164997804085115	0.0
-62.447168565106786	-16.176152968631047	0.0
-62.5147745896951	-16.188744527493302	0.0
-62.569371211005354	-16.20192653820166	0.0
-62.61054879214757	-16.214965298194347	0.0
-62.638717839193454	-16.22726147735857	0.0
-62.65491802639995	-16.238359828194838	0.0
-62.660622920708164	-16.247947937707934	0.0
-62.65755993681929	-16.255846313810107	0.0
-62.64755723533652	-16.261992406514363	0.0
-62.6324223748473	-16.266421076151502	0.0
-62.61385259770032	-16.269243660804783	0.0
-62.59337360193221	-16.270627319676112	-0.5
-63.055992367613094	-16.282708390234944	-0.485
-63.46283087355751	-16.313166519937116	-0.47
-63.78999433138829	-16.35540240439919	-0.455
-64.02796114718613	-16.403240644653295	-0.44
-64.17913228813875	-16.451481209351265	-0.425
-64.25370975945201	-16.49618680153233	-0.41000000000000003
-64.2656557564633	-16.53472042518085	-0.395
-64.2296660851336	-16.56560844547827	-0.38
-64.15933247828877	-16.588315163100628	-0.365
-64.06626481163617	-16.602996275128447	-0.35
-63.95984233047632	-16.610272232106325	-0.335
-63.84731297770925	-16.61104035630737	-0.32
-63.73405057129531	-16.60633011517713	-0.305
-63.623859037870915	-16.597198204616298	-0.29000000000000004
-63.5192676001829	-16.584656910903647	-0.275
-63.421793434276175	-16.56962862794397	-0.26
-63.33216563952968	-16.55292005945031	-0.245
-63.25051239770847	-16.535210741143334	-0.22999999999999998
-63.176516130920895	-16.517051664462127	-0.21500000000000002
-63.10954185057724	-16.498870789798676	-0.2
-63.04874319050159	-16.48098305039932	-0.185
-62.99314960437259	-16.463603070467858	-0.17000000000000004
-62.94173727375876	-16.446859281707212	-0.15500000000000003
-62.893485573670425	-16.430808465361135	-0.14
-62.84742051874213	-16.415449997217188	-0.125
-62.802646423887126	-16.40073926637892	-0.10999999999999999
-62.75836699821917	-16.38659989164151	-0.09500000000000003
-62.71389716877078	-16.3729344865366	-0.08000000000000002
-62.66866703293829	-16.359633832763922	-0.065
-62.62221941165262	-16.34658441571556	-0.050000000000000044
-62.57420248757181	-16.333674352914784	-0.03500000000000003
-62.524358952953364	-16.320797810749426	-0.020000000000000018
-62.47251296542948	-16.307858050763894	-0.0050000000000000044
-62.41855603071098	-16.294769279001986	0.010000000000000009
-62.36243272477037	-16.281457487643184	0.025000000000000022
-62.304126949309804	-16.26786048186452	0.040000000000000036
-62.24364920529066	-16.25392727725941	0.05499999999999994
-62.181025185130466	-16.239617038125047	0.06999999999999995
-62.11628581675877	-16.224897705620034	0.08499999999999996
-62.049458772444666	-16.209744441119874	0.09999999999999998
-61.980561353700764	-16.194137985395976	0.11499999999999999
-61.90959459668841	-16.17806301074063	0.13
-61.8365383863521	-16.161506519072486	0.14500000000000002
-61.76134734467797	-16.14445632029182	0.15999999999999992
-61.68394722875567	-16.126899605858767	0.17499999999999993
-61.6042315651761	-16.108821618317254	0.18999999999999995
-61.52205822500633	-16.090204402872608	0.20499999999999996
-61.43724562572888	-16.071025616259917	0.21999999999999997
-61.349568208092094	-16.051257356179182	0.235
-61.25875078428408	-16.03086496410794	0.25
-61.164461268042785	-16.009805741407526	0.265
-61.066301171581664	-15.988027503897186	0.28
-60.96379306508174	-15.965466880283117	0.29499999999999993
-60.85636390983866	-15.942047232453843	0.30999999999999994
-60.743322754548345	-15.917676037012779	0.32499999999999996
-60.623830650822164	-15.892241511374154	0.33999999999999997
-60.4968596262025	-15.865608180264243	0.355
-60.361136126449026	-15.837610958464866	0.37
-60.21506179147423	-15.808047121930036	0.385
-60.0566005779656	-15.776665233943632	0.3999999999999999
-59.88311466671364	-15.743149599715656	0.4149999999999999
-59.6911201954373	-15.707097998009544	0.42999999999999994
-59.47591362155842	-15.667989034883663	0.44499999999999995
-59.23098200302759	-15.625132998199492	0.45999999999999996
-58.947036961275565	-15.577595505689207	0.475
-58.61036165120905	-15.524074424729044	0.49
-58.19982886509356	-15.4626924119975	0.5049999999999999
-57.681162376235704	-15.390627636956408	0.52
-56.994952896570574	-15.303409903533266	0.5349999999999999
-56.02881334450387	-15.19345440612732	0.55
