ADPi	ATP	Cri	PCr	Pii	ATPi	PCri	Pi	ADP	Cr
0.0	9700.0	0.0	0.0	32000.000000000004	0.0	0.0	0.0	0.0	26000.0
57645.8490340872	0.08215360218342962	155996.80739551553	0.1454934709744821	73796.72561318577	554.1454866839233	3.1924781227458725	6170.267054760818	4849.918303000208	12999.854517059146
57645.74620300565	0.08217039080029385	155996.8026629505	0.14578458842113642	73796.65106429525	554.2538433645022	3.1973856375920993	6170.263520579342	4849.917825745006	12999.85421136253
57645.746071703805	0.08217040565443436	155996.80261413034	0.14578502900677828	73796.65099543218	554.2539360590476	3.197392925332479	6170.263517530634	4849.917828947425	12999.854214382985
57645.74607853435	0.08217040582168476	155996.80261671814	0.1457850353741683	73796.65099519526	554.2539370763596	3.197393029861273	6170.263517450355	4849.917828293269	12999.854214152258
57645.74608360128	0.0821704065876767	155996.80262480146	0.14578503233251347	73796.65099273717	554.253942312824	3.1973929910109873	6170.263517224336	4849.917827433887	12999.854213484927
57645.74606677835	0.0821704047003223	155996.80260663482	0.14578502196707985	73796.65099898053	554.2539297306512	3.1973927993781683	6170.263517780792	4849.917829886198	12999.85421502515
57645.74607794709	0.08217040585409584	155996.80261164662	0.14578502902734783	73796.65099431064	554.2539374094163	3.1973929278872335	6170.263517511131	4849.917828314419	12999.85421458973
57645.74606852779	0.0821704050973356	155996.80260717304	0.14578502644922603	73796.65099725929	554.2539323361158	3.1973928766615725	6170.263517695789	4849.917829522893	12999.854214969375
57645.74606884579	0.0821704048547897	155996.8026071465	0.14578502330688115	73796.65099832896	554.2539307516142	3.197392822911462	6170.263517746556	4849.917829628677	12999.85421497921
57645.74607103447	0.08217040453285539	155996.8026077481	0.14578501720688128	73796.6509998026	554.2539286830664	3.1973927204833354	6170.263517811088	4849.917829618988	12999.854214943713
57645.746072872804	0.08217040429540591	155996.80260826717	0.1457850124279786	73796.65100089599	554.253927162379	3.1973926404284314	6170.263517858385	4849.917829592756	12999.854214911908
57645.746070680405	0.08217040464844948	155996.80260758894	0.1457850184655457	73796.65099927907	554.2539294425028	3.197392742253763	6170.263517788244	4849.917829585092	12999.8542149539
57645.74607002402	0.0821704048233818	155996.80260741478	0.1457850210090661	73796.65099849156	554.2539305803315	3.197392785487745	6170.263517752727	4849.917829544796	12999.854214962268
57645.746070011584	0.08217040486561229	155996.8026074563	0.1457850215586516	73796.65099830847	554.2539308561702	3.197392794885947	6170.263517743627	4849.917829522804	12999.854214957477
57645.74606906809	0.08217040490662827	155996.80260721466	0.14578502328630874	73796.6509981066	554.2539311026737	3.1973928232503805	6170.263517735773	4849.917829580846	12999.854214973522
57645.74606877837	0.08217040493786464	155996.80260716286	0.145785024089978	73796.65099796403	554.253931299582	3.197392836600727	6170.2635177293005	4849.917829588549	12999.854214975923
57645.74606870298	0.08217040494542548	155996.80260715188	0.14578502434027643	73796.65099792948	554.2539313462444	3.1973928407301715	6170.263517727687	4849.917829590935	12999.854214976242
57645.74606877377	0.08217040493228518	155996.80260716027	0.14578502410165847	73796.65099798821	554.2539312616273	3.197392836716237	6170.26351773043	4849.9178295921	12999.854214976114
57645.74606882017	0.08217040491825843	155996.8026071639	0.14578502393838458	73796.65099805026	554.2539311696627	3.1973928339042064	6170.263517733335	4849.917829595911	12999.854214976209
57645.746068849694	0.0821704049121132	155996.80260716664	0.14578502383543715	73796.65099807762	554.2539311299355	3.1973928321662752	6170.26351773462	4849.917829596768	12999.854214976229
57645.7460688742	0.08217040490764126	155996.802607169	0.14578502375026717	73796.65099809757	554.2539311012094	3.1973928307364208	6170.263517735559	4849.917829597124	12999.854214976236
57645.746068940534	0.08217040488028345	155996.80260717313	0.1457850235145556	73796.65099821819	554.2539309203586	3.1973928265843434	6170.263517741188	4849.917829606694	12999.854214976474
57645.74606899805	0.08217040485659119	155996.80260717674	0.14578502331027582	73796.65099832263	554.253930763742	3.197392822986166	6170.2635177460625	4849.917829614976	12999.85421497668
57645.746069046734	0.0821704048365645	155996.80260717976	0.14578502313742783	73796.65099841093	554.2539306313595	3.1973928199418884	6170.263517750183	4849.917829621971	12999.854214976853
57645.7460690866	0.0821704048202034	155996.80260718224	0.14578502299601162	73796.65099848306	554.2539305232112	3.1973928174515107	6170.263517753549	4849.917829627678	12999.854214976993
57645.74606911764	0.08217040480750783	155996.80260718416	0.14578502288602724	73796.65099853904	554.2539304392972	3.1973928155150326	6170.263517756163	4849.917829632097	12999.854214977104
57645.74606913984	0.08217040479847786	155996.80260718556	0.1457850228074746	73796.65099857884	554.2539303796173	3.1973928141324537	6170.2635177580205	4849.917829635228	12999.854214977184
57645.746069153225	0.08217040479311341	155996.8026071864	0.1457850227603538	73796.6509986025	554.2539303441715	3.197392813303775	6170.2635177591255	4849.917829637073	12999.854214977231
57645.74606915778	0.08217040479141456	155996.80260718666	0.14578502274466476	73796.65099861	554.2539303329601	3.197392813028995	6170.263517759476	4849.9178296376285	12999.854214977246
57645.746069153516	0.08217040479338128	155996.8026071864	0.1457850227604075	73796.65099860133	554.2539303459827	3.1973928133081153	6170.263517759072	4849.917829636897	12999.854214977231
57645.74606914042	0.08217040479901357	155996.80260718556	0.14578502280758207	73796.65099857652	554.2539303832395	3.197392814141135	6170.263517757913	4849.917829634878	12999.854214977182
57645.7460691185	0.0821704048083114	155996.8026071842	0.1457850228861884	73796.65099853552	554.2539304447305	3.197392815528055	6170.263517756001	4849.917829631572	12999.854214977102
57645.74606908774	0.08217040482127483	155996.80260718224	0.14578502299622653	73796.65099847838	554.2539305304557	3.197392817468874	6170.263517753335	4849.917829626977	12999.854214976991
57645.74606904817	0.08217040483790382	155996.80260717976	0.14578502313769645	73796.65099840508	554.2539306404151	3.1973928199635933	6170.263517749915	4849.917829621095	12999.85421497685
57645.746068999775	0.08217040485819836	155996.80260717674	0.14578502331059814	73796.65099831561	554.2539307746086	3.197392823012212	6170.2635177457405	4849.917829613926	12999.854214976674
57645.74606894254	0.08217040488215847	155996.80260717316	0.14578502351493164	73796.65099820998	554.2539309330363	3.1973928266147302	6170.263517740811	4849.917829605469	12999.854214976469
57645.746068876484	0.08217040490978417	155996.80260716903	0.14578502375069693	73796.65099808821	554.2539311156982	3.197392830771148	6170.263517735129	4849.917829595724	12999.85421497623
57645.746068876346	0.08217040490983209	155996.802607169	0.1457850237509495	73796.650998088	554.253931116018	3.1973928307758417	6170.263517735119	4849.917829595709	12999.85421497623
57645.74606887614	0.08217040490988524	155996.802607169	0.1457850237513595	73796.65099808776	554.2539311163699	3.1973928307831385	6170.26351773511	4849.917829595697	12999.85421497623
57645.746068875815	0.08217040490996419	155996.802607169	0.1457850237521033	73796.65099808741	554.253931116891	3.197392830796148	6170.263517735092	4849.917829595681	12999.854214976229
57645.746068875356	0.08217040491006901	155996.80260716897	0.14578502375318095	73796.65099808696	554.2539311175807	3.1973928308148714	6170.263517735071	4849.917829595661	12999.854214976229
57645.74606887479	0.08217040491019965	155996.80260716894	0.14578502375459237	73796.65099808638	554.2539311184391	3.1973928308393074	6170.263517735045	4849.917829595636	12999.854214976227
57645.746068874105	0.08217040491035617	155996.8026071689	0.14578502375633762	73796.6509980857	554.2539311194668	3.1973928308694566	6170.263517735012	4849.917829595607	12999.854214976223
57645.7460688733	0.08217040491053852	155996.80260716888	0.1457850237584167	73796.65099808488	554.2539311206629	3.1973928309053186	6170.263517734974	4849.917829595575	12999.854214976223
57645.74606887237	0.08217040491074669	155996.80260716882	0.14578502376082955	73796.65099808398	554.2539311220281	3.1973928309468937	6170.26351773493	4849.917829595539	12999.854214976222
57645.746068871325	0.08217040491098072	155996.8026071688	0.14578502376357624	73796.65099808293	554.2539311235621	3.197392830994182	6170.263517734882	4849.917829595498	12999.854214976216
57645.746068870154	0.0821704049112406	155996.80260716873	0.14578502376665675	73796.65099808178	554.2539311252649	3.1973928310471833	6170.2635177348275	4849.9178295954525	12999.854214976214
