cJun_P	TIMP1	TIMP3	PP4	MMP1	ADAMTS4	IL1_IL1R	OSM	cFos	MMP3	MMP13	IL1	SOCS3	STAT3_cyt	TIMP1_mRNA	TIMP3_mRNA	SP1	cJun_mRNA	cJun	TRAF6	p38	JNK_P	MKP1	MMP1_mRNA	ADAMTS4_mRNA	MMP3_mRNA	STAT3_P_nuc	DUSP16	Collagen2	MMP13_mRNA	JAK1	cFos_mRNA	cFos_P	proMMP1	OSMR	PTPRT	SOCS3_mRNA	Matriptase	proMMP3	proMMP13	IRAK2_TRAF6	STAT3_P_cyt	IRAK2	ADAMTS4_TIMP1	MMP1_TIMP3	TIMP1_DNA	MMP3_TIMP3	OSM_OSMRa	MMP13_TIMP1	IL1_IL1Ra	ADAMTS4_TIMP3	cFos_cJun	MMP1_TIMP1	ColFrag	MMP13_TIMP3	MMP3_TIMP1	OSMR_SOCS3	TRAF6_PP4	cJun_dimer	IL1R	IRAK2_TRAF6_PP4	IL1Ra	STAT3_nuc	Aggrecan_Collagen2	JNK	IL1_IL1R_IRAK2	JAK1_P	p38_P	OSM_OSMR	OSMRa	AggFrag	SP1_TIMP1_DNA
0.0	200.0	200.0	0.0	0.0	0.0	0.0	1000.0	0.0	0.0	0.0	100.0	0.0	100.0	20.0	20.0	0.0	5.0	100.0	100.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	100.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	100000.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4.15974150914904e-12	200.0	200.00399996000021	3.077135234175107e-19	-1.3685227812796657e-34	-7.256165737062726e-28	0.987031619268079	998.9575303637737	3.5674087761324476e-14	-1.0947688914604159e-31	3.7034631335760524e-67	98.99059302691909	3.98191394307572e-15	99.9999169050692	20.00000000000033	20.000000000000163	6.5688474249177605e-52	5.0	99.99999999999584	99.99999917253247	99.99999999792884	2.071121742394811e-09	-2.6856604984586446e-24	-5.3713897636352e-22	-1.0742768359906347e-23	-5.3713897636352e-22	2.0781267522240706e-08	-5.371298956640875e-22	-2.7063603402695138e-31	-5.371389763635201e-23	99.99950190478853	2.0883233527133918e-10	7.269366168191274e-30	-1.1020444073775258e-26	99.00550530035456	4.1787515243597426e-13	2.507101021124488e-11	99.9992000032	-2.2039793644594203e-27	-1.1020444210628476e-28	8.27467524164555e-07	8.307414955991877e-05	99.99752252672725	-5.412110134050819e-32	-3.0840309770623766e-41	2.0	-2.467124461810354e-38	0.0	1.7503967085934847e-72	0.0	-9.020381905572099e-30	8.16217488783596e-46	-9.251877824900229e-40	1.2328422646420612e-76	5.834811539743698e-74	-7.401201307714787e-37	3.003045058703429e-16	-3.0825004030536487e-19	-1.774677627650482e-17	99.01049173492672	-6.058635127744642e-27	0.0	4.1780735037204343e-16	100000.0	99.99999999792884	0.002476645805203961	0.0004980952114454913	2.071121742394811e-09	0.9944946996454969	0.0	-2.7063603402695138e-31	1.4625093780182978e-58
1.3160970861825897e-10	200.0	200.0079998400021	1.4400004840941188e-13	-5.22269516860181e-32	-1.5755800261370217e-25	1.9486431091111902	997.9260270469609	2.2262168801378385e-12	-4.1778450614777025e-29	9.244274456872904e-63	98.00194494876864	2.334626242459625e-13	99.99933714253773	20.000000000010616	20.000000000005308	1.8246959013395675e-47	5.0	99.99999999986841	99.9999934267326	99.99999996705408	3.294589290679188e-08	-3.2022540683897225e-22	-6.404658827322804e-20	-1.280929318307659e-21	-6.404658827322804e-20	3.316759711810078e-07	-6.404459839819395e-20	-1.0253053435181215e-28	-6.404658827322811e-21	99.99801519941975	6.63305103359998e-09	7.564591926011796e-27	-2.4149647290415435e-24	98.02192714533581	1.3279237318390019e-11	7.96660663399692e-10	99.99840001279995	-4.829511773132131e-25	-2.414964781269107e-26	6.573267526515389e-06	0.0006625257863244983	99.99017910569283	-2.0502279874926246e-29	-1.9446103367379622e-38	2.0	-1.5555880619925923e-35	0.0	6.495841358132249e-68	0.0	-3.417173725879009e-27	9.924233934392752e-42	-5.833609610673384e-37	5.033436852667525e-72	2.1653755119897415e-69	-4.6665870779798126e-34	3.3845285309651116e-14	-1.439998100340099e-13	-1.1023379327979982e-15	98.0415425698492	-1.4422450239284157e-20	0.0	1.3275005350000467e-14	100000.0	99.99999996705408	0.009814321039615062	0.0019848005802163855	3.294589290679188e-08	1.9780728546642234	0.0	-1.0253053435181215e-28	1.87723248646062e-53
9.92875989993242e-10	200.0	200.01199964000716	2.8398396918402764e-12	-2.0133086335295303e-30	-3.894862296019531e-24	2.8855878917305358	996.9053500933617	2.515769641269654e-11	-1.6104559365644961e-27	8.247634765632525e-60	97.03343409036515	2.488647928870385e-12	99.99776925874322	20.000000000080494	20.000000000040238	1.7568947269903562e-44	5.0	99.99999999900722	99.9999779705069	99.99999983417976	1.6582019164303987e-07	-5.341081162733738e-21	-1.0682539147649197e-18	-2.1365017100198094e-20	-1.0682539147649197e-18	1.6749308549942021e-06	-1.0682041554103943e-18	-3.9097371596750974e-27	-1.0682539147649192e-19	99.99555116734624	5.023572060302059e-08	5.721658383730009e-25	-6.039018146353004e-23	97.04912610175883	1.0061988118865752e-10	6.036134998699411e-09	99.9976000287998	-1.2076426209360469e-23	-6.039018347687627e-25	2.2029495916131763e-05	0.0022290663258672703	99.97810078101375	-7.817148880867474e-28	-1.1937646828103495e-36	2.0	-9.549107839744785e-34	0.0	7.941295909111976e-65	0.0	-1.3029285746527665e-25	5.127278248113574e-39	-3.581098103297464e-35	6.342084173782496e-69	2.647250459668657e-66	-2.8645756125651204e-32	5.330347953423637e-13	-2.8398343946696733e-12	-1.2399077468533055e-14	97.09253491877915	-6.857569573033161e-19	0.0	1.0057206275211714e-13	100000.0	99.99999983417976	0.021877189490309343	0.004448832653734932	1.6582019164303987e-07	2.9508738982407126	0.0	-3.909737159675097e-27	5.6354089619891e-50
4.156878111527451e-09	200.00000000000003	200.01599936001705	3.754585853388222e-14	-2.667251432229732e-29	-3.812538456471839e-23	3.7985917504722853	995.8953617210639	1.4097849002424235e-10	-2.1334587154361708e-26	1.4711158079474486e-57	96.08446319794572	1.3188496324487512e-11	99.99472747043616	20.000000000338503	20.000000000169244	3.1022463940589175e-42	5.0	99.99999999584364	99.99994814638876	99.99999947896197	5.210379733972546e-07	-3.967809634906799e-20	-7.935992202812633e-18	-1.5871923841531745e-19	-7.935992202812633e-18	5.280423353404863e-06	-7.93549974659941e-18	-5.126965338191719e-26	-7.935992202812631e-19	99.99212097700905	2.111487447250763e-07	1.344406760217356e-23	-5.976756831236557e-22	96.08696490406003	4.2312933396053817e-10	2.5381829621118e-08	99.99680005119947	-1.1951380683292807e-22	-5.976757097968441e-24	5.1853611256918935e-05	0.0052672491400958124	99.9614153921367	-1.0249801585412524e-26	-2.1404756328578324e-35	2.0	-1.712131213741872e-32	0.0	1.9254489825679127e-62	0.0	-1.708423311966076e-24	6.775829977746376e-37	-6.420959128431617e-34	1.5082312924285398e-66	6.41865539607596e-64	-5.1360194801066825e-31	3.749823429449668e-12	-3.755184765463346e-14	-6.915285931055882e-14	96.16287549527567	-1.8717920426877164e-18	0.0	4.228615937840449e-13	100000.0	99.99999947896197	0.03853275425201233	0.007879022990934266	5.210379733972546e-07	3.9130350959362703	0.0	-5.126965338191719e-26	1.3505603088370555e-47
1.2603791042892294e-08	200.00000000000014	200.01999900003344	5.479944240265602e-14	-1.9763027889498327e-28	-2.23455585380181e-22	4.688354097293001	994.8959262809043	5.365874548115178e-10	-1.5807245251394093e-25	8.090989360989587e-56	95.15445825261813	4.7621999720537124e-11	99.9897316666569	20.00000000103091	20.000000000515453	1.7136760227746437e-40	4.999999999999999	99.99999998739811	99.99989942825995	99.99999873528515	1.2647147731569152e-06	-1.8800667368254777e-19	-3.760354424865667e-17	-7.520672967042542e-19	-3.760354424865667e-17	1.2859506500710925e-05	-3.76006266083912e-17	-3.7617930322934516e-25	-3.760354424865667e-18	99.98773568298905	6.42721175745597e-07	1.554531064498491e-22	-3.5410822872317516e-21	95.13530841285625	1.2886085572949626e-09	7.729393242040778e-08	99.99600007999896	-7.080584195180762e-22	-3.5410824848682854e-23	0.00010057174007932329	0.010255473835346309	99.94024765621438	-7.519789749021864e-26	-1.985867636153519e-34	2.0	-1.588403682754404e-31	0.0	1.3310476913788225e-60	0.0	-1.2534111337635197e-23	2.978205978149121e-35	-5.957060519484388e-33	1.0283841323021067e-64	4.437251055052971e-62	-4.7647772171253176e-30	1.6869310087405786e-11	-5.483513920642348e-14	-2.6195752446500737e-13	95.25199413066143	-1.7972202905795863e-18	0.0	1.2875916346964136e-12	100000.0	99.99999873528515	0.05965177204552789	0.012264317010921207	1.2647147731569152e-06	4.864691587126942	0.0	-3.7617930322934516e-25	9.39168166929379e-46
3.1158978853057536e-08	200.00000000000048	200.02399856005806	-1.064283951318691e-14	-1.01290904984908e-27	-9.445685567513829e-22	5.555549166757384	993.9069102159801	1.598462741250267e-09	-8.101319647008803e-25	2.0935800580412414e-54	94.24286735477216	1.3501315161158653e-10	99.98230743328686	20.000000002559847	20.000000001279925	4.3970161026392167e-39	4.999999999999997	99.99999996884665	99.99982741811175	99.99999739260188	2.6073980239314825e-06	-6.692834174341702e-19	-1.3386612342332484e-16	-2.677307137772374e-18	-1.3386612342332484e-16	2.6598859985489178e-05	-1.3385365811654068e-16	-1.9095670452055768e-24	-1.3386612342332488e-17	99.98240622714339	1.59513777856286e-06	1.1435091979299055e-21	-1.51291152679407e-20	94.19402357455455	3.1997077020613386e-09	1.9191516817429985e-07	99.99520011519819	-3.025013093464549e-21	-1.5129116280888195e-22	0.0001725818882245137	0.017665967849991696	99.9147192478288	-3.8168212252987977e-25	-1.2205600977061479e-33	2.0	-9.76234002632478e-31	0.0	4.0871322766289255e-59	0.0	-6.36205546218147e-23	6.423386066374122e-34	-3.6612806573623375e-32	3.153359865388718e-63	1.3625335469949438e-60	-2.9283823699977646e-29	5.716716853285944e-11	1.0510497884861367e-14	-7.766618198878248e-13	94.35934266295962	-1.5461620619642656e-18	0.0	3.196690631144667e-12	100000.0	99.99999739260188	0.08510817028295786	0.01759377285659356	2.6073980239314825e-06	5.805976425388321	0.0	-1.9095670452055768e-24	2.870147374911056e-44
6.69123258974728e-08	200.00000000000125	200.0279980400927	-1.3291541782229532e-14	-4.033575183933855e-27	-3.189526801878162e-21	6.400827151772273	992.9281820218174	4.021643255247675e-09	-3.225953084668757e-24	3.313405902335232e-53	93.34915966504362	3.242040857589969e-10	99.97198609959348	20.00000000552132	20.00000000276066	6.907825067827668e-38	4.999999999999991	99.99999993310179	99.99972784290998	99.9999951972485	4.802751412270541e-06	-1.9567877738499742e-18	-3.9138977025670113e-16	-7.827743085871202e-18	-3.9138977025670113e-16	4.9154269532810924e-05	-3.9134723029051957e-16	-7.531867112720778e-24	-3.913897702567012e-17	99.97614343973832	3.438818833944462e-06	6.184196776389254e-21	-5.163141218191669e-20	93.26297938161213	6.901368929487583e-09	4.1391276138519706e-07	99.9944001567971	-1.0323057147233375e-20	-5.163141621567046e-22	0.0002721570900137435	0.02796474613013708	99.88494887687865	-1.5053084580984533e-24	-5.669394026290009e-33	2.0	-4.5343556434312656e-30	0.0	7.50503421022718e-58	0.0	-2.509163344071621e-22	8.689690776928917e-33	-1.7006016867762357e-31	5.768956781063376e-62	2.5020122911154545e-59	-1.3601335208107664e-28	1.5947582883703543e-10	1.2900729718321154e-14	-1.944798433049612e-12	93.48439388219636	-6.057129939937082e-19	0.0	6.893830470614825e-12	100000.0	99.9999951972485	0.11477896603132488	0.023856560261650575	4.802751412270541e-06	6.737020618228452	0.0	-7.531867112720778e-24	5.225392172961962e-43
1.2961605317659117e-07	200.00000000000284	200.03199744013935	-1.6593418276622436e-13	-1.33462674733056e-26	-9.134340271081317e-21	7.224815265131974	991.959612207864	8.940802080520343e-09	-1.0673583721147709e-23	3.618085898801416e-52	92.47282441649575	6.897293082968017e-10	99.95830480524681	20.000000010742223	20.00000000537111	7.4726143069775616e-37	4.999999999999976	99.99999987041518	99.99959655155722	99.99999185371445	8.146285469276818e-06	-4.9523865270631225e-18	-9.905705420103948e-16	-1.9811259418717248e-17	-9.905705420103948e-16	8.364442049740975e-05	-9.90447425186643e-16	-2.4685781347694054e-23	-9.90570542010395e-17	99.96895804055941	6.687191882652727e-06	2.6665837970491153e-20	-1.4943095792482614e-19	92.34204683411681	1.3427143561192343e-08	8.052519173300632e-07	99.99360020479565	-2.987552013058636e-20	-1.494309712717689e-21	0.0004034484426080971	0.041611550319308195	99.85105236335856	-4.933163782776884e-24	-2.1439440432782444e-32	2.0	-1.714654191912547e-29	0.0	9.289773070828814e-57	0.0	-8.223122592486241e-22	8.269938013870009e-32	-6.43089660360899e-31	7.129959520203233e-61	3.0970582647576704e-58	-5.143214375236039e-28	3.859457324913081e-10	1.6494363061372986e-13	-4.3032189012772275e-12	92.62664054666917	-3.546553866763772e-19	0.0	1.3410565051210364e-11	100000.0	99.99999185371445	0.14854418819881712	0.03104195944056041	8.146285469276818e-06	7.6579531654972985	0.0	-2.468578134769406e-23	6.418988453338652e-42
2.3207018180546158e-07	200.00000000000577	200.03599676020016	3.314694627178755e-12	-3.832540609337985e-26	-2.3065132732907892e-20	8.028118754577672	991.0010732594766	1.8084761582069675e-08	-3.064924223154709e-23	2.965887269408184e-51	91.6133699719721	1.3383112374854705e-09	99.94080658747947	20.00000001931731	20.00000000965865	6.097147974339109e-36	4.999999999999945	99.99999976799278	99.99942951191099	99.99998702589319	1.297410673490748e-05	-1.1225734626419422e-17	-2.2453848283057292e-15	-4.490731019447405e-17	-2.2453848283057292e-15	0.0001336445623751237	-2.245070683788569e-15	-7.022305198651859e-23	-2.2453848283057297e-16	99.96086064002145	1.2019307033607995e-05	9.665291304824878e-20	-3.812931309807955e-19	91.43109890185742	2.4145334790529913e-08	1.4479578356319734e-06	99.99280025919381	-7.62279828747801e-20	-3.812931693083832e-21	0.0005704880923218101	0.05905976793406437	99.81314271072213	-1.403182226643683e-23	-6.926556107135831e-32	2.0	-5.539424135975729e-29	0.0	8.535264778458218e-56	0.0	-2.339015477933977e-21	6.01771712814727e-31	-2.07762689791129e-30	6.509898368301161e-60	2.845571216238032e-57	-1.661555383513117e-27	8.38241492854033e-10	-3.3165224176148385e-12	-8.663244735936352e-12	91.78559444423678	-4.109767976225234e-16	0.0	2.4112335856236464e-11	100000.0	99.99998702589319	0.18628680118552052	0.03913935997850879	1.297410673490748e-05	8.5689010973044	0.0	-7.02230519865186e-23	5.863593644874065e-41
