LIP	HFE	TfR	TfR2	FT	HFE-TfR	Tf-Fe-TfR2	Tf-Fe-TfR1	Heme	FT1	Fpn	IRP	Hamp	HO-1	2HFE-TfR2	2HFE-TfR	Fe-FT	2(Tf-Fe)-TfR2	2(Tf-Fe)-TfR1	Values[Fe2GutQUant]
1.3e-06	2.0000000000000002e-07	4.0000000000000003e-07	3e-06	1.6600000000000002e-10	0.0	0.0	0.0	1e-09	0.0	1e-09	1.1600000000000001e-06	5e-09	3.5600000000000005e-11	0.0	0.0	0.0	0.0	0.0	1e-07
1.410868370813446e-06	1.4095321321729996e-07	2.0997815018964083e-08	1.0500467328430138e-06	1.101812650355411e-10	1.5440963957005995e-08	1.6585497033385043e-06	2.5906353318247133e-07	4.43033127881912e-09	4.247579885978454e-07	1.8115256366841351e-09	1.1600004600649137e-06	4.997917856843101e-09	3.56004457940195e-11	1.9670090504528868e-08	2.1383675305435994e-09	5.592434443893574e-11	2.7174295712081115e-07	1.0236173405795116e-07	1e-07
2.9875495624508123e-06	1.2631078855348828e-07	2.6108757836593545e-08	5.726315730210205e-07	8.011016129943335e-11	1.5594367364950205e-08	1.86176465960366e-06	2.1527459203589358e-07	5.166197541150019e-09	6.601948512462351e-07	2.6229578518681208e-09	1.1599950496645361e-06	4.997161354532566e-09	3.560108217427727e-11	2.4912303752213607e-08	4.146235242292429e-09	8.610134060116633e-11	5.407210572864358e-07	1.388814862592432e-07	1e-07
5.293212532825454e-06	1.1622584467254808e-07	2.8260051908887263e-08	5.050519559342466e-07	5.726674534872969e-11	1.6262520242811547e-08	1.8087974246818051e-06	2.0407446476108498e-07	5.324116097574806e-09	8.464762532907718e-07	3.434297432850766e-09	1.1599845041913005e-06	4.996882045355996e-09	3.560174079756773e-11	2.7904974048753442e-08	5.867588219296291e-09	1.0905097833219648e-10	6.582974234391115e-07	1.4554380175324638e-07	1e-07
7.89894658439073e-06	1.0763088173959367e-07	2.861778459202132e-08	5.15073759687677e-07	4.3320526463362254e-11	1.6931590095746365e-08	1.759753255527295e-06	2.0096475338543893e-07	5.357996401100033e-09	9.610724085779112e-07	4.245544874178254e-09	1.1599713071301973e-06	4.9967433347648064e-09	3.560240376134722e-11	3.035915205932119e-08	7.382056284529232e-09	1.231036372660143e-10	6.948877450955611e-07	1.4611522062998087e-07	1e-07
1.0587482540779217e-05	1.0010816133857642e-07	2.8611314258262415e-08	5.269355428908418e-07	3.462961645513124e-11	1.750257077402906e-08	1.7378822291281285e-06	1.996151210650719e-07	5.365252631455759e-09	1.032507980084873e-06	5.056700440066693e-09	1.1599567110664911e-06	4.996640920907257e-09	3.5603067622006066e-11	3.2515879034622104e-08	8.706963235601158e-09	1.3190112103792987e-10	7.027620646361908e-07	1.4557841148919532e-07	1e-07
1.3277811067592001e-05	9.35552902568392e-08	2.854327834181646e-08	5.322335085198986e-07	2.8846102301743136e-11	1.798132738793693e-08	1.730330603074096e-06	1.987223483431266e-07	5.36679404171526e-09	1.0800923055934878e-06	5.867764288235042e-09	1.1599412905150021e-06	4.9965454831890495e-09	3.560373165681538e-11	3.4410218850474044e-08	9.855499906605431e-09	1.3779129510709337e-10	7.031429289705388e-07	1.4491490201629616e-07	1e-07
1.5942089275584105e-05	8.786316691561872e-08	2.8472834028815974e-08	5.338298212492804e-07	2.4756878370116192e-11	1.838608961346853e-08	1.7279019038820455e-06	1.9801138738754983e-07	5.3671087746987025e-09	1.113846905919218e-06	6.678736525056727e-09	1.1599253346404193e-06	4.996450701437783e-09	3.5604395711382024e-11	3.607207046048688e-08	1.0843194780430107e-08	1.4198723826547228e-10	7.023348249968619e-07	1.443068250407855e-07	1e-07
1.8568752634946193e-05	8.291314169683352e-08	2.8410533633121095e-08	5.340829058726453e-07	2.1724744772345542e-11	1.873211724800107e-08	1.7268901222451073e-06	1.974150269411617e-07	5.367160205183313e-09	1.1390161865420095e-06	7.489617228895942e-09	1.1599090052680068e-06	4.996356063243601e-09	3.560505975260008e-11	3.7536624012291546e-08	1.168654502870971e-08	1.451261342626911e-10	7.016501905570333e-07	1.437790826271741e-07	1e-07
2.115058770132104e-05	7.859590676410935e-08	2.8357421279933125e-08	5.339814398100141e-07	1.9393265980647595e-11	1.9030553705966618e-08	1.726188923271298e-06	1.9690953111912084e-07	5.367155119167562e-09	1.1585187099969923e-06	8.300406461286383e-09	1.1598924013151392e-06	4.996261978928295e-09	3.5605723773365567e-11	3.8836833925290085e-08	1.2401671638456553e-08	1.4756440826341667e-10	7.011737519473313e-07	1.43327102172254e-07	1e-07
