Aspartyl_P	Aspartate semialdehyde	Threonine	Lysine	Phosphohomoserine	Isoleucine	Homoserine	Values[V_Lys_RS]	Values[V_Thr_RS]	Values[V_Ile_RS]
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.43	0.43	0.43
0.4418803720606523	0.6655639277685552	0.00041652625294281726	1.426686589616792	0.10169508604980113	3.907677662796474e-07	0.3176993822988052	0.43	0.43	0.43
0.4501210945330664	0.7078955489124334	0.0043285502117721255	3.5304132385135487	0.46268919180743245	8.922926858693977e-06	0.5982295558507912	0.43	0.43	0.43
0.4522935422277172	0.7352409543937611	0.014739666426622637	5.550165594653453	0.9709780209177954	4.818013411730577e-05	0.7505978223689309	0.43	0.43	0.43
0.4565532931744803	0.769215006581309	0.03317238335582153	7.463189952552096	1.556699525555326	0.00014996803485714663	0.8455136859283794	0.43	0.43	0.43
0.46177880414572275	0.8051851478882763	0.06044085808134066	9.278504669811372	2.190146763434419	0.0003503500239307068	0.9157177220330825	0.43	0.43	0.43
0.46716809303311746	0.8402728165386621	0.097052519414437	11.005904097866773	2.8579941002565326	0.0006874492380246547	0.974232740294538	0.43	0.43	0.43
0.472357317837845	0.8733194535539867	0.143367113075556	12.65394174295982	3.55325774264121	0.0012004573084516638	1.0260880264843173	0.43	0.43	0.43
0.4772190580867103	0.9040448370460534	0.19965870121259371	14.229822010917209	4.271448898763401	0.0019291179481839245	1.0732898300122133	0.43	0.43	0.43
0.48173267133811415	0.9325389237998702	0.2661412028810607	15.739594163021266	5.009164608270399	0.0029134014620673912	1.1167601899734665	0.43	0.43	0.43
0.48591842473104724	0.9590130136606468	0.34298073621894476	17.188381518129805	5.763585036688645	0.004193265006062317	1.1570408768840454	0.43	0.43	0.43
0.48980785001247096	0.9836930070482472	0.43030317992097	18.580579231543854	6.5322864917167385	0.0058084603722705075	1.1945284655237407	0.43	0.43	0.43
0.4934319602270335	1.0067807886507987	0.5281997989274928	19.920009886071316	7.313156589570468	0.007798374660383981	1.2295456750256075	0.43	0.43	0.43
0.49681749632431127	1.028445172363018	0.6367318364412418	21.210041775253135	8.104340950288766	0.010201896999922102	1.262362055363265	0.43	0.43	0.43
