Values[V]	Values[N]	Values[Minf]	Values[Ninf]	Values[lambdaN]
-50.0	0.0011594832518865283	0.000335350130466483	0.0011594832518865283	0.18673984677544206
-35.71118256653908	0.0014874988703178333	0.002249434763052449	0.008262351936736134	0.12040273799007091
-22.682863224679707	0.0034839205751703425	0.012645657654814235	0.04784597774316418	0.0861855359228261
-10.458052998626455	0.011529077262082691	0.06135616787283105	0.21339873883982707	0.07024377740357136
2.253288756580054	0.03672399222660481	0.26252326554632666	0.6103371148792297	0.06708660293895187
18.08571026398411	0.09039521001862647	0.7461332540485652	0.932924896442813	0.08163311643161418
33.41777801807548	0.1740336988662366	0.9578061285558468	0.9913993506691909	0.11939449720480562
41.83150928681922	0.2800068197982543	0.9858557412652931	0.9972891929184574	0.15359649412771365
43.611204769353215	0.38627655144558415	0.9888101360036343	0.9978779950010087	0.1623830126477224
41.18853148568931	0.47539185199999096	0.9846091391097247	0.9970385422320014	0.1505660112945447
36.89376350542309	0.5440624411524274	0.9730338142866517	0.9946576129319121	0.13215373671462735
32.16823159131231	0.5961296430466252	0.9505352152007328	0.9897981150444328	0.11523624324161912
27.625307468641857	0.6361152181976854	0.9129374860705035	0.9810778435184018	0.1018683270641772
23.374382187079572	0.6672424383813278	0.856097829381428	0.9664950746749953	0.0916337503331687
19.27498455905104	0.6913890964157935	0.7749829074281207	0.9424890856436214	0.08363434114383807
15.059588595508599	0.7093304735496472	0.6625350508229924	0.9015987144483045	0.07715296359075235
10.383507151714248	0.7207387570436693	0.5127807870018876	0.8278034111491357	0.07186907269686375
4.969548026017693	0.7238677209950293	0.3383340881537733	0.694954606979231	0.06808408691120452
-0.9421513010992026	0.7158656883208938	0.18862743580218094	0.5019947721373768	0.06666679930564741
-6.407120970941022	0.6957573248220801	0.10086809002942781	0.3217350114774399	0.06782884487263284
-10.597827745297646	0.6666315533210901	0.06029158816552338	0.21018040758497075	0.07035125706723896
-13.326140006438147	0.632884224325213	0.042690431821665764	0.154444729455553	0.0727798211832245
-14.782710050805674	0.5979010685428431	0.03542187234618649	0.12998815955703696	0.07433871696116606
-15.246833090848424	0.5638889901321396	0.033367228981869945	0.12291827985807213	0.07487465133318671
-14.969977574919643	0.5322126882305495	0.034578578402255034	0.12709482613531753	0.07455266032283735
-14.149510249754636	0.5036884691644888	0.03842239801152014	0.14018846166090326	0.07363822893978991
-12.932189577542959	0.47880151941060806	0.04488940778550815	0.1616747904680551	0.07238989945590245
-11.424375796899241	0.45785944896828223	0.054342006849160907	0.19187929419074112	0.07102032351030933
-9.701815879323581	0.44109177191763177	0.06742656722886181	0.2314306629685443	0.06969050561246663
-7.817290070998371	0.42870379578453455	0.08504933264799186	0.28083654235542804	0.06851723607604265
-5.806071940823295	0.4208926140581452	0.10837228924538228	0.34008701488466303	0.06758427438885081
-3.6896512329333326	0.41783285228683725	0.13880070362491587	0.4083026996386583	0.0669536032874106
-1.4785033966359986	0.41964137857829886	0.17792535090131073	0.48350586989420197	0.06667574200173519
0.8246015164229782	0.4263321348209035	0.2273410448648736	0.5625872989349368	0.06679866306306315
3.217749120125902	0.4377713798516105	0.28816762416627784	0.6414719365522166	0.06737299990399524
5.684335841366533	0.45363811737756776	0.35998669614011275	0.7154448345292046	0.0684454423201888
8.164102329000153	0.4733888742755559	0.439107167779225	0.7797163411926729	0.07002306577279108
10.518635348889452	0.49623144783081885	0.5172809591743234	0.8304440067190603	0.07199494578215122
12.527017453372673	0.5211317396431857	0.5834459667176561	0.8659710330266592	0.0740516055936526
13.94746971294206	0.5468857609888006	0.6286265721703241	0.8871265095445938	0.07572006783488042
14.60983863353884	0.5722539965449702	0.6489996942709666	0.8959563516954725	0.0765599450789149
14.455480922433836	0.5960984150753222	0.6442970999368846	0.8939548640623336	0.07636066805001625
