cdc2k	p-cyclin_cdc2-p	cyclin	p-cyclin	cdc2k-P	p-cyclin_cdc2	total_cyclin	total_cdc2
0.0	0.25	0.0	0.0	0.75	0.0	0.25	1.0
0.0007360873461056857	0.26013500564136605	0.00010187926709631873	0.0014034475160104847	0.7360842895484977	0.0030446174642160964	0.2646849498886889	1.0000000000001854
0.0007250126104376208	0.26962317587193985	0.00010343695529906716	0.003770250553884549	0.7250079562390486	0.00464385528156094	0.2781407186626844	1.000000000002987
0.0007152304307829801	0.27834610908933277	0.0001048526362442455	0.006023335045682115	0.7152247075555664	0.005713952927077772	0.29018824969833684	1.0000000000027602
0.0007063950393795932	0.28633237022408414	0.00010616493664778956	0.007965038425298327	0.7063884581865293	0.006572776552705237	0.3009763501387354	1.0000000000026985
0.0006983747792353634	0.29357111615475456	0.00010738493062930074	0.009641874823535769	0.6983674085074841	0.007363100561434021	0.31068347647035366	1.0000000000029081
0.0006911454637121661	0.30000349613756866	0.0001085090368323573	0.01115815478079552	0.6911372888193815	0.008168069582443942	0.3194382295376405	1.0000000000031064
0.000684755757697464	0.3055129450466603	0.00010952260948471765	0.012625432760488926	0.6847466961578609	0.009055603040880543	0.32730350345751447	1.000000000003099
0.0006793262869831533	0.3098979571446009	0.00011039928673321795	0.01415958576413457	0.6793161755555244	0.010106541017618388	0.33427448321308706	1.0000000000047269
0.0006750793433157126	0.3128050358484328	0.00011109558999593159	0.01590258032354836	0.6750678877763245	0.011451997042181628	0.3402707088041587	1.0000000000102545
0.0006724257197364878	0.31355363116392504	0.0001115367099385626	0.018079272660383224	0.6724123565158029	0.01336158662553409	0.34510602715978095	1.0000000000249984
0.0006722199551225064	0.31058080100966146	0.00011157525772323479	0.02116290063332362	0.672203413102649	0.016543565966799016	0.34839884286750733	1.0000000000342317
0.0006767446500492702	0.2989091336668458	0.00011083894773087431	0.026558078485401124	0.6767209655880663	0.023693156129828617	0.34927120722980637	1.0000000000347897
0.0006969521729463838	0.24397963639542036	0.00010766784310520033	0.04223714907267693	0.6968937867943514	0.058429624679952885	0.34475407799115537	1.000000000042671
0.00082679321901507	0.00617242701859013	9.083143074463427e-05	0.13755492627423963	0.8266269963021612	0.1663737835045929	0.31019196822816725	1.0000000000443594
0.0009223435886349761	0.008308242335365139	8.134636244910695e-05	0.15516431679056436	0.9222751477434775	0.06849426637675947	0.23204817186513813	1.0000000000442373
0.0009525505390566854	0.018504601020848555	7.874399724721633e-05	0.11772648154723087	0.9525225317211222	0.02802031676343751	0.16433014332876414	1.0000000000444649
0.0009560464650011873	0.03154121985297972	7.844755736403682e-05	0.07792814657151383	0.9560349937223537	0.011467740005965305	0.12101555398782286	1.0000000000462999
0.0009487166864230293	0.04543773997268128	7.905014831402626e-05	0.04829496154819671	0.9487117745630252	0.004901768824261301	0.09871352049345332	1.0000000000463907
0.0009372081783710387	0.05937788876512309	8.001942957783783e-05	0.02903462751277717	0.9372056866460164	0.0024792164566679827	0.09097175216414607	1.0000000000461786
0.0009242337725118998	0.07313556318731965	8.114214626241119e-05	0.017419845427956993	0.9242320510671331	0.001708152022375803	0.09234470278391484	1.0000000000493408
0.0009108582117355831	0.0866586325318407	8.233344361384231e-05	0.010766248545292753	0.9108566244198478	0.001573884887468677	0.09908109940821597	1.0000000000508928
0.0008974888802884445	0.09993374679621243	8.355976841299754e-05	0.007127970133107697	0.897487184137667	0.0016815802338107882	0.10882685693154392	1.0000000000479785
0.0008842805907204894	0.11295539117244399	8.48077716666484e-05	0.0052557488146053955	0.8842786955939748	0.001881632690882844	0.12017758044959886	1.000000000048022
0.0008712930886053033	0.1257196137132847	8.607189646953208e-05	0.004395742188162384	0.8712909573932187	0.002118135852870898	0.1323195636507875	1.0000000000479796
0.0008585507778471312	0.13822254723640706	8.73492791490041e-05	0.00410888288174044	0.8585483947244819	0.0023705073094637966	0.14478928670676033	1.0000000000481999
0.0008460652278545849	0.15045986447565968	8.863827597230707e-05	0.004145027573054591	0.8460625840136511	0.002631486332011358	0.15732501665669796	1.0000000000491767
0.0008338436961236922	0.16242647530051002	8.993741133114589e-05	0.0043638255550051365	0.8338407851403357	0.002898895912972678	0.169779134179819	1.000000000049942
0.0008218924168862269	0.17411631108636727	9.124518984842939e-05	0.0046875541558608685	0.8218892325081517	0.0031725640392505205	0.18206767447132707	1.0000000000506557
0.0008102179353659799	0.18552213719778707	9.255995236263017e-05	0.005073824127792034	0.8102144706580316	0.0034531742596287905	0.19414169553757055	1.0000000000508134
0.0007988277180202958	0.19663535861264456	9.38797483124059e-05	0.005500079078974305	0.7988239649262104	0.003741848794108196	0.20597116623403947	1.0000000000509837
0.0007877305104761378	0.20744579250668496	9.520231690066722e-05	0.005954917989015503	0.7877264595112041	0.004040017522727815	0.21753593033532898	1.000000000051093
0.0007769366325024009	0.21794138508259975	9.652500999528535e-05	0.006433275391054375	0.7769322724582173	0.004349405877934351	0.22882059136158375	1.0000000000512537
0.000766458293662915	0.22810784618286645	9.784467428658758e-05	0.006933808543913217	0.7664536112626069	0.004672084312133325	0.23981158371319955	1.0000000000512697
0.0007563099815866118	0.23792816692340513	9.915770071646087e-05	0.007457513001491608	0.7563049610466132	0.005010562099734754	0.25049539972534796	1.0000000000513396
0.0007465089673665215	0.24738197114280022	0.00010045969920564222	0.008007051743774567	0.7465035898155583	0.005367930126098508	0.26085741271187896	1.0000000000518234
0.0007370759828916684	0.2564446282860388	0.00010174555568635008	0.008586518945195383	0.7370702255804399	0.005748070204032271	0.2708809629909529	1.0000000000534026
