R-Smad_cyt	Smad4_cyt	R-Smad-P-Smad4_nuc	R-Smad_nuc	Smad4_nuc	receptors	R-Smad-P_cyt	Pi	R-Smad-P-Smad4_cyt	R-Smad-P_nuc	Values[sum_R_smad_cyt]	Values[sum_R_smad_nuc]	Values[sum_Smad4_cyt]	Values[sum_Smad4_nuc]
53828.54904516523	29335.45609319653	115388.44502199322	6057.54720154784	5054.097201322746	6643.801767468749	1936.491156358996	130588.45523105365	222.0016834876347	2566.965891447008	55987.041885011866	124012.95811498807	29557.457776684165	120442.54222331596
53976.14560132196	29474.722803981233	115253.66837700643	6071.397222293847	5051.142729945428	6581.439955036434	1914.0450861719853	134398.29415751775	220.46608906698881	2564.2776241386614	56110.656776560936	123889.34322343893	29695.18889304822	120304.81110695185
54143.74188928687	29635.49608391523	115097.86567480811	6087.181717672415	5047.63313018753	6519.767216354332	1891.0778882494735	138204.75963403858	219.00511108925946	2561.127718893802	56253.824888625604	123746.17511137432	29854.50119500449	120145.49880499564
54329.70803166007	29816.08448219875	114922.69257155976	6104.742378678259	5043.611327405313	6458.775937425775	1867.6928133997349	142007.33797562987	217.6116188362987	2557.5525858657843	56415.012463896106	123584.9875361038	30033.696101035046	119966.30389896507
54532.55979838822	30014.94805140676	114729.65652575443	6123.935037458813	5039.116212673724	6398.458588385819	1843.9840699460706	145805.55476481764	216.2792101652074	2553.5853582871355	56592.823078499496	123407.17692150037	30231.22726157197	119768.77273842815
54750.944692502926	30230.683297177242	114520.13149960517	6144.628320952738	5034.183070634479	6338.807722571562	1820.0371352196157	149598.97125009133	215.00213258323544	2549.256219136208	56785.98396030578	123214.0160396941	30445.685429760477	119554.31457023964
54983.629415844196	30462.009740678342	114295.37108900561	6166.702437084034	5028.843957191045	6279.815975602828	1795.9291522223007	153387.18111496625	213.77521312513582	2544.5926927186456	56993.33378119163	123006.66621880828	30675.78495380348	119324.21504619665
55229.48857458519	30707.75791187214	114056.52025857591	6190.048080216484	5023.128033436624	6221.476064472962	1771.7293853889682	157169.8075757664	212.59379611548536	2539.6199051178855	57213.81175608965	122786.18824391028	30920.351707987626	119079.64829201254
55487.494498758264	30966.85861202538	113804.62583866763	6214.56544391124	5017.061861345554	6163.7807866497	1747.499713672394	160946.50077140567	211.45368796155535	2534.360817028806	57446.44790039221	122553.55209960768	31178.312299986934	118821.6877000132
55756.70806271499	31238.33330217039	113540.64592361248	6240.163330217642	5010.669666024162	6106.723019185964	1723.2951431672582	164716.935412876	210.35110819308784	2528.8364320944174	57690.35431407533	122309.64568592454	31448.68441036348	118551.31558963664
56036.27040504927	31521.285490757346	113265.4582945272	6266.758345812336	5003.973568678023	6050.295717840454	1699.164325066245	168480.80866405266	209.28264603758902	2523.0659835072856	57944.7173761531	122055.28262384681	31730.568136794933	118269.43186320522
56325.395456914426	31814.893008489755	112979.86797571868	6294.274176277705	4996.993793900983	5994.491916208003	1675.1500678812158	172237.83822881	208.2452218907407	2517.0671013171545	58208.79074668638	121791.20925331354	32023.138230380497	117976.86176961966
56623.36319705674	32118.401071492943	112684.61402098398	6322.640930694467	4989.74885441381	5939.304724859511	1651.2898355551822	175987.76062241188	207.2360531094816	2510.855962600133	58481.8890857214	121518.11091427857	32325.637124602425	117674.36287539778
56929.51356030007	32431.11604560065	112380.37561481252	6351.7945495170525	4982.255715968242	5884.727330491378	1627.6162253601717	179730.32960772293	206.25262361887818	2504.4474263913567	58763.38240927912	121236.61759072094	32637.36866921953	117362.63133078077
57243.24093380384	32752.399834854197	112067.77756348753	6381.676269418271	4974.529944776067	5830.75299508436	1604.1574213497083	183465.31477905126	205.29265688247258	2497.85515505819	59052.69101203602	120947.30898796399	32957.69249173667	117042.30750826359
57563.98918217394	33081.66482634249	111747.39524230258	6412.232139430837	4966.5858395164405	5777.375055071715	1580.937620659967	187192.50027840206	204.35409183884866	2491.0917235939237	59349.28089467275	120650.71910532734	33286.01891818133	116713.98108181902
57891.24714497921	33418.36932762677	111419.75906111837	6443.412582942366	4958.436549803608	5724.5869204643295	1557.9774312883824	190911.6836291752	203.43506145161987	2484.1687182201736	59652.65963771921	120347.34036228091	33621.804389078396	116378.19561092198
58224.54458674516	33762.01347311406	111085.35847132935	6475.1720036262095	4950.094181963188	5672.382074322464	1535.2942398808807	194622.67468649932	202.53387359374247	2477.0968248247577	59962.372700219785	120037.62729978032	33964.5473467078	116035.45265329254
58563.44846697879	34112.135456736425	110744.6456535593	6507.4684224968605	4941.569895807711	5620.7540713074095	1512.9025527639099	198325.2946570359	201.64899389693286	2469.885910304333	60278.000013639634	119721.99998636049	34313.78445063336	115686.21554936701
58907.559666255795	34468.308235226126	110398.03874510954	6540.2631592543385	4932.873989099135	5569.696537788882	1490.8143050722485	202019.37524969724	200.77903056554	2462.5450937426203	60599.15300189359	119400.8469981065	34669.08726579167	115330.91273420869
59256.50989949429	34830.136414880195	110045.9248878067	6573.520531890633	4924.015976813456	5519.203170066226	1469.0391467319628	205704.75785239824	199.92272049997126	2455.08281357652	60925.47176672622	119074.52823327386	35030.059135380165	114969.94086462016
59609.95903130504	35197.25355188816	109688.66287109825	6607.207595366838	4915.004659774243	5469.267734479107	1447.5846991439016	209381.29282965406	199.07891723966125	2447.5068858463983	61256.62264768861	118743.37735231148	35396.332469127825	114603.6675308725
59967.59255181327	35569.319607964455	109326.58562328125	6641.293895929932	4905.84818897339	5419.884065928007	1426.4567901443604	213048.83884351494	198.24657978120166	2439.824559050056	61592.295921738834	118407.70407826125	35767.56618774566	114232.43381225465
60329.119348677275	35946.01870812852	108960.00240692787	6675.751254266903	4896.554122199012	5371.046067615701	1405.659664886124	216707.26226148164	197.42476274493947	2432.0425624969994	61932.203776308335	118067.79622369178	36143.443470873455	113856.55652912689
60694.26965426675	36327.05707102643	108589.20084548974	6710.553565681073	4887.129476052214	5322.747710119897	1385.1961762322742	220356.43660181094	196.6126074319233	2424.1671508982977	62276.07843793095	117723.92156206911	36523.669678458355	113476.33032154196
61062.79317888385	36712.16112518495	108214.44876778113	6745.676618435756	4877.580773242257	5274.9830304460675	1365.0679561403701	223996.24202572144	195.80933379196634	2416.204144967001	62623.67046881618	117376.32953118389	36907.97045897692	113092.02954102338
61434.45742895201	37101.075810858616	107835.99587078912	6781.097930072933	4867.9140851032425	5227.746131355568	1345.2755689413377	227626.56487936262	195.01423324930704	2408.1589679953463	62974.74723114265	117025.2527688574	37296.09004410792	112703.90995589236
61809.046213431786	37493.56307275309	107454.07519573145	6816.7966020352715	4858.135069234479	5181.031181791142	1325.8186482206788	231247.29729325481	194.22666228125456	2400.036678299565	63329.09152393372	116670.90847606628	37687.78973503434	112312.21026496592
62186.358182108466	37889.400374272096	107068.90458297468	6852.753177502688	4848.249006533273	5134.832414362899	1306.6960199623738	234858.33676361205	193.44603622021387	2391.8420012315946	63686.50023829105	116313.49976170895	38082.84641049231	111917.15358950794
62566.20558979107	38288.37944638453	106680.68789709748	6888.9495211346675	4838.260832391028	5089.144125428965	1287.9058117446727	238459.5858153898	192.67182412716357	2383.579356104926	64046.783225662904	115953.21677433708	38481.0512705117	111518.9487294885
62948.41314171277	38690.30511395976	106289.61617623942	6925.368706752063	4828.175165857777	5043.960674374788	1269.4455499029527	242050.95167897994	191.90354394316864	2375.252881449547	64409.76223555889	115590.23776444103	38882.20865790293	111117.79134209719
63332.816943156	39094.99422611586	105895.86867955909	6961.994915172476	4817.996336200611	4999.276482921404	1251.3122459578099	245632.3459942876	191.14075812464102	2366.8664580300065	64775.26994723845	115224.73005276157	39286.134984240496	110713.8650157597
63719.263542582186	39502.27467976143	105499.6138434257	6998.813341153511	4807.728407123987	4955.086034431239	1233.5024732957518	249203.6845392656	190.38306968902958	2358.4237298538283	65143.14908556697	114856.85091443305	39692.65774945046	110307.34225054969
64107.6090600332	39911.9845282574	105101.01015425308	7035.810108641056	4797.37519885962	4911.383873227231	1216.012435097347	252764.88698100744	189.63011863007705	2349.9281233452557	65513.25161376063	114486.74838623939	40101.61464688748	109898.3853531127
64497.7183925096	40323.971166965246	104700.20694603551	7072.97219351467	4786.94030833602	4868.1646039095795	1198.838024414375	256315.8766472095	188.88157866342726	2341.3828648624262	65885.4379955874	114114.56200441261	40512.852745628676	109487.14725437154
64889.46448959542	40738.09058910744	104297.34512902152	7110.287353173607	4776.427127596505	4825.422890683445	1181.9748772345467	259856.58031643095	188.13715427475105	2332.7909967001524	66259.57652110471	113740.42347889527	40926.227743382195	109073.77225661802
65282.727693747394	41154.20670652522	103892.55785483311	7147.744062418262	4765.838860601081	4783.1534567413055	1165.4184192659977	263386.9280260738	187.396578040839	2324.155391694433	66635.54269105423	113364.4573089458	41341.60328456606	108658.3967154342
65677.39513676325	41572.19072666043	103485.971126522	7185.331454803161	4755.178538632889	4741.351083581752	1149.16390710894	266906.8528950379	186.65960818495282	2315.478766617691	67013.21865205716	112986.78134794284	41758.85033484538	108241.14966515488
66073.36018964218	41991.9205833281	103077.70435594114	7223.039269186732	4744.449034371921	4700.010610366385	1133.2064644549655	270416.29096113465	185.92602635907647	2306.763694415895	67392.49268045621	112607.50731954377	42177.84660968718	107822.15339031306
66470.52196021243	42413.280415607245	102667.87087399192	7260.857800930645	4733.653074776799	4659.126933280385	1117.5411138306456	273915.18103155406	185.1956356243083	2298.0126154100703	67773.25870966738	112226.74129033263	42598.476051231555	107401.52394876872
66868.7848344092	42836.16009082149	102256.57839769092	7298.777857347058	4722.793252876154	4618.695004906103	1102.1628043917858	277403.4645453948	184.46825861168344	2289.227847549376	68155.41589741268	111844.58410258735	43020.62834943317	106979.37165056707
67268.05805703075	43260.454767445415	101843.92945813552	7336.7907169875925	4711.872038573305	4578.709833595588	1087.0664361948332	280881.0854470824	183.74373584596347	2280.4115958053676	68538.86822907154	111461.13177092848	43444.19850329138	106555.80149670882
67668.25534875959	43686.064494808656	101430.02179243129	7374.888092460361	4700.891788542609	4539.166482859055	1072.2468813562878	284347.99006995134	183.02192421766563	2271.5659607750126	68923.52415433354	111076.47584566666	43869.086419026324	106130.9135809739
68069.29455592495	44112.893846054896	101014.94870305131	7413.06209643205	4689.854755305074	4500.060070751751	1057.6990024343802	287804.127028955	182.30269558894977	2262.6929465686007	69309.29625394828	110690.70374605196	44295.19654164385	105704.80345835639
68471.09733030853	44540.85158170961	100598.79938722018	7451.305210551823	4678.763095549164	4461.385769270408	1043.4176683587307	291249.4471218677	181.58593552130225	2253.7944680397018	69696.10093418857	110303.8990658117	44722.437517230916	105277.56248276934
68873.58883639851	44969.850341287776	100181.65923883833	7489.61025704422	4667.618877760308	4423.1388037629	1029.3977681929064	294683.90323830483	180.87154211379465	2244.872357412475	70083.85814670521	109916.14185329502	45150.72188340157	104849.27811659864
69276.69748341644	45399.80636022656	99763.61012560641	7527.970372710653	4656.424089225852	4385.314452333312	1015.6342229606818	298107.4502757408	180.159424941403	2235.9283703646815	70472.49113131853	109527.50886868175	45579.965785167966	104420.03421483227
69680.35468021702	45830.63921029289	99344.73064316137	7566.378985154124	4645.180642461352	4347.908045259136	1002.1219957768816	301520.0450621188	179.449504084632	2226.9641916062983	70861.92618007853	109138.07381992179	46010.08871437752	103989.91128562271
70084.49461106816	46262.27156147213	98925.09634817879	7604.82979103303	4633.890381107229	4310.91496442092	988.8561004815768	304921.64628449903	178.7417092420847	2217.9814399967295	71252.09242079181	108747.90757920855	46441.01327071422	103558.98672928601
70489.05403020688	46694.62896317491	98504.77997255856	7643.316736139602	4622.555085348608	4274.330642722422	975.8316089303811	308312.21442306554	178.0359789181872	2208.981673246872	71642.92161805545	108357.07838194504	46872.6649420931	103127.33505790717
70893.9720740206	47127.63964368967	98083.8516197457	7681.83399719014	4611.1764768851235	4238.150563535436	963.043657134752	311691.71169034415	177.33225967979294	2199.966392229469	72034.34799083514	107965.65200916532	47304.971903369464	102695.02809663083
71299.19008892411	47561.234325862926	97662.37894516249	7720.375965139986	4599.756223499699	4202.370260137806	950.487450357839	315060.10197494354	176.63050547507686	2190.9370449408325	72426.30804475701	107573.69195524331	47737.864831338	102262.1351686622
71704.65147382239	47995.34605792993	97240.42732180798	7758.937229914633	4588.295943252922	4166.985315162185	938.1582673086727	318417.35078959045	175.9306770094129	2181.895030137273	72818.74041814047	107181.25958185988	48171.27673493934	101828.7232650609
72110.30153587948	48429.910058192785	96818.05999229959	7797.512566432625	4576.797208334768	4131.991360052424	926.0514635414057	321763.4252230891	175.23274117313545	2172.8417006741893	73211.58574059402	106788.4142594064	48605.14279936592	101394.85720063436
72516.08735842277	48864.86357235298	96395.33820852797	7836.096921806317	4565.261548602805	4097.384074524048	914.1624741534245	325098.29389585106	174.5366705165774	2163.7783665734646	73604.78650309276	106395.21349690776	49039.40024286956	100960.59975713078
72921.9576799316	49300.14574242508	95972.32135997381	7874.6854036183095	4553.69045483317	4063.159186026114	902.4868158663573	328421.92691869306	173.84244276825189	2154.7062978421463	73998.2869385662	106001.71306143426	49473.98818519333	100526.01181480697
73327.86278339673	49735.697486543395	95549.06709136348	7913.273269203724	4542.085381700914	4029.3124692234746	891.0200885865336	331734.295854761	173.1500403924877	2145.626727057436	74392.03291237575	105607.96708762464	49908.84752693588	100091.1524730644
73733.75439477188	50171.46138828574	95125.63141100816	7951.855915814748	4530.447750523476	3995.8397454634505	879.7579764755367	335035.3736840875	172.45945018293773	2136.54085174714	74785.97182143036	105214.02817857005	50343.92083846867	99656.07916153164
74139.58559024242	50607.381595316154	94702.06879002317	7990.428871639765	4518.778951771927	3962.7368822697326	868.6962486357685	338325.13477084436	171.7706628890317	2127.4498365702607	75180.05250176722	104819.9474982332	50779.152258205184	99220.84774179509
