R-Smad_cyt	Smad4_cyt	R-Smad-P-Smad4_nuc	R-Smad_nuc	Smad4_nuc	receptors	R-Smad-P_cyt	Pi	R-Smad-P-Smad4_cyt	R-Smad-P_nuc	Values[sum_R_smad_cyt]	Values[sum_R_smad_nuc]	Values[sum_Smad4_cyt]	Values[sum_Smad4_nuc]
162000.0	120000.0	0.0	18000.0	30000.0	10000.0	0.0	0.0	0.0	0.0	162000.0	18000.0	120000.0	30000.0
152284.2100729925	125052.59651415524	9967.293360016767	15446.259122205547	14250.678816085405	9900.553503645302	1487.9338638059169	53.43828809194474	729.4313097426126	84.87227123660695	154501.57524654103	25498.424753458923	125782.02782389785	24217.972176102172
141947.77308811818	120808.44773409214	21184.889958703443	14452.956883688155	7320.714256905211	9802.205852361405	1448.2854008008148	383.44212752535316	685.9480502992835	280.1466183900144	144082.00653921827	35917.99346078161	121494.39578439142	28505.604215608655
132543.3121159886	113644.23786939534	31262.955173565657	13570.592782656113	4446.2420278349055	9704.944904338055	1451.3884182001477	1114.9267270459402	646.5649292042051	525.1865803851725	134641.26546339295	45358.73453660694	114290.80279859954	35709.19720140056
124073.72633000162	105701.50437645272	40284.98940092996	12782.022406953181	3402.8686419267788	9608.75865192727	1473.8989700236923	2273.7552561395623	610.6375806906416	774.7253114007806	126158.26288071595	53841.73711928392	106312.14195714337	43687.85804285674
116471.52566601247	97902.32578839736	48373.37484158166	12072.149896324378	3146.627402497369	9513.635220160904	1505.550290352107	3819.501085655501	577.6719675237382	999.7273382055365	118554.74792388832	61445.252076111574	98479.9977559211	51520.00224407903
109643.31129898531	90604.56038926933	55645.481524524854	11429.954830429895	3202.6347192335356	9419.562865284577	1541.4866834622512	5688.721706475197	547.3233669723807	1192.4422956251888	111732.12134941995	68267.87865057994	91151.88375624172	58848.11624375839
103499.56563215915	83917.31185455427	62197.17476468639	10848.063361942308	3366.185530676228	9326.529973307832	1579.333737810844	7823.037867077087	519.3278500833202	1356.5346533178827	105598.22722005332	74401.77277994658	84436.6397046376	65563.36029536261
97964.48935705435	77847.10731931373	68105.01928582633	10320.987750546745	3554.3871451486425	9234.525058570294	1617.9135684645187	10177.117315633202	493.486249711435	1498.1037883964757	100075.8891752303	79924.11082476955	78340.59356902516	71659.40643097498
92975.1856222116	72361.7644347638	73432.38781923497	9844.055885768346	3736.204115376044	9143.53676232365	1656.6197454491323	12717.052213405243	469.643630625271	1622.1072967105204	95101.44899828601	84898.55100171383	72831.40806538907	77168.591934611
88478.33817091047	67416.78766013753	78233.94904637292	9413.013307187275	3901.5930721342697	9053.553851329352	1695.1060337681408	15416.877414828145	447.6702213553885	1731.9232204056425	90621.11442603401	89378.88557396583	67864.45788149293	82135.54211850719
84427.47724571415	62965.744317934674	82558.21938639569	9023.916850771951	4048.5873546553917	8964.565216471747	1733.1341028493384	18255.86986761213	427.4489410143715	1829.8034732543188	86588.06028957786	93411.93971042197	63393.193258949046	86606.80674105108
80781.25278020385	58964.097516882655	86448.93585825109	8673.11133193897	4178.097710938451	8876.559871386833	1770.5017369340753	21216.870282123844	408.8689139279073	1917.3293787439466	82960.62343106583	97039.376568934	59372.966430810564	90627.03356918955
77502.41552581027	55370.45530459328	89945.83069095458	8357.220053089568	4291.891260293298	8789.526951105283	1807.0111399136085	24285.29698346888	391.82274415892056	1995.6998460728325	79701.2494098828	100298.75059011698	55762.278048752196	94237.72195124788
74557.19734261418	52146.83327128846	93085.1180566764	8073.133766858211	4391.84292362977	8703.455710711247	1842.4570139113823	27448.552069793874	376.2057484055071	2065.888071534198	76775.86010493107	103224.1398950688	52523.03901969396	97476.96098030616
71914.89911839347	49258.559276296684	95899.84102717451	7817.996990724443	4479.683627592724	8618.335524016542	1876.624426789733	30695.638850236577	361.91606893613545	2128.7223679815097	74153.43961411933	105846.56038588047	49620.47534523282	100379.52465476723
69547.5853793984	46674.06184912485	98420.14701224187	7589.192880551946	4556.936028766445	8534.155882248035	1909.291589936566	34016.894867425945	348.85510986685955	2184.9280280041025	71805.73207920181	108194.26792079792	47022.916958991715	102977.08304100831
67429.83596932015	44364.632090305815	100673.52313214086	7384.327653229349	4624.91674558089	8450.90639275044	1940.2350910687117	37403.79200108694	336.928031972503	2235.1501222681877	69706.99909236137	110293.0009076384	44701.560122278315	105298.43987772176
65538.53091516651	42304.190400752224	102685.00646731826	7201.215107884582	4684.758939636007	8368.576777703258	1969.2362498181292	40848.77877616803	326.04419229358456	2279.967067518677	67833.81135727823	112166.18864272152	42630.23459304581	107369.76540695428
63852.657035799384	40469.06756867998	104477.37653209153	7037.861530859088	4737.438411734512	8287.156872851916	1996.0877788950288	44345.15153251188	316.1174874940876	2319.8996348606515	66164.8623021885	113835.13769781127	40785.185056174065	109214.81494382604
62353.13070442733	38837.80197791055	106071.33379134045	6892.451136902756	4783.797637356682	8206.636626252905	2020.600183335019	47886.946754270444	307.0665933924116	2355.4175906017613	64680.797481154754	115319.20251884498	39144.86857130296	110855.13142869713
61022.63394057018	37390.952217231126	107485.66633289443	6763.332136839472	4824.56634246958	8127.006097032758	2042.6074743234028	51468.84972872476	298.8151074049769	2386.9450079672442	63364.05652229856	116635.94347770115	37689.7673246361	112310.23267536401
59845.46231690029	36110.923781604644	108737.40594773425	6649.0034905638695	4860.37866485469	8048.255454160811	2061.971883003897	55086.11625984982	291.2916058066147	2414.8647559908527	62198.7258057108	117801.27419428897	36402.215387411256	113597.78461258895
58807.383785259815	34981.80858993656	109841.974415582	6548.102384849538	4891.78736580891	7970.374975235448	2078.587360807353	58734.50507288796	284.4296286726593	2439.522424828365	61170.40077473983	118829.5992252599	35266.23821860922	114733.7617813909
57895.507811294774	33989.2362411264	110813.3205417107	6459.392460507822	4919.275612590994	7893.355045283822	2092.3817527192605	62410.219123673356	278.1676045720236	2461.2298291951793	60266.057168586056	119733.9428314137	34267.40384569842	115732.59615430169
57098.16432793527	33120.23613437631	111664.04834684392	6381.752800315211	4943.266793051752	7817.186155574764	2103.317625825182	66109.8544183256	272.4487257281037	2480.268173352088	59473.93067948856	120526.06932051122	33392.68486010442	116607.31513989567
56404.79205918681	32363.109747825918	112405.5367283357	6314.167677370803	4964.132740820944	7741.858902444908	2111.3918215987	69830.35522943726	267.22078301749616	2496.8909304902086	58783.404663803005	121216.59533619671	32630.330530843414	117369.66946915665
55805.83576885278	31707.31249312002	113048.050865707	6255.717053122078	4982.200672127148	7667.363986137698	2116.6338709606994	73568.97480299407	262.4359690458623	2511.3264723112975	58184.90560885935	121815.09439114037	31969.74846216588	118030.25153783415
55292.65197696167	31143.344647740592	113600.84562419525	6205.567805454815	4997.759071404207	7593.692209655277	2119.103462204852	77323.24080889403	258.0506566599701	2523.7804745231874	57669.8060958265	122330.19390417325	31401.39530440056	118598.60469559945
54857.422671474145	30662.65091886551	114072.2612091878	6162.965660069495	5011.062712378043	7520.834477623025	2118.8871819227247	81090.9249111301	254.0251595687017	2534.4381177769324	57230.335012965574	122769.66498703422	30916.67607843421	119083.32392156584
54493.076530333485	30257.528219543983	114469.81133703644	6127.227792852125	5022.336962250778	7448.781795166675	2116.094758908277	84870.01593084935	250.32348116886465	2543.466099700616	56859.49477041063	123140.50522958918	30507.851700712847	119492.14829928722
54193.217162098306	29921.04124724501	114800.26420908897	6097.736067009379	5031.7814865394075	7377.525266801826	2110.855033401594	88658.69615321426	246.91305712672244	2551.0144712748793	56550.985252626626	123449.01474737324	30167.954304371735	119832.04569562837
53952.05787309537	29646.945452469692	115069.71660180794	6073.930866203921	5039.57344902424	7307.056095335717	2103.311852861557	92455.3203919777	243.76449669818848	2557.218309332836	56299.13422265512	123700.8657773447	29890.709949167882	120109.29005083219
53764.36247543927	29429.616976875284	115283.66141252179	6055.305483629281	5045.870283447592	7237.365580781148	2093.620065149724	96258.39747749861	240.8513271553833	2562.1992361043385	56098.83386774438	123901.16613225541	29670.468304030666	120329.53169596937
53625.39166256686	29263.989130529408	115447.0490246503	6041.401026687098	5050.812099794144	7168.445119282404	2081.941744842279	100066.5738771345	238.14974502615152	2566.066796227071	55945.48315243529	124054.51684756448	29502.13887555556	120497.86112444445
53530.85449589869	29145.49496957395	115564.34287606317	6031.801797446827	5054.523777205524	7100.286202053058	2068.4427520817653	103878.6191933685	235.63837715744404	2568.9197013519365	55834.9356251379	124165.06437486193	29381.133346731393	120618.86665326869
53476.8645674059	29070.015531705074	115639.5696272991	6026.131110251478	5057.116787067343	7032.880414325504	2053.289688869259	107693.4133162845	233.29805392859126	2570.8469522455443	55763.45231020375	124236.54768979613	29303.313585633667	120696.68641436644
53459.90042653914	29033.83328804095	115676.36433267655	6024.047509455675	5058.690783019977	6966.219434312148	2036.6472869903241	111509.93503393965	231.11159626267576	2571.928848075539	55727.65930979214	124272.34069020775	29264.944884303626	120735.05511569652
53476.76988539194	29033.590376790955	115678.01101656833	6025.241352220155	5059.334989160856	6900.295032178023	2018.6762360338198	115327.25192764887	229.0636174800036	2572.2378923056426	55724.50973890576	124275.49026109412	29262.653994270957	120737.34600572918
53524.57783629133	29066.25119012809	115647.4790560256	6029.431722842354	5059.129413388285	6835.099069022421	1999.5314399437932	119144.51139816878	227.14034045815075	2571.839604438671	55751.249616693276	124248.75038330661	29293.39153058624	120706.60846941388
53600.69727770534	29129.068940456946	115587.4557210768	6036.36365074519	5058.145908064877	6770.62349587902	1979.360674429728	122960.93269626192	225.32943040153376	2570.7932456413655	55805.3873825366	124194.61261746335	29354.39837085848	120645.60162914167
53702.743194530056	29219.555771739557	115500.37528656743	6045.805599147227	5056.449099346022	6706.860352719423	1958.3036098189502	126775.79982673959	223.61984234718796	2569.1524675891314	55884.66664669619	124115.3333533038	29443.175614086744	120556.82438591345
