Ca in the cytosol	Ca in the InsP3-insensitive pool	Values[beta]
0.1	1.4000000000000001	0.0
0.12182799804468675	1.1195441046597334	0.0
0.11422870455360853	0.9495287225583572	0.0
0.10924802849044792	0.8388768625039461	0.0
0.10599173473195803	0.7670898923708099	0.0
0.6737529984104557	0.8777951616299886	0.7859815229548626
0.47399957773278406	1.183024792459272	0.6435072441942137
0.2936268548623571	1.2801012759480574	0.5268591706502653
0.29273608345748253	1.7197733221405005	0.43135580555253267
0.2585320472040485	1.7174645852729766	0.35316426352458463
0.31667959133494394	2.0521057706487973	0.28914644343571394
0.2682722565161176	2.1742028874252046	0.23673308538394217
0.24498488229538057	2.1991353323228826	0.19382065727486916
0.22478041188623912	2.1555300600385685	0.15868693269272308
0.20737098844880555	2.06416065232557	0.12992187190714818
0.1921899467875844	1.942826336577909	0.10637103202784051
0.1788791075278753	1.80602359757205	0.08708923515783597
0.16720001659635486	1.6647982509452282	0.07130263508576051
0.15697838807963888	1.5270418166834434	0.05837766012020923
0.14807352691459283	1.39797686000966	0.04779558563314938
0.1403618756823749	1.2806882857730126	0.03913171581923156
0.1337284789577787	1.1766301840199385	0.032038339161913024
0.128062999357228	1.0860759341791182	0.026230773549400857
0.12325845042082022	1.0084983902192466	0.021475940981918965
0.11921156128443972	0.9428766252870461	0.01758301333318481
0.11582401207373716	0.8879313573336803	0.014395753747658594
0.11300394123513068	0.8422952777768657	0.011786246306945698
0.11066727890880447	0.8046275641282721	0.009649762314848232
0.10873863988685932	0.7736835896729566	0.007900557167059221
0.10715168448345884	0.748351074089768	0.006468429119122048
0.10584898774990993	0.7276628802490992	0.00529590184393034
0.10478152976948617	0.7107948625047784	0.0043359177049081595
0.1039079420142711	0.6970551219402698	0.0035499491678236115
0.10319363131225305	0.6858691272538942	0.00290645255556078
0.10260987661508715	0.6767635983502989	0.002379602089599704
0.10213296206658205	0.6693508665669327	0.0019482534108439045
0.1017433842231364	0.6633146258342656	0.0015950949822469765
0.10142515091803607	0.6583974538303886	0.001305953316045977
0.10116517594533417	0.6543901722147367	0.0010692241419310103
0.10095276584745798	0.651122939419916	0.0008754066869323356
0.10077918968415327	0.6484578870801642	0.0007167223760416121
0.10063732230144531	0.6462830859150998	0.0005868026506843894
0.10052135011747411	0.6445076305481219	0.00048043337610298594
0.10042652971273335	0.6430576502967014	0.00039334557982059493
0.10034899036353	0.6418730793416143	0.00032204412278641136
0.10028557283334633	0.6409050442007391	0.0002636674271732564
0.10023369794486145	0.6401137516186383	0.00021587263121169425
0.10019125950920157	0.6394667807611997	0.00017674156192087602
0.10015653710988832	0.6389377013267135	0.00014470375209165744
0.10012812506410555	0.6385049546610617	0.00011847341192321238
0.10010487457994038	0.638150947072075	9.69978257636095e-05
0.100085846549684	0.6378613141256646	7.941510293436693e-05
0.10007027317235577	0.6376243232310339	6.501958703121962e-05
0.10005752653756268	0.6374303881195064	5.323353545488986e-05
0.10004709307109093	0.6372716738116484	4.358393257198546e-05
0.10003855266063762	0.6371417750347045	3.56835059367616e-05
0.100031561591366	0.6370354540448594	2.921518368806748e-05
0.10002583863035615	0.6369484270385437	2.3919369342243034e-05
0.1000211536449051	0.6368771899059379	1.9583523274725046e-05
0.10001731829651087	0.6368188757599801	1.6033632758635833e-05
0.10001417844753704	0.6367711389097127	1.3127228223053701e-05
0.10001160793907969	0.6367320598682764	1.0747665448887302e-05
0.10000950350638314	0.6367000677723539	8.799444226797698e-06
0.1000077806377263	0.6366738769780267	7.2043755984737834e-06
0.10000637012439523	0.6366524352091151	5.898443859195081e-06
0.10000521533172355	0.6366348811530546	4.829237382826981e-06
0.10000426989884756	0.6366205097841597	3.953845159234279e-06
0.10000349586127555	0.6366087439705038	3.2371346247736114e-06
0.10000286214262924	0.6365991112318876	2.6503416691557106e-06
0.10000234331044856	0.6365912248126613	2.169916230701812e-06
0.10000191852731884	0.636584768109579	1.7765771496786285e-06
0.10000157075125168	0.6365794818984369	1.454538347657519e-06
0.10000128601677029	0.6365751539600265	1.1908752767584428e-06
0.10000105289887681	0.6365716105972297	9.750062121623907e-07
0.10000086204029593	0.6365687095826443	7.982675703394251e-07
0.10000070577778028	0.6365663344491443	6.535662090217277e-07
0.10000057784534531	0.6365643898559429	5.350947544986811e-07
0.10000047308843575	0.6365627977642397	4.3809853131878265e-07
0.10000038734120945	0.6365614942556382	3.5868474046898496e-07
0.10000031712361265	0.6365604270447912	2.9366622768175277e-07
0.10000025964666773	0.6365595532853232	2.404335717434512e-07
0.10000021257405459	0.6365588379182708	1.9685035925874495e-07
0.10000017403822614	0.6365582522231	1.6116744287958338e-07
0.10000014249314351	0.6365577726971281	1.31952741880454e-07
0.10000011666627452	0.6365573800942712	1.0803376773048875e-07
0.10000009551519205	0.6365570586698764	8.845056801183489e-08
0.10000007820352029	0.6365567955159179	7.241720015850462e-08
0.10000006402883134	0.636556580064076	5.9290188821571485e-08
0.10000005242221634	0.6365564036603041	4.854270094402099e-08
0.10000004291995572	0.6365562592260461	3.97434021003376e-08
0.10000003514004871	0.6365561409712414	3.253914553149047e-08
0.10000002877047581	0.6365560441562995	2.6640799125511167e-08
0.10000002355571481	0.6365559649009213	2.1811641530629013e-08
0.1000000192877627	0.6365559000251017	1.785786169623889e-08
0.10000001579466301	0.6365558469101233	1.4620780554924123e-08
0.10000001292710649	0.6365558034194415	1.1970482674320948e-08
0.10000001058160926	0.6365557677991526	9.800602294653697e-09
0.10000000866776755	0.6365557386146922	8.024054497319624e-09
0.10000000710210895	0.6365557147177905	6.569540181329268e-09
0.10000000581242985	0.6365556951623575	5.378684580035777e-09
0.1000000047566461	0.6365556791685423	4.403694476781608e-09
