Values[V]	Values[N]	Values[M]	Values[Minf]	Values[Ninf]	Values[lambdaN]	Values[lambdaM]
-50.0	6.144174602207286e-06	0.0012710162630813482	0.0012710162630813482	6.144174602207286e-06	1.0067661995777766	2.7416828266537956
-47.58164050079462	7.398473777129938e-06	0.0015738073338923408	0.0017537935984396902	9.965932151356771e-06	0.892705697162492	2.5445859763429297
-45.38176471645962	1.053420028563735e-05	0.002101984350802778	0.0023501998119923595	1.5473705141433314e-05	0.8003404647029302	2.379696947099893
-43.37577743553711	1.531959467264493e-05	0.0027519330957064083	0.0030686720086465225	2.3111537669595617e-05	0.7245913637122214	2.240521055375
-41.54236466270681	2.1905285941674596e-05	0.003522745973262498	0.003915137703127125	3.334821596578941e-05	0.6617577255961109	2.1220984121021638
-39.86223820628454	3.056708964409261e-05	0.004418555617165008	0.00489338741015527	4.666601873520859e-05	0.6090760275237376	2.020548728862238
-38.31791866470469	4.1628541995370915e-05	0.005442352575088668	0.006005500808673514	6.355230519494715e-05	0.5644543722327775	1.932805836778207
-36.89359229198265	5.543398395160351e-05	0.006595883011949597	0.007252388228194073	8.449628760337502e-05	0.526290425489606	1.8564269440955994
-35.57497442235003	7.233904216068556e-05	0.007880096460409741	0.008634393486550873	0.00010999178439230484	0.49334334895793913	1.7894512482608156
-34.34917347353329	9.270900964171337e-05	0.009295676293207761	0.010151908244614205	0.00014054606605512499	0.4646423605737889	1.7302937331304749
-33.204555275175075	0.00011692210522966517	0.010843580546908687	0.011805966414644709	0.0001766945954296828	0.4394205855722903	1.6776645355056157
-32.13060841788146	0.00014537654684641574	0.012525569459888993	0.013598806605734093	0.00021902148475627659	0.4170666144719675	1.6305071269983453
-31.11781147093832	0.00017850107336245312	0.014344714387438274	0.015534407750257828	0.0002681858048597108	0.39708861715010824	1.5879504947326266
-30.15750271067076	0.00021676891690097845	0.016305896479081393	0.017619017138673088	0.0003249544467222587	0.37908746656599795	1.5492718419728806
-29.24175256253698	0.00026071554557953203	0.018416315052075242	0.019861701719678715	0.00039024304067764026	0.36273639842764605	1.5138672650644882
-28.36323836418594	0.0003109608655347873	0.020686035929173837	0.022274964191695834	0.00046516752493247493	0.3477654595330937	1.4812285249109463
-27.51512034314438	0.0003682370459489401	0.023128620452908533	0.024875477183886385	0.0005511104412878609	0.33394949535668345	1.4509245050328547
-26.69091687417423	0.0004334237713741718	0.025761888298110065	0.027685004285495474	0.0006498081488866547	0.32109877245371043	1.4225862913823297
