M	Ma	Bn	Ba	Cy	Values[W]	Values[x]
477000.00000000006	0.0	0.0	0.0	0.0	4936.392163467182	9.0
468454.3837834732	9094.127103179297	404.3805602040115	5790.108517500837	0.0006136500398853055	32639.513402885932	7.111111111111111
181949.48574435318	307819.00560597715	31886.726134327015	852617.5169377339	1.2743146150458635	172809.57896376247	5.4444444444444455
10074.106280689195	570243.2723916563	285248.55965675635	3237452.6978710825	32.43731506359978	732625.5555493671	4.0
12454.374241781321	668442.0693828611	227580.3184370862	3003686.9367680484	30.499406776640722	2487060.9608846516	2.777777777777778
13877.131310349567	775180.7654664943	197170.24438525012	3082119.5024554837	30.490324101665735	6760532.616242643	1.7777777777777777
13826.28265322734	891591.0471700595	193565.71426840517	3514417.70949197	34.299574655520544	14715177.646857694	1.0
13266.882856625643	1017261.8006578116	199758.93880129876	4125692.2035901695	40.39671181114841	25647215.537198186	0.4444444444444444
13466.587454849518	1151212.768280224	196159.98667506868	4542296.545730821	45.063525218602045	35793572.67257479	0.1111111111111111
15356.772614532802	1292534.0322633255	171580.66981762592	4418553.341786993	44.50602142802901	40000000.0	0.0
20064.159837420157	1439854.3564003445	130494.32834976885	3720800.7065244797	37.9321919880092	35793572.67257479	0.1111111111111111
29563.746885420158	1590563.1308973867	87322.49840943878	2750397.874608976	28.177271444157533	25647215.537198186	0.4444444444444444
46678.86569539168	1740602.8108065317	53973.74785302181	1875878.959674922	19.102250522804617	14715177.646857694	1.0
72967.89281078258	1886550.8845246555	33472.70052896184	1281987.9521218264	12.820603317727405	6760532.616242643	1.7777777777777777
105084.01144167247	2029862.8534388347	22621.097760138087	950792.0444714057	9.282922314409117	2487060.9608846516	2.777777777777778
136615.05841904497	2175977.109520601	17097.933573269085	782852.8300468195	7.4911361680509225	732625.5555493671	4.0
165098.39495870942	2327261.0938176983	13979.408585476676	691878.5410315704	6.536215921123536	172809.57896376247	5.4444444444444455
192385.8449378058	2481740.6511932234	11868.622420434272	631120.7382140025	5.912598889881282	32639.513402885932	7.111111111111111
220550.20944148547	2636763.27088104	10243.787804251926	582485.2838162136	5.42020411376303	4936.392163467182	9.0
250493.94763612773	2790522.110688394	8925.09819488999	540437.8769694373	4.996985376622076	597.813540991257	11.111111111111112
282393.67650591163	2941805.4773068153	7835.774958928603	503298.96748473553	4.624282477080706	57.97115548591054	13.444444444444443
316151.3909695181	3089648.4470338365	6928.977467411717	470318.5810982319	4.294057431890084	4.5014069887703645	16.0
351572.0814412182	3233202.619694969	6170.001835184883	440972.0512454285	4.00082518641947	0.2798818397706036	18.777777777777775
388413.25095672143	3371714.8941995017	5531.665693342349	414824.209694817	3.740073749861857	0.013934496291582483	21.777777777777782
426399.66722627264	3504534.897918907	4992.361273191159	391501.1842103182	3.507939936340395	0.0005555177545985609	25.0
465232.20336862665	3631124.737075198	4534.789315045181	370679.1314305773	3.3010856711757435	1.7733510985312183e-05	28.444444444444443
504596.5368743957	3751065.189188032	4145.018813349755	352076.316778595	3.116613211651322	4.53295729919019e-07	32.111111111111114
544172.2010908307	3864057.442401902	3811.769629330313	335446.71589770546	2.9519972734578337	9.27809132097428e-09	36.0
583641.6146139738	3969920.545475553	3525.8600768162864	320574.7311295859	2.8050292923722813	1.5206377677562247e-10	40.11111111111111
622698.6320435024	4068585.0678754747	3279.7786738835403	307270.7986782626	2.6737712792285713	1.9956437571179933e-12	44.44444444444445
661056.2082723224	4160083.6550706234	3067.350133788309	295367.71837252966	2.5565173917924056	2.0971542653453857e-14	49.0
698452.8538929384	4244539.26947292	2883.473393714424	284717.57450826024	2.451761770501266	1.7646876787984132e-16	53.77777777777777
734657.6623334043	4322151.940443584	2723.915073446472	275189.14354721986	2.358171498238031	1.18903720496827e-18	58.777777777777786
769473.7982285875	4393184.815518018	2585.145845533436	266665.70517439715	2.274563780547347	6.4152435621945515e-21	64.0
802740.440985586	4457950.222434886	2464.210213480812	259043.18908015228	2.1998866223200815	2.7715388473320386e-23	69.44444444444446
834333.2691363525	4516796.3334930325	2358.6224347148905	252228.60208783674	2.133202414639739	9.587798675592344e-26	75.1111111111111
864163.6440327264	4570094.886558002	2266.2830019944113	246138.68982748853	2.0736739520615672	2.655870879832294e-28	81.0
892176.7026089551	4618230.275647716	2185.4113611709527	240698.7947607438	2.020552484145084	5.890947106379665e-31	87.11111111111113
918348.5977688998	4661590.190645172	2114.4915028377454	235841.87850993284	1.9731674715728003	1.0462932043374949e-33	93.44444444444443
942683.1330549216	4700557.869068853	2052.227798708075	231507.68151467753	1.9309177710754337	1.4880303904083345e-36	100.0
965208.0287954867	4735505.928169	1997.509017541181	227641.99730229666	1.8932640178479836	1.6945731175634495e-39	106.77777777777779
985971.0340127281	4766791.6748690475	1949.3788918772511	224196.04229990902	1.8597220114463044	1.5452506652196245e-42	113.77777777777777
1005036.0664302498	4794753.7435872	1907.0119465637629	221125.90525951397	1.8298569428621543	1.1283080353840541e-45	121.0
1022479.5262121207	4819709.885256129	1869.6935658972368	218392.0630909966	1.8032783276298794	6.59700081869605e-49	128.44444444444446
1038386.8912960434	4841955.721307754	1836.8034851993248	215958.95225195595	1.7796355331234597	3.088556212767175e-52	136.1111111111111
1052849.666286456	4861764.279980767	1807.8020575926819	213794.58686047012	1.7586138081107858	1.1578561246593202e-55	144.0
1065962.7249436085	4879386.14510262	1782.2187773002745	211870.21640013816	1.7399307394993682	3.4757121303399733e-59	152.11111111111111
1077822.0593831104	4895050.065880128	1759.6426444442616	210160.01732629878	1.723333075342444	8.354551049547897e-63	160.44444444444443
1088522.9285736687	4908963.897686233	1739.7140385043313	208640.81397729644	1.7085938648084615	1.6080240862973422e-66	169.0
1098158.3821241022	4921315.765234136	1722.1178329695706	207291.82523174706	1.695509874966177	2.4782898455066905e-70	177.7777777777778
1106818.1263101064	4932275.361006185	1706.577536592937	206094.43397246854	1.6838992525461274	3.0584526430399675e-74	186.77777777777777
1114587.6925345848	4941995.309845396	1692.8502858225459	205031.97702562116	1.6735994040070674	3.0223276078847845e-78	196.0
1121547.8662343707	4950612.548367441	1680.7225505423637	204089.55363056986	1.6644650704632946	2.3915057611478612e-82	205.44444444444446
1127774.334105418	4958249.679775032	1670.006434513056	203253.8509072967	1.6563665823788294	1.5152749360771134e-86	215.1111111111111
1133337.5105412076	4965016.278921698	1660.5364805650156	202512.98480860482	1.64918827412177	7.687790911295397e-91	225.0
1138302.5072422558	4971010.127936927	1652.1669017516895	201856.35544363828	1.6428270473289086	3.123214423485519e-95	235.11111111111114
1142729.2131459026	4976318.372983338	1644.769176049218	201274.51562433777	1.6371910695153047	1.0159963676927154e-99	245.44444444444443
1146672.458198388	4981018.596368651	1638.2299501849968	200759.05153937795	1.632198595942382	2.6465044226837942e-104	256.0
1150182.2358085725	4985179.800948271	1632.4492124316946	200302.4748487683	1.6277769069684325	5.520052497450477e-109	266.7777777777777
1153303.9666557622	4988863.31069436	1627.3386926891078	199898.12497913523	1.623861347851739	9.219426515885567e-114	277.7777777777778
1156078.7879180238	4992123.589233165	1622.8204614984104	199540.0809258846	1.6203944636442478	1.2329762787796393e-118	289.0
1158543.8526702968	4995008.977862128	1618.82570384867	199223.08203986855	1.6173252234464446	1.3203700073285837e-123	300.4444444444444
1160732.6343537448	4997562.363424503	1615.2936400039507	198942.4565396256	1.6146083214844014	1.1322092405836716e-128	312.11111111111114
1162675.226362187	4999821.778205363	1612.170577236081	198694.05734894946	1.6122035503951306	7.774059400197171e-134	324.0
1164398.6317228111	5001820.936770165	1609.4090770518894	198474.20465206972	1.6100752408721448	4.274242215479665e-139	336.1111111111111
1165927.039677353	5003589.717038369	1606.9672207164406	198279.63439794557	1.6081917599973554	1.881743910372869e-144	348.4444444444445
1167282.0867766833	5005154.589882693	1604.8079634718497	198107.4522468306	1.6065250624072154	6.633641910724581e-150	361.0
1168483.1008947245	5006539.002277059	1602.898564064818	197955.09242316298	1.605050290375781	1.8725509551040064e-155	373.7777777777777
1169547.3275612197	5007763.718635689	1601.2100827456682	197820.28101050653	1.6037454166277683	4.232581989891565e-161	386.7777777777778
1170490.138568944	5008847.124616057	1599.7169378989447	197701.003209715	1.6025909262516909	7.660678386856022e-167	400.0
1171325.2231174018	5009805.4971819	1598.3965150106371	197595.47418522745	1.6015695335153888	1.1102459447300095e-172	413.4444444444444
1172064.7623194023	5010653.24471772	1597.2288213240847	197502.1130987985	1.6006659297678223	1.288431328383846e-178	427.11111111111114
1172719.5875898493	5011403.1200083345	1596.196181172773	197419.52003328278	1.5998665594727322	1.1972737809040773e-184	441.0
1173299.3241989317	5012066.409438896	1595.2829667493259	197346.45546476438	1.5991594210625095	8.908729714762879e-191	455.1111111111111
1173812.520852115	5012653.100755392	1594.475360353862	197281.82202918842	1.5985338900911932	5.307966936521799e-197	469.4444444444445
1174266.7663860545	5013172.031844255	1593.761144351653	197224.64833086732	1.5979805622398782	2.5323909344842366e-203	484.0
1174668.794630979	5013631.022603822	1593.1295155978419	197174.07457142914	1.597491114002971	9.674385890489584e-210	498.7777777777777
1175024.5784686075	5014036.99183824	1592.570921404787	197129.3397960662	1.5970581790779754	2.9594170933305496e-216	513.7777777777778
1175339.4140428838	5014396.06079476	1592.0769146356163	197089.7705850006	1.596675238781295	7.24901610317597e-223	529.0
1175617.9959772723	5014713.644802416	1591.6400256484321	197054.77103305736	1.5963365249848194	1.4218116428224906e-229	544.4444444444443
1175864.4846493965	5014994.534568976	1591.25364910649	197023.81385550805	1.5960369338988027	2.233033215460556e-236	560.1111111111112
1176082.5661194199	5015242.968086091	1590.9119437493994	196996.4325108845	1.5957719498297211	2.808267119401894e-243	576.0
1176275.50550587	5015462.694247868	1590.6097439760508	196972.21422724068	1.5955375776992569	2.8279502317221785e-250	592.1111111111111
1176446.194546063	5015657.029243663	1590.342481930357	196950.7938247069	1.595330282884524	2.280316997067301e-257	608.4444444444445
