M	Ma	Bn	Ba	Cy	Values[W]	Values[x]
1176597.1938298547	5015828.906359113	1590.1061179367823	196931.84824360366	1.5951469387078938	1.4723423419207201e-264	625.0
1176730.7704792449	5015980.920257057	1589.8970790375417	196915.09166847428	1.5949847793876284	7.612240385023876e-272	641.7777777777777
1176848.9314684188	5016115.365950512	1589.7122067959194	196900.27129915924	1.5948413574407643	3.151420109441648e-279	658.7777777777778
1176953.4533103062	5016234.2733989945	1589.548706494821	196887.16347590362	1.5947145089271184	1.0446967045136222e-286	676.0
1177045.9083978997	5016339.438156528	1589.404107344297	196875.57036585532	1.5946023190483194	2.773091902208168e-294	693.4444444444443
1177127.688188625	5016432.448238998	1589.2762242321562	196865.31698632104	1.5945030943475587	5.894248147652956e-302	711.1111111111112
1177200.0239338235	5016514.708106381	1589.1631248460133	196856.2485700723	1.594415337024472	1.00318883155767e-309	729.0
1177264.0053365817	5016587.4601961905	1589.0630999635218	196848.2281962316	1.59433772200146	0.0	747.1111111111111
1177320.596649506	5016651.803473385	1588.9746378962775	196841.1347488035	1.5942690771540995	0.0	765.4444444444445
1177370.650762882	5016708.7096324675	1588.8964020067128	196834.86113301333	1.5942083661058024	0.0	784.0
1177414.922381655	5016759.03824019	1588.8272101963446	196829.3126084203	1.5941546719591047	0.0	802.7777777777777
1177454.0791980145	5016803.5495498115	1588.766016833982	196824.4053779886	1.5941071837907943	0.0	821.7777777777778
1177488.711815049	5016842.915872047	1588.711897362269	196820.06533500005	1.594065184438858	0.0	841.0
1177519.342725172	5016877.731856987	1588.664034041818	196816.22693179778	1.5940280395746615	0.0	860.4444444444443
1177546.4341755775	5016908.523488567	1588.6217036072749	196812.8321877437	1.5939951880963403	0.0	880.1111111111112
1177570.3950299197	5016935.755925717	1588.5842664439417	196809.82982622285	1.5939661337851418	0.0	900.0
1177591.5869422876	5016959.840556913	1588.551156897163	196807.17449702075	1.5939404377733344	0.0	920.1111111111111
