Values[v]	Values[u]
-62.0	-16.12
-62.121717214037496	-16.121525215526948
-62.244147609951106	-16.125934184030378
-62.363339285540754	-16.132919918774647
-62.47569408027863	-16.142110872138026
-62.57815893618399	-16.153088344836444
-62.668358635036064	-16.165406263816738
-62.74465974041009	-16.17861150716787
-62.80616756535429	-16.192263018905624
-62.85266786051125	-16.205948303099653
-62.884530060730825	-16.219296385393335
-62.90259020718241	-16.23198685486198
-62.908029413241984	-16.243755063911358
-62.902259630832454	-16.254393898558853
-62.88682412142144	-16.263752727850687
-62.86331598066285	-16.271734214368053
-62.833315120233664	-16.278289646235645
-62.79834216971502	-16.28341337117447
-62.75982676065792	-16.28713680652703
-62.71908730116064	-16.28952238497375
-62.67731945665998	-16.29065769101489
-62.6355908881619	-16.29064995372029
-62.59484024292919	-16.289620990468695
-62.55587884652538	-16.287702643574658
-62.519393961546825	-16.285032714819447
-62.485952846885525	-16.281751378676656
-62.45600714561565	-16.277998042210296
-62.429897369064754	-16.27390861382701
-62.40785743901031	-16.269613143447145
-62.390019367985936	-16.265233801235297
-62.37641826026907	-16.26088316798747
-62.36699786109181	-16.256662818366575
-62.36161688878391	-16.25266218564803
-62.36005636046323	-16.248957703262526
-62.36202805903662	-16.24561222342992
-62.36718420360943	-16.242674715718874
-62.37512827909261	-16.240180248279295
-62.3854268816624	-16.238150252301427
-62.39762225799119	-16.236593063368392
-62.41124526234265	-16.235504727851808
-62.4258282078967	-16.234870052949745
-61.78631211709404	-16.2264554370305
-61.12561907764779	-16.20279281159986
-60.42047634649612	-16.164532656084468
-59.636460353938226	-16.11156258950047
-59.455502206529005	-16.051574722100963
-59.29192742529307	-15.993035942615357
-59.146413592777584	-15.93624581476271
-59.02026657483722	-15.88149978595466
-58.91557629808316	-15.829106992056191
-58.83541635102582	-15.779410777519004
-58.784081379354745	-15.732812700539146
-58.76733857540491	-15.689800381817708
-58.792635781052	-15.650978547723499
-58.86915246514129	-15.617100599287483
-59.00750091551394	-15.589094530230058
-59.21880193993979	-15.568071750639175
-59.51283543565857	-15.555301118388487
-59.89512127226129	-15.552126181967143
-60.36325697577348	-15.55980732427475
-60.90361512513248	-15.579289695804768
-60.8043279709541	-15.602443940397798
-60.668378968024214	-15.62047909312134
-60.49433033024678	-15.632959158699318
-60.27945045334315	-15.639439102608119
-60.72547812187891	-15.648080624413657
-61.224240352888415	-15.667642884683355
-61.75022808073913	-15.698086698819356
-62.272246283324556	-15.738664484236294
-62.758796343743725	-15.787911961717581
-63.18369147598718	-15.843781304242476
-63.52986471506408	-15.903881300116547
-63.790365652445274	-15.965754079596936
-63.96692434460887	-16.027117633810292
-64.06725862426221	-16.086031249247846
-64.10228036059813	-16.140975337019984
-64.0838830889376	-16.190861005756126
-64.02350621789158	-16.234993737218655
-63.93137669942955	-16.273013884199226
-63.81622671045348	-16.30483048623122
-63.68529552003723	-16.330558321728258
-63.54447435012561	-16.35046302812993
-63.39850530560575	-16.364915845752318
-63.25118502780231	-16.374357720166678
-63.1055493687241	-16.379271650969983
-62.96403018540689	-16.38016189875897
-62.82858304050172	-16.377538682256375
-62.70078809045104	-16.3719071474687
-62.58192764891737	-16.36375958183406
-62.47304399919387	-16.353570033005205
-62.37498064495246	-16.341790655514707
-62.28840969625026	-16.32884924649319
-62.21384763330404	-16.315147543270395
-62.15166139381064	-16.301059947059905
-62.10206658905929	-16.286932416371958
-62.06511969565597	-16.27308134166223
-62.040706252097856	-16.259792279269544
-62.028527371236784	-16.24731848756103
-62.02808717821439	-16.235879274520375
-62.03868400255783	-16.225658233249998
-62.05940817025906	-16.216801504468883
