Putrescine	Spermidine	S-adenosylmethioninamine	N1-Acetylspermidine	N1-Acetylspermine	S-adenosyl-L-methionine	Spermine	Values[Vmaxodc]	Values[Vmaxssat]	Values[Vmaxsamdc]	Values[Antz]	Values[Kaccoa]	Values[Kcoa]
0.01	0.01	0.01	0.01	0.01	0.01	0.01	1.27905671844446	0.677298510125025	0.367465856805639	0.574589492832405	0.004	0.012
3.0546015505912543	0.023392422812064564	0.00823681639642993	0.004793216846656809	1.789832634000217e-06	0.25498407081244384	0.010113763229159389	6.02721077139207	0.5578395236945601	1.3209848551426269	0.5632178902131122	0.004	0.012
9.918913900503854	0.03709636803724099	0.00668567222968198	0.0023364493857965063	1.4961388965633902e-06	0.488853125231394	0.010253502967136605	10.605535053616714	0.4602316837825765	2.247332966459518	0.5520732371248774	0.004	0.012
20.39398165502132	0.06701713025821165	0.007150251363323385	0.0012034395657545824	1.2687649572751441e-06	0.7037263429767441	0.010508721688321053	14.969895907973017	0.38119059195173627	3.1362642223615316	0.5411534755203627	0.004	0.012
34.218095655210156	0.12040040670775332	0.007707393195742064	0.0007174241338213649	1.1094148888108317e-06	0.8939952037306783	0.011032336518561087	19.050456951906384	0.31801435179533544	3.972433330074681	0.5304581761826863	0.004	0.012
51.07319247502979	0.2002949025970838	0.008190822889752683	0.000552967713555133	1.0160551275365999e-06	1.0564458163046866	0.012007982961208238	22.777399933235007	0.26814367906452186	4.740543724469747	0.5199879440515099	0.004	0.012
70.59669901831508	0.3071879785167627	0.00860614105760277	0.0005491023817223709	9.844064442718105e-07	1.1902160629202139	0.013645220918018282	26.104707349804773	0.22908223882134557	5.43014480970249	0.5097437214482033	0.004	0.012
92.40701494988872	0.43961962639744345	0.008942257454637288	0.0006243965591943937	1.008823979904985e-06	1.2964087527753376	0.016156763369322473	29.01827124949082	0.19854140222667527	6.03730161090541	0.4997263385653978	0.004	0.012
116.1299079974262	0.5947875829533785	0.009193044979583783	0.0007369230480056686	1.0831249373446816e-06	1.3775053014591776	0.01973511575457259	31.532408252007595	0.17456824915170882	6.563930968765787	0.48993618188960236	0.004	0.012
141.41825711886307	0.769179654321245	0.009360137023357452	0.0008648785326273911	1.2011777346523184e-06	1.4367601923097586	0.024535598770762973	33.68032991790559	0.15559330293689	7.015906597304426	0.48037299515522774	0.004	0.012
167.96291944085286	0.9590913433428726	0.009451094659346737	0.0009969210930995038	1.3572122975410852e-06	1.4776995574442633	0.03066792958621955	35.50425210841027	0.14040748500790246	7.401072882600451	0.47103580083166346	0.004	0.012
195.49613686349127	1.1609808238324186	0.009476808799340977	0.0011272298584513638	1.5459576722995753e-06	1.5037690963086146	0.03819557039623047	37.048087391270315	0.12810290903532537	7.727763874369563	0.4619229112946057	0.004	0.012
223.79012809374896	1.371673353531229	0.009449346413747924	0.0012529336569327928	1.7626983002712238e-06	1.5181221742652153	0.047140516415133164	38.353159547548145	0.11800622521251519	8.003922363057024	0.45303199608698574	0.004	0.012
252.65321898872753	1.5884517596836714	0.00938049976988622	0.0013727550797523812	2.003293727157652e-06	1.5235158728441776	0.05749098787699421	39.456231195857114	0.10961944631822952	8.23668185614861	0.44436017746236994	0.004	0.012
281.92509506298074	1.8090716755974023	0.009280953331666217	0.0014862861706896682	2.2641769613280737e-06	1.5222801871198854	0.06920999380138272	40.38896019288111	0.10257297187134752	8.432236874081653	0.43590413463527217	0.004	0.012
