EGFR	pEGFR	pAkt	EGFR_i	EGF_EGFR	S6	Akt	EGF_EGFR_i	pS6	pEGFR_Akt	pAkt_S6	EGF	Values[pEGFR_total]	Values[pAkt_total]	Values[pS6_total]
68190.2000000002	0.0	0.0	0.0	0.0	3.54317	0.043309	0.0	0.0	0.0	0.0	30.0	0.0	0.0	0.0
55951.31594701524	117.66498744315764	3.589819595651538e-07	0.0	12117.866205732007	3.5431699999994564	0.04328184095137988	0.0	1.1106703117793641e-16	2.6800066117829098e-05	5.427030772461793e-13	30.0	0.021383851363492273	2.1560058307227234e-05	5.540712130748771e-12
46344.33724991658	418.59078668538416	5.249330034717435e-06	0.0	21400.247161100404	3.54316999998388	0.04311067077838584	0.0	6.665686733643866e-15	0.0001930798754667648	1.6112642731488995e-11	30.0	0.07607263170763946	0.00031526943039507474	3.3252578153190464e-10
38795.06240880496	839.4894383056645	2.427266930500685e-05	0.0	28469.416662488493	3.5431699998864237	0.04269873605493536	0.0	7.120201707392795e-14	0.0005859911622549995	1.135045831622782e-10	30.0	0.15256471956558382	0.0014577942082046047	3.5519980641533845e-09
32854.694193315525	1333.1575120886655	6.999037673452477e-05	0.0	33811.68793531232	3.543169999556132	0.04199276326260716	0.0	3.7509344512879496e-13	0.001246245917166057	4.43492213363224e-10	30.0	0.2422816069459354	0.00420356467383362	1.871198662238409e-08
28172.44958462283	1864.7475231186447	0.00015567605263680222	0.0	37807.110237530986	3.543169998744634	0.040975432449455784	0.0	1.341084669120515e-12	0.002177890243882998	1.254024368093115e-09	30.0	0.3388902869128504	0.009349792225301896	6.690161802067984e-08
24474.152125585482	2408.8741905315746	0.00029362380138216583	0.0	40752.67925602695	3.543169997107465	0.039658101977524604	0.0	3.7514165313178635e-12	0.0033572713323100512	2.8887831374299783e-09	30.0	0.4377773611499613	0.017634866659299916	1.871439153646292e-07
21545.500026013004	2947.371253580229	0.0004939649953559931	0.0	42880.47798680195	3.543169994216072	0.03807348909111759	0.0	8.857201553178851e-12	0.0047415401384559	5.775070476387638e-09	30.0	0.5356413764732001	0.029667291706889247	4.418521281221908e-07
19218.988768372375	3467.554995966617	0.0007639489271695518	0.0	44371.85535718013	3.54316998957687	0.036268557254016745	0.0	1.846834454118537e-11	0.006276483414152749	1.0404660906219548e-08	30.0	0.6301772478487064	0.045882480718539106	9.213155294504815e-07
17363.690016293505	3960.8822151404834	0.0011076283480580592	0.0	45368.50800673362	3.5431699826541094	0.03429802298566591	0.0	3.501750879665451e-11	0.007903331355403588	1.731087238799667e-08	30.0	0.7198323656804797	0.06652386910057195	1.746890447331666e-06
15877.262961296852	4421.9150434794665	0.0015258755377688055	0.0	45981.141629368336	3.5431699728937995	0.03221884396823876	0.0	6.159529094363453e-11	0.009564253449387747	2.704460462310974e-08	30.0	0.8036184685863416	0.09164387801424927	3.072755003072341e-06
14679.710513097767	4847.524297673738	0.0020166458702820787	0.0	46296.240533296324	3.543169959746543	0.030085904607092408	0.0	1.0195675467324058e-10	0.01120640937112571	4.0151499737220165e-08	30.0	0.8809668648345439	0.12111974244498973	5.0862350549802145e-06
13708.499231447802	5236.278078341	0.0025754059314441456	0.0	46381.35861489057	3.543169942687743	0.027948952523429587	0.0	1.6050171017852815e-10	0.012784584393371552	5.715175464860055e-08	30.0	0.9516173199737464	0.15467922222121974	8.006820414308091e-06
12914.745137211881	5587.9740906207535	0.003195650994217326	0.0	46289.25469276225	3.5431699212342473	0.025850703891997732	0.0	2.422326134361347e-10	0.01426256659026485	7.852352002941408e-08	30.0	1.015533063366502	0.19193167995988428	1.2084064600397702e-05
12260.232598820681	5903.283328460695	0.00386944949918213	0.0	46061.12461115528	3.543169894957	0.023825945399635645	0.0	3.526947677314495e-10	0.015613500410876646	1.0469030551405066e-07	30.0	1.0728360332173017	0.2324007811556005	1.7594601722004635e-05
11715.084337402917	6183.479924182286	0.004587967326480828	0.0	45729.12739256548	3.5431698634896946	0.021901416894499565	0.0	4.979037543139768e-10	0.016819479766617604	1.3601240194111794e-07	30.0	1.1237577807094232	0.27555598080929244	2.4838526268457908e-05
11255.940336168193	6430.237551638278	0.005341939732738673	0.0	45318.35963038673	3.5431698265336986	0.02009625298612641	0.0	6.842648362471241e-10	0.017870634499098054	1.7278203679937714e-07	30.0	1.1686024691667432	0.3208408671023971	3.413537247399128e-05
10864.53450215581	6645.47713000658	0.006122072255663916	0.0	44848.39863395377	3.54316978385972	0.018422781903774697	0.0	9.184886055882492e-10	0.018763930618769718	2.1522179160207637e-07	30.0	1.207719196284677	0.3676972391510055	4.5819906276096516e-05
10526.582204684173	6831.2539746173015	0.006919362789866986	0.0	44334.50851774444	3.5431697353067806	0.01688751420292389	0.0	1.207506500172576e-09	0.01950185952149542	2.634857136410541e-07	30.0	1.2414814852475156	0.4155844505598417	6.0237910768909156e-05
10230.910790445418	6989.675191885676	0.007725345149740524	0.0	43788.582852890184	3.5431696807790822	0.015492193111208282	0.0	1.5583891014788448e-09	0.020091144076521995	3.176625291349146e-07	30.0	1.2702722722614121	0.46399403770954095	7.774211039419394e-05
9968.78000540521	7122.840181195424	0.008532259913472399	0.0	43219.88142002283	3.5431696202413416	0.014234816086395995	0.0	1.97826941276356e-09	0.020541546219741767	3.77780389775724e-07	30.0	1.2944730934474526	0.5124599807281296	9.86883435790055e-05
